Record Number,Series #,Reason for this Series,Runs of Interest,Run Type,Other Run Type,Log Book #,Log Book Page #,Start Date/Time,End Date/Time,Entered By,SB ID,Mirror Voltage,Beam,Detector Voltage,Dire Warning,Comments,Disk,Config
1004,60,temperature record during warmup,all,Monitor,,3,1,2008-11-18 18:18:00-05,2008-11-28 14:29:00-05,HB,42-117A,0,Off,0,,no neutron data,Data0004,
1005,61,temperature record during cooldown,all,Monitor,,3,6,2008-11-29 13:11:00-05,2008-12-02 18:00:00-05,HB,42-117A,0,,0,,no neutron data,Data0004,
1006,62,temperature record during cooldown,all,Monitor,,3,6,2008-12-02 15:00:00-05,2008-12-02 19:49:00-05,HB,42-117A,0,,0,new log file data fomat (series and run included),no neutron data,Data0004,
1007,63,temperature record during cooldown,all,Monitor,,3,0,2008-12-02 00:00:00-05,2008-12-03 08:54:00-05,HB,42-117A,0,,0,,"no neutron data 
start time is an estimate, no log book entry",Data0004,
1008,64,temperature record during cooldown,all,Monitor,,3,0,2008-12-02 00:00:00-05,2008-12-03 19:05:00-05,HB,42-117A,0,,0,,"no neutron data 
start time is an estimate, no log book entry",Data0004,
1010,65,temperature record during cooldown,all,Monitor,,3,,2008-12-03 00:00:00-05,2008-12-04 14:10:00-05,HB,42-117A,0,,0,,"no neutron data 
start time is an estimate, no log book entry",Data0004,
1009,65,temperature record during cooldown,all,Monitor,,3,0,2008-12-03 00:00:00-05,2008-12-04 14:10:00-05,HB,42-117A,0,,0,,"no neutron data 
start time is an estimate, no log book entry",Data0004,
1011,66,temperature record during cooldown,all,Monitor,,3,0,2008-12-04 00:00:00-05,2008-12-04 15:17:00-05,HB,42-117A,0,,0,,"no neutron data 
start time is an estimate, no log book entry",Data0004,
1012,67,temperature record during cooldown,all,Monitor,,3,0,2008-12-04 00:00:00-05,2008-12-05 08:50:00-05,HB,42-117A,0,,0,,"no neutron data 
start time is an estimate, no log book entry",Data0004,
1013,68,"temperature record during cooldown, testing system",all?,Test,also temperature record,3,16,2008-12-05 12:10:00-05,2008-12-05 14:09:00-05,HB,42-117A,0,,-25000,,"beam just came on; tests, mainly proton detector; 
APDs maybe not yet fully cold",Data0004,
1014,69,start production data taking,10 to end,Production,first 10 runs are tests,3,18,2008-12-05 20:11:00-05,2008-12-07 10:15:00-05,HB,42-117A,500,,-25000,APD 1 is dead,"runs 1 to 9 tests; only histograms recorded; 
first production after beam break and warmup; 
starting with run 10 production data; 
last series with proton detector 42-117A 
high proton singles rate; 
APD1 is dead since cooldown; no hope for recovery",Data0004,0x45554554
1015,70,still debugging,,Test,,3,24,2008-12-08 15:04:00-05,2008-12-07 17:58:00-05,HB,42-117C,1400,,-25000,new proton detector,"while intending to do production, several problems were 
noticed and corrected. probably nothing but calibration 
data.",Data0004,0x45554554
1016,71,short calibration with NO beam,,Calibration,,3,25,2008-12-08 18:32:00-05,2008-12-07 18:44:00-05,HB,42-117C,1400,Off,-25000,,"after APD noise was hopefully reduced; no-beam data 
for comparison with next series, which is production.",Data0004,
