Series #,SB ID,Mirror Voltage,Beam,Detector Voltage,Config
60,42-117A,0,Off,0,
61,42-117A,0,,0,
62,42-117A,0,,0,
63,42-117A,0,,0,
64,42-117A,0,,0,
65,42-117A,0,,0,
66,42-117A,0,,0,
67,42-117A,0,,0,
68,42-117A,0,,-25000,
69,42-117A,500,,-25000,0x45554554
70,42-117C,1400,,-25000,0x45554554
71,42-117C,1400,Off,-25000,
72,42-117C,1400,On,-25000,0x45554554
73,42-117C,0,On,-25000,0x45554554
74,42-117C,0,On,-25000,0x45554554
75,42-117C,0,On,-25000,0x45554554
76,42-117C,1400,On,-25000,0x45554554
77,42-117C,1400,On,-25000,0x45554554
78,42-117C,1400,On,-25000,0x45554554
79,42-117C,1400,On,-25000,0x45554554
80,42-117C,0,Off,0,0x45554554
81,42-117C,0,Off,0,
82,42-117C,0,Off,0,
83,42-117C,0,On,-25000,
84,42-117C,1000,On,-25000,0x45544555
85,42-117C,1400,On,-25000,0x45544555
87,42-117C,1400,On,-25000,0x45544555
88,42-117C,0,On,-25000,0x45544555
89,42-117C,1400,On,-25000,0x45544555
90,42-117C,0,On,-25000,0x45544555
91,42-117C,1400,On,-25000,0x45544555
92,42-117C,1400,On,-25000,0x45544555
93,42-117C,1400,On,-25000,0x45544555
94,42-117C,1400,On,-25000,0x45554555
95,42-117C,1400,On,-25000,0x45554555
96,42-117C,0,On,-25000,0x45554555
97,42-117C,1400,On,0,0x45554555
98,42-117C,1400,On,-25000,
99,42-117C,1400,On,-25000,
100,42-117C,1400,Off,-25000,0x45554555
101,42-117C,1400,Off,-25000,
102,47-113B,0,Off,0,
103,47-113B,0,On,-25000,
104,47-113B,1400,On,-25000,0x45554555
105,47-113B,1400,On,-25000,0x45554555
106,47-113B,1400,On,-25000,0x45554555
107,47-113B,0,On,-25000,0x45554555
108,47-113B,1400,On,-25000,0x45554555
109,47-113B,300,On,-25000,0x45554555
110,47-113B,300,On,-25000,0x45554555
111,47-113B,300,On,-25000,0x45554555
112,47-113B,300,On,-25000,0x45554555
113,47-113B,300,On,-25000,0x45554555
114,47-113B,0,On,-25000,0x45554555
115,47-113B,0,On,-25000,0x45554555
116,47-113B,0,,-25000,0x45554555
117,47-113B,0,On,-25000,0x45554555
118,47-113B,0,On,-25000,0x45554555
119,47-113B,1400,On,-25000,0x45554555
120,47-113B,1400,On,-25000,0x45554555
121,47-113B,300,On,-25000,0x45554555
122,47-113B,300,On,-25000,0x45554555
123,47-113B,300,On,-25000,0x45554555
124,47-113B,0,On,-25000,0x45554555
125,47-113B,150,On,-25000,0x45554555
126,47-113B,1400,On,-25000,0x45554555
127,47-113B,1400,On,-25000,0x45554555
128,47-113B,1400,On,-25000,
129,47-113B,0,Off,0,
130,47-113B,0,Off,0,
132,47-113B,0,Off,0,
133,47-113B,0,Off,0,
134,47-113B,0,Off,0,
135,47-113B,0,Off,0,
136,47-113B,0,Off,0,
137,47-113B,0,Off,0,
140,47-113B,0,Off,0,
141,47-113B,0,Off,0,
142,47-113B,0,Off,0,
143,47-113B,90,On,-25000,
144,47-113B,60,On,-25000,
145,47-113B,0,On,-25000,
146,47-113B,1400,On,-25000,
147,47-113B,30,On,-25000,
148,47-113B,1400,On,-25000,0x69556955
149,47-113B,0,On,-25000,0x45554555
150,47-113B,0,On,-25000,0x45554555
151,47-113B,1400,On,-25000,0x69556955
