Series,eEndPt
72,21842.6575529202
76,21848.7448422886
77,21681.2962981202
78,21731.6766862464
79,21791.7431030773
87,21833.7543733976
89,21827.3849293542
91,21981.0189464331
93,21960.109885656
94,21877.8919993517
95,21849.5392873225
104,25200.4625249309
105,24938.1575888994
106,24923.6479086784
108,24874.4818519901
119,24765.9493585086
120,24887.5152040442
126,25050.900033642
127,24960.5811267478
151,25347.9344049148
153,25466.1617857823
154,25381.9258237296
155,25271.4489174141
156,25481.5267232255
160,25510.0573620833
161,25503.8298453919
162,25439.4453122208
165,25471.9571742488
166,25465.9753332012
175,25440.7867852211
176,25551.077435065
185,25676.6962595102
187,25651.3153204735
213,24062.9891415288
214,24076.3994688795
215,24009.8843800967
223,23894.1420689549
227,24518.4672904442
228,24390.0967209322
253,24621.455193908
256,24641.2647757583
257,24569.9833562615
258,24669.6287182694
260,24529.3930119467
261,24475.4653370692
262,24523.647300279
263,24515.1192994278
265,24429.491864034
267,24379.2306583953
270,24455.9052172983
289,24591.0065583547
290,24644.0486496803
291,24668.3536899027
292,24537.660788455
304,24888.4399463981
305,24054.534300901
311,23823.3340668531
313,23910.0753832122
314,23876.2829339297
317,23750.2366382828
318,24241.7657386462
319,19661.8367593482
321,19107.4444382466
