Bin Center (keV),det00,err00,det01,err01,det02,err02,det03,err03,det04,err04,det05,err05,det10,err10,det11,err11,det12,err12,det13,err13,det14,err14,det15,err15,all,err
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,2.78087e-06,4.06719e-07,2.61858e-06,3.75483e-07,0,0,3.31037e-06,4.02324e-07,3.21301e-06,4.33096e-07,2.15834e-06,3.98005e-07,3.13068e-06,4.07349e-07,3.24375e-06,3.69064e-07,1.35797e-06,5.32668e-07,3.93555e-06,4.58971e-07,3.77669e-06,4.2699e-07,2.80015e-06,3.46011e-07,3.52821e-05,1.51182e-06
11.5,3.66089e-06,4.33747e-07,3.09515e-06,3.84707e-07,0,0,3.18226e-06,3.88206e-07,3.63321e-06,4.31517e-07,2.71734e-06,4.0042e-07,3.09761e-06,3.89273e-07,2.16763e-06,3.30793e-07,3.01315e-06,5.13261e-07,3.25913e-06,4.32823e-07,3.2745e-06,4.16025e-07,2.73286e-06,3.26204e-07,3.68332e-05,1.47389e-06
12.5,3.86623e-06,4.29962e-07,3.0234e-06,3.76914e-07,0,0,2.81843e-06,3.66673e-07,3.24375e-06,4.13366e-07,2.29291e-06,3.69885e-07,2.43069e-06,3.63902e-07,1.71668e-06,3.05966e-07,3.24375e-06,4.80357e-07,3.28475e-06,4.24399e-07,4.08928e-06,4.34277e-07,2.30844e-06,3.02866e-07,3.51794e-05,1.4164e-06
13.5,3.17981e-06,4.01266e-07,2.6442e-06,3.4695e-07,0,0,2.82355e-06,3.4676e-07,2.52634e-06,3.85423e-07,1.95131e-06,3.54576e-07,2.89368e-06,3.69124e-07,2.38285e-06,3.20634e-07,3.09515e-06,4.35605e-07,2.88504e-06,4.06964e-07,3.09002e-06,3.90835e-07,2.67593e-06,3.14112e-07,3.28242e-05,1.34495e-06
14.5,2.39366e-06,3.59842e-07,2.35723e-06,3.34071e-07,0,0,2.52634e-06,3.28002e-07,1.7628e-06,3.52282e-07,2.1894e-06,3.49401e-07,2.11101e-06,3.36489e-07,2.03439e-06,2.95399e-07,3.0644e-06,4.12571e-07,1.55782e-06,3.5599e-07,2.50584e-06,3.68851e-07,2.09623e-06,2.89803e-07,2.68251e-05,1.25024e-06
15.5,2.53446e-06,3.58692e-07,2.04977e-06,3.09593e-07,0,0,2.10613e-06,3.06567e-07,2.14713e-06,3.56174e-07,2.01342e-06,3.40233e-07,2.14408e-06,3.32127e-07,2.03439e-06,2.95399e-07,3.26425e-06,4.01638e-07,2.11638e-06,3.59696e-07,1.89091e-06,3.58013e-07,2.3809e-06,2.99576e-07,2.68935e-05,1.22804e-06
16.5,1.81871e-06,3.19189e-07,1.97802e-06,3.01166e-07,0,0,1.97802e-06,2.93213e-07,1.25036e-06,3.21084e-07,1.58382e-06,3.14155e-07,2.26534e-06,3.18492e-07,2.13688e-06,3.01122e-07,2.71594e-06,3.75868e-07,1.29648e-06,3.26799e-07,2.51096e-06,3.49062e-07,2.32915e-06,3.01359e-07,2.3854e-05,1.16265e-06
17.5,2.12965e-06,3.3379e-07,1.85504e-06,2.91597e-07,0,0,1.74742e-06,2.67208e-07,1.35797e-06,3.06395e-07,1.40784e-06,2.99933e-07,1.75274e-06,2.97942e-07,1.77305e-06,2.78515e-07,2.3726e-06,3.512e-07,1.42459e-06,3.15973e-07,1.90628e-06,3.21983e-07,1.77015e-06,2.65336e-07,2.12251e-05,1.09808e-06
18.5,2.06512e-06,3.2496e-07,1.22473e-06,2.63347e-07,0,0,1.40409e-06,2.524e-07,1.60907e-06,3.09423e-07,1.44407e-06,2.92838e-07,1.04172e-06,2.72874e-07,1.69106e-06,2.75005e-07,1.68593e-06,3.1759e-07,1.7833e-06,3.13051e-07,2.26499e-06,3.32416e-07,1.97201e-06,2.67899e-07,1.9828e-05,1.0634e-06
19.5,1.60164e-06,2.99552e-07,1.31185e-06,2.63994e-07,0,0,1.22473e-06,2.36557e-07,1.37334e-06,2.99767e-07,1.27327e-06,2.81788e-07,1.89605e-06,2.98145e-07,1.5322e-06,2.63347e-07,2.06514e-06,3.25592e-07,9.68514e-07,2.89926e-07,1.54757e-06,2.98274e-07,1.84261e-06,2.61574e-07,1.81058e-05,1.02845e-06
20.5,1.2027e-06,2.67246e-07,1.30673e-06,2.53387e-07,0,0,1.16324e-06,2.35556e-07,1.34772e-06,2.97348e-07,1.04035e-06,2.64882e-07,1.36141e-06,2.71311e-07,1.98315e-06,2.76576e-07,1.26061e-06,2.8319e-07,1.82942e-06,3.11411e-07,1.35284e-06,2.76718e-07,1.27327e-06,2.33432e-07,1.65262e-05,9.81976e-07
21.5,1.26723e-06,2.56669e-07,1.48096e-06,2.50048e-07,0,0,1.56807e-06,2.4112e-07,1.17349e-06,2.72655e-07,8.43668e-07,2.51283e-07,1.86298e-06,2.85975e-07,1.66031e-06,2.59074e-07,1.80892e-06,3.06481e-07,1.92678e-06,3.01601e-07,1.47583e-06,2.81236e-07,1.45442e-06,2.41609e-07,1.80374e-05,9.74079e-07
22.5,1.3435e-06,2.55796e-07,1.33235e-06,2.45223e-07,0,0,8.91648e-07,2.19574e-07,1.25036e-06,2.63098e-07,8.69548e-07,2.4122e-07,1.47715e-06,2.70133e-07,1.66543e-06,2.55964e-07,1.61931e-06,2.86876e-07,1.15812e-06,2.71352e-07,1.40409e-06,2.76243e-07,1.34055e-06,2.34405e-07,1.56423e-05,9.3054e-07
23.5,7.62686e-07,2.19516e-07,1.45021e-06,2.42369e-07,0,0,1.01976e-06,2.19873e-07,1.33747e-06,2.56169e-07,9.21307e-07,2.40664e-07,1.23464e-06,2.49921e-07,1.41946e-06,2.42694e-07,1.27598e-06,2.68775e-07,1.00439e-06,2.54885e-07,1.61931e-06,2.71352e-07,1.49583e-06,2.34405e-07,1.48382e-05,8.92928e-07
24.5,1.00909e-06,2.27826e-07,1.04026e-06,2.17833e-07,0,0,1.03001e-06,2.17953e-07,8.45528e-07,2.21894e-07,8.74724e-07,2.37809e-07,7.71647e-07,2.26587e-07,1.50145e-06,2.41827e-07,9.32643e-07,2.4778e-07,1.27598e-06,2.65828e-07,1.17862e-06,2.48415e-07,1.28879e-06,2.28033e-07,1.2848e-05,8.52479e-07
25.5,1.16163e-06,2.3038e-07,9.48016e-07,2.05935e-07,0,0,1.06075e-06,2.08344e-07,1.20936e-06,2.38382e-07,1.04035e-06,2.36e-07,1.0307e-06,2.29451e-07,9.12145e-07,1.986e-07,1.21961e-06,2.51149e-07,1.28623e-06,2.62748e-07,1.00951e-06,2.38877e-07,8.95427e-07,2.02918e-07,1.28366e-05,8.26958e-07
26.5,1.26723e-06,2.48493e-07,9.94136e-07,2.12895e-07,0,0,8.45528e-07,1.97473e-07,1.47583e-06,2.37167e-07,8.33317e-07,2.27915e-07,1.13542e-06,2.34104e-07,1.14787e-06,2.16563e-07,1.10175e-06,2.46025e-07,9.53141e-07,2.45972e-07,1.26573e-06,2.44311e-07,1.22668e-06,2.19777e-07,1.33384e-05,8.3346e-07
27.5,1.09709e-06,2.2669e-07,1.37334e-06,2.26404e-07,0,0,1.04026e-06,2.06699e-07,9.94136e-07,2.11036e-07,8.799e-07,2.23823e-07,1.23464e-06,2.28987e-07,9.78763e-07,2.03627e-07,6.55925e-07,2.15103e-07,1.05563e-06,2.40028e-07,1.42971e-06,2.47409e-07,1.04035e-06,1.99053e-07,1.28366e-05,8.00583e-07
28.5,9.73891e-07,2.06925e-07,1.08638e-06,2.06126e-07,0,0,1.17861e-06,2.08784e-07,1.06588e-06,2.10163e-07,6.31457e-07,1.98311e-07,9.37001e-07,2.12042e-07,1.06075e-06,2.02593e-07,1.19911e-06,2.33484e-07,1.18374e-06,2.4517e-07,8.91648e-07,2.15956e-07,1.36643e-06,2.12526e-07,1.26484e-05,7.76519e-07
