Bin Center (keV),n/ep,err
2.5,0,0
7.5,0,0
12.5,0,0
17.5,0,0
22.5,0,0
27.5,0,0
32.5,0,0
37.5,0,0
42.5,0,0
47.5,0,0
52.5,0.0120631,1.75808e-05
57.5,0.0121998,1.76801e-05
62.5,0.0124111,1.78325e-05
67.5,0.0125541,1.79349e-05
72.5,0.0126334,1.79915e-05
77.5,0.0126661,1.80148e-05
82.5,0.01269,1.80318e-05
87.5,0.0126297,1.79889e-05
92.5,0.0126181,1.79806e-05
97.5,0.012579,1.79527e-05
102.5,0.0125399,1.79248e-05
107.5,0.0125344,1.79209e-05
112.5,0.0124585,1.78665e-05
117.5,0.012415,1.78353e-05
122.5,0.0123985,1.78235e-05
127.5,0.0122782,1.77367e-05
132.5,0.0122587,1.77227e-05
137.5,0.0121575,1.76493e-05
142.5,0.0121742,1.76615e-05
147.5,0.0121053,1.76114e-05
152.5,0.0120511,1.7572e-05
157.5,0.0120054,1.75387e-05
162.5,0.0119435,1.74934e-05
167.5,0.0118622,1.74337e-05
172.5,0.0118354,1.7414e-05
177.5,0.0117468,1.73487e-05
182.5,0.0117027,1.73161e-05
187.5,0.0116285,1.72611e-05
192.5,0.0115601,1.72103e-05
197.5,0.0114632,1.7138e-05
202.5,0.0114555,1.71323e-05
207.5,0.0113886,1.70821e-05
212.5,0.0113462,1.70503e-05
217.5,0.01129,1.7008e-05
222.5,0.0111877,1.69308e-05
227.5,0.0110928,1.68588e-05
232.5,0.0110326,1.6813e-05
237.5,0.0109681,1.67638e-05
242.5,0.010905,1.67155e-05
247.5,0.0108787,1.66953e-05
252.5,0.0107852,1.66234e-05
257.5,0.0107107,1.65659e-05
262.5,0.0106229,1.64979e-05
267.5,0.0105588,1.6448e-05
272.5,0.0105188,1.64168e-05
277.5,0.010453,1.63654e-05
282.5,0.0103745,1.63038e-05
287.5,0.0102844,1.62329e-05
292.5,0.0101923,1.61601e-05
297.5,0.0101102,1.60949e-05
302.5,0.0100318,1.60324e-05
307.5,0.00994528,1.5963e-05
312.5,0.00986529,1.58987e-05
317.5,0.00977074,1.58223e-05
322.5,0.00970666,1.57704e-05
327.5,0.00960266,1.56857e-05
332.5,0.0095279,1.56245e-05
337.5,0.00943922,1.55516e-05
342.5,0.00934324,1.54723e-05
347.5,0.00925402,1.53983e-05
352.5,0.00912666,1.5292e-05
357.5,0.00901884,1.52014e-05
362.5,0.00889462,1.50963e-05
367.5,0.00879113,1.50082e-05
372.5,0.00867873,1.4912e-05
377.5,0.00858126,1.4828e-05
382.5,0.00844375,1.47087e-05
387.5,0.00833575,1.46144e-05
392.5,0.00818366,1.44804e-05
397.5,0.00806864,1.43783e-05
402.5,0.00793969,1.42629e-05
407.5,0.00780745,1.41437e-05
412.5,0.00769551,1.40419e-05
417.5,0.0075796,1.39357e-05
422.5,0.00746107,1.38264e-05
427.5,0.00729481,1.36714e-05
432.5,0.00716972,1.35537e-05
437.5,0.00704146,1.34319e-05
442.5,0.00686776,1.32652e-05
447.5,0.00676543,1.3166e-05
452.5,0.00662684,1.30305e-05
457.5,0.00645876,1.28642e-05
462.5,0.00634077,1.27461e-05
467.5,0.00619654,1.26003e-05
472.5,0.00604319,1.24434e-05
477.5,0.00590396,1.22993e-05
482.5,0.00574472,1.21323e-05
487.5,0.00560895,1.1988e-05
492.5,0.0054595,1.18272e-05
497.5,0.00532911,1.16852e-05
502.5,0.00516449,1.15033e-05
507.5,0.00501349,1.13338e-05
512.5,0.00487444,1.11756e-05
517.5,0.00470647,1.09813e-05
522.5,0.00456711,1.08175e-05
527.5,0.00440966,1.06294e-05
532.5,0.00428004,1.0472e-05
537.5,0.00412482,1.02804e-05
542.5,0.00397508,1.00921e-05
547.5,0.00381946,9.89254e-06
552.5,0.00367999,9.71026e-06
557.5,0.00355429,9.54297e-06
562.5,0.00338516,9.31315e-06
567.5,0.00324224,9.11443e-06
572.5,0.00311838,8.93865e-06
577.5,0.00297982,8.7378e-06
582.5,0.00280549,8.47835e-06
587.5,0.00266995,8.27101e-06
592.5,0.00253131,8.0534e-06
597.5,0.0024117,7.86084e-06
602.5,0.002289,7.65825e-06
607.5,0.002146,7.41519e-06
612.5,0.00203388,7.21888e-06
617.5,0.00190633,6.98886e-06
622.5,0.00177669,6.74702e-06
627.5,0.00166582,6.53312e-06
632.5,0.00154396,6.28963e-06
637.5,0.0014396,6.07335e-06
642.5,0.00133322,5.84464e-06
647.5,0.00123309,5.62088e-06
652.5,0.0011295,5.3796e-06
657.5,0.00101763,5.10625e-06
662.5,0.000937563,4.90125e-06
667.5,0.00084786,4.66089e-06
672.5,0.000763845,4.42394e-06
677.5,0.000682341,4.18127e-06
682.5,0.000604425,3.9353e-06
687.5,0.000531427,3.69002e-06
692.5,0.000459762,3.43221e-06
697.5,0.000399986,3.20132e-06
702.5,0.000339697,2.95021e-06
707.5,0.000287531,2.71425e-06
712.5,0.000239182,2.47555e-06
717.5,0.00019401,2.22956e-06
722.5,0.000155577,1.99655e-06
727.5,0.000120808,1.75936e-06
732.5,9.12145e-05,1.52876e-06
737.5,6.65917e-05,1.30622e-06
742.5,4.45055e-05,1.06786e-06
747.5,3.12333e-05,8.94573e-07
752.5,1.8576e-05,6.89895e-07
757.5,1.35028e-05,5.88192e-07
762.5,1.11712e-05,5.35004e-07
767.5,1.00951e-05,5.08583e-07
772.5,9.78763e-06,5.00779e-07
777.5,9.50579e-06,4.93516e-07
782.5,9.94136e-06,5.04696e-07
787.5,9.4033e-06,4.90848e-07
792.5,8.9421e-06,4.7866e-07
