Bin Center (us),n/ep,err
0,0,0
0.04,0,0
0.08,0,0
0.12,0,0
0.16,0,0
0.2,0,0
0.24,0,0
0.28,0,0
0.32,0,0
0.36,0,0
0.4,0,0
0.44,0,0
0.48,0,0
0.52,0,0
0.56,0,0
0.6,0,0
0.64,0,0
0.68,0,0
0.72,0,0
0.76,0,0
0.8,0,0
0.84,0,0
0.88,0,0
0.92,0,0
0.96,0,0
1,0,0
1.04,0,0
1.08,0,0
1.12,0,0
1.16,0,0
1.2,0,0
1.24,0,0
1.28,0,0
1.32,0,0
1.36,0,0
1.4,0,0
1.44,0,0
1.48,0,0
1.52,0,0
1.56,0,0
1.6,0,0
1.64,0,0
1.68,0,0
1.72,0,0
1.76,0,0
1.8,0,0
1.84,0,0
1.88,0,0
1.92,0,0
1.96,0,0
2,0.000152221,1.97489e-06
2.04,0.00110846,5.32927e-06
2.08,0.0037521,9.80492e-06
2.12,0.00600576,1.24048e-05
2.16,0.00697123,1.33648e-05
2.2,0.00737285,1.37444e-05
2.24,0.0076796,1.40274e-05
2.28,0.00795345,1.42753e-05
2.32,0.008252,1.45407e-05
2.36,0.00851426,1.477e-05
2.4,0.00871347,1.49418e-05
2.44,0.00893867,1.51336e-05
2.48,0.00918666,1.53421e-05
2.52,0.00935636,1.54832e-05
2.56,0.00954109,1.56353e-05
2.6,0.00969231,1.57587e-05
2.64,0.00985337,1.58891e-05
2.68,0.00996429,1.59783e-05
2.72,0.0100722,1.60646e-05
2.76,0.0101602,1.61346e-05
2.8,0.0102877,1.62355e-05
2.84,0.0103336,1.62717e-05
2.88,0.0104037,1.63268e-05
2.92,0.010455,1.6367e-05
2.96,0.0104778,1.63848e-05
3,0.010494,1.63975e-05
3.04,0.0104609,1.63716e-05
3.08,0.0104887,1.63934e-05
3.12,0.0104412,1.63562e-05
3.16,0.010385,1.63121e-05
3.2,0.0103392,1.62761e-05
3.24,0.0102831,1.62319e-05
3.28,0.0102604,1.6214e-05
3.32,0.0101903,1.61585e-05
3.36,0.0101303,1.61108e-05
3.4,0.0100166,1.60202e-05
3.44,0.00995494,1.59708e-05
3.48,0.00986585,1.58992e-05
3.52,0.00979283,1.58402e-05
3.56,0.00968514,1.57529e-05
3.6,0.00958849,1.56741e-05
3.64,0.00944693,1.5558e-05
3.68,0.00937209,1.54962e-05
3.72,0.00924331,1.53894e-05
3.76,0.0091347,1.52987e-05
3.8,0.00902391,1.52056e-05
3.84,0.00892171,1.51193e-05
3.88,0.00882895,1.50405e-05
3.92,0.00870968,1.49385e-05
3.96,0.00860737,1.48505e-05
4,0.00850022,1.47578e-05
4.04,0.00837355,1.46474e-05
4.08,0.00827503,1.4561e-05
4.12,0.0081843,1.4481e-05
4.16,0.00805729,1.43682e-05
4.2,0.00793751,1.4261e-05
4.24,0.00784596,1.41785e-05
4.28,0.00775106,1.40925e-05
4.32,0.00765572,1.40055e-05
4.36,0.00753591,1.38955e-05
4.4,0.00740875,1.37778e-05
4.44,0.00733557,1.37096e-05
4.48,0.00725138,1.36307e-05
4.52,0.00715988,1.35444e-05
4.56,0.00704051,1.3431e-05
4.6,0.00694225,1.3337e-05
4.64,0.00685272,1.32507e-05
4.68,0.00674624,1.31473e-05
4.72,0.00664926,1.30525e-05
4.76,0.00657816,1.29825e-05
4.8,0.00647928,1.28846e-05
4.84,0.00638538,1.27909e-05
4.88,0.00632706,1.27323e-05
4.92,0.00620999,1.2614e-05
4.96,0.00615455,1.25576e-05
5,0.0060382,1.24383e-05
5.04,0.00596389,1.23615e-05
5.08,0.00592992,1.23263e-05
5.12,0.00583015,1.22221e-05
5.16,0.00574644,1.21341e-05
5.2,0.00565182,1.20338e-05
5.24,0.00560098,1.19795e-05
5.28,0.0055317,1.19052e-05
5.32,0.00545286,1.182e-05
5.36,0.00537646,1.17369e-05
5.4,0.00530569,1.16594e-05
5.44,0.00524481,1.15924e-05
5.48,0.0052002,1.1543e-05
5.52,0.00511132,1.14439e-05
5.56,0.00507547,1.14037e-05
5.6,0.00499479,1.13127e-05
5.64,0.00491398,1.12208e-05
5.68,0.00485984,1.11588e-05
5.72,0.00479876,1.10885e-05
5.76,0.00474861,1.10304e-05
5.8,0.00467897,1.09492e-05
5.84,0.0046285,1.089e-05
5.88,0.00455102,1.07984e-05
5.92,0.0044856,1.07206e-05
5.96,0.00442939,1.06532e-05
6,0.00439498,1.06117e-05
6.04,0.00430297,1.05e-05
6.08,0.0042704,1.04602e-05
6.12,0.0041921,1.03639e-05
6.16,0.00414624,1.0307e-05
6.2,0.00409428,1.02423e-05
6.24,0.00404949,1.01861e-05
6.28,0.00398815,1.01086e-05
6.32,0.00393137,1.00364e-05
6.36,0.00385702,9.94106e-06
6.4,0.00382335,9.89758e-06
6.44,0.00378722,9.85071e-06
6.48,0.00371984,9.76268e-06
6.52,0.00364653,9.66601e-06
6.56,0.00362163,9.63294e-06
6.6,0.00356475,9.557e-06
6.64,0.00351238,9.48653e-06
6.68,0.00346567,9.42324e-06
6.72,0.00342721,9.37081e-06
6.76,0.00338621,9.3146e-06
6.8,0.00333374,9.24215e-06
6.84,0.00327276,9.15723e-06
6.88,0.00322625,9.09193e-06
6.92,0.00320476,9.06159e-06
6.96,0.00315246,8.98736e-06
7,0.00311708,8.93678e-06
7.04,0.00307091,8.87034e-06
7.08,0.00301925,8.79542e-06
7.12,0.00297997,8.73803e-06
7.16,0.00293116,8.66617e-06
7.2,0.00289898,8.61846e-06
7.24,0.00284015,8.53057e-06
7.28,0.00282673,8.51038e-06
7.32,0.00278238,8.44335e-06
7.36,0.00274863,8.392e-06
7.4,0.00268929,8.30092e-06
7.44,0.00266024,8.25595e-06
7.48,0.00261683,8.18832e-06
7.52,0.00258317,8.13548e-06
7.56,0.00255104,8.08473e-06
7.6,0.00250899,8.01782e-06
7.64,0.00247161,7.95787e-06
7.68,0.00244909,7.92153e-06
