Bin Center (keV),n/ep,err
0.125,0,0
0.375,0,0
0.625,0,0
0.875,0,0
1.125,0,0
1.375,0,0
1.625,0,0
1.875,0,0
2.125,0,0
2.375,0,0
2.625,0,0
2.875,0,0
3.125,0,0
3.375,0,0
3.625,0,0
3.875,0,0
4.125,0,0
4.375,0,0
4.625,0,0
4.875,0,0
5.125,0,0
5.375,0,0
5.625,0,0
5.875,0,0
6.125,0,0
6.375,0,0
6.625,0,0
6.875,0,0
7.125,0,0
7.375,0,0
7.625,0,0
7.875,0,0
8.125,0,0
8.375,0,0
8.625,0,0
8.875,0,0
9.125,0,0
9.375,0,0
9.625,0,0
9.875,0,0
10.125,0.00161296,6.42864e-06
10.375,0.00185778,6.89928e-06
10.625,0.00215707,7.43429e-06
10.875,0.00246612,7.94904e-06
11.125,0.00278871,8.45295e-06
11.375,0.00313973,8.96919e-06
11.625,0.00346041,9.4161e-06
11.875,0.00376857,9.82642e-06
12.125,0.00411062,1.02627e-05
12.375,0.00446785,1.06993e-05
12.625,0.004879,1.11808e-05
12.875,0.00531855,1.16736e-05
13.125,0.00582315,1.22148e-05
13.375,0.00644356,1.2849e-05
13.625,0.00706885,1.3458e-05
13.875,0.00779979,1.41367e-05
14.125,0.00853883,1.47913e-05
14.375,0.0094075,1.55254e-05
14.625,0.0103323,1.62706e-05
14.875,0.0113427,1.70477e-05
15.125,0.0124035,1.7827e-05
15.375,0.0135368,1.86236e-05
15.625,0.014731,1.94278e-05
15.875,0.0159846,2.02375e-05
16.125,0.0172755,2.10389e-05
16.375,0.0186024,2.18319e-05
16.625,0.0199914,2.26323e-05
16.875,0.0212961,2.33592e-05
17.125,0.0226767,2.41045e-05
17.375,0.0239628,2.47786e-05
17.625,0.0252257,2.54231e-05
17.875,0.0264135,2.60148e-05
18.125,0.0274755,2.65326e-05
18.375,0.0284841,2.70152e-05
18.625,0.0292962,2.73976e-05
18.875,0.0299608,2.77066e-05
19.125,0.0304392,2.79269e-05
19.375,0.0307703,2.80785e-05
19.625,0.0308797,2.81283e-05
19.875,0.030717,2.80541e-05
20.125,0.0304436,2.7929e-05
20.375,0.0299318,2.76932e-05
20.625,0.0292411,2.73718e-05
20.875,0.0283248,2.69396e-05
21.125,0.0273135,2.64543e-05
21.375,0.0260648,2.58425e-05
21.625,0.0247462,2.51803e-05
21.875,0.0233367,2.44527e-05
22.125,0.0218535,2.36629e-05
22.375,0.0203034,2.28082e-05
22.625,0.018793,2.19435e-05
22.875,0.0172288,2.10104e-05
23.125,0.0157394,2.00817e-05
23.375,0.0142677,1.91199e-05
23.625,0.0128129,1.81188e-05
23.875,0.0114642,1.71387e-05
24.125,0.010204,1.61694e-05
24.375,0.00904226,1.52211e-05
24.625,0.00797551,1.42951e-05
24.875,0.00697996,1.33731e-05
25.125,0.00605952,1.24602e-05
25.375,0.00527658,1.16274e-05
25.625,0.00452893,1.07722e-05
25.875,0.00387508,9.96431e-06
26.125,0.00329259,9.18493e-06
26.375,0.00278486,8.44712e-06
26.625,0.00233176,7.72946e-06
26.875,0.0019452,7.05975e-06
27.125,0.00157691,6.35639e-06
27.375,0.00126781,5.69946e-06
27.625,0.000996647,5.05333e-06
27.875,0.000790979,4.50183e-06
28.125,0.000619849,3.9852e-06
28.375,0.000475264,3.48959e-06
28.625,0.000360323,3.03846e-06
28.875,0.000272721,2.64342e-06
29.125,0.000190551,2.2096e-06
29.375,0.000132979,1.84586e-06
29.625,8.84474e-05,1.50539e-06
29.875,5.89307e-05,1.22879e-06
30.125,3.80744e-05,9.87697e-07
30.375,2.66469e-05,8.26287e-07
30.625,1.90884e-05,6.99346e-07
