Bin Center (keV),det00,err00,det01,err01,det02,err02,det03,err03,det04,err04,det05,err05,det10,err10,det11,err11,det12,err12,det13,err13,det14,err14,det15,err15,all,err
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,1.0492e-05,6.68737e-06,1.96725e-06,3.40738e-06,0,0,4.59025e-06,4.77394e-06,7.21326e-06,5.82844e-06,-2.64385e-06,1.32193e-06,5.246e-06,4.72868e-06,6.55751e-07,3.53133e-06,7.21326e-06,7.73119e-06,4.59025e-06,4.77394e-06,3.9345e-06,4.81876e-06,4.62674e-06,4.81188e-06,5.22966e-05,1.82223e-05
11.5,6.55751e-07,3.53133e-06,4.59025e-06,5.97417e-06,0,0,-2.623e-06,1.3115e-06,6.55751e-06,5.86521e-06,-4.62674e-06,1.74874e-06,5.90176e-06,4.683e-06,1.3115e-06,3.46991e-06,-6.5575e-07,5.12158e-06,1.96725e-06,3.40738e-06,1.96725e-06,4.95081e-06,-6.60963e-07,6.60963e-07,1.57606e-05,1.48208e-05
12.5,8.52476e-06,5.75419e-06,1.3115e-06,3.46991e-06,0,0,1.96725e-06,3.40738e-06,7.86901e-06,5.79143e-06,-2.64385e-06,3.85404e-06,-2.623e-06,1.3115e-06,1.3115e-06,3.46991e-06,2.623e-06,6.08118e-06,7.86901e-06,5.79143e-06,3.9345e-06,6.01005e-06,1.65241e-05,7.38979e-06,5.08638e-05,1.82504e-05
13.5,-1.96725e-06,1.13579e-06,-3.27875e-06,1.4663e-06,0,0,6.55751e-07,3.53133e-06,1.37708e-05,7.4479e-06,6.60963e-06,5.91183e-06,-6.55751e-07,6.55751e-07,9.18051e-06,5.7167e-06,9.83626e-06,6.71944e-06,3.27875e-06,4.86318e-06,2.623e-06,3.34369e-06,-1.32193e-06,9.34742e-07,4.22671e-05,1.61942e-05
14.5,4.59025e-06,4.77394e-06,-1.3115e-06,9.27371e-07,0,0,5.90176e-06,4.683e-06,8.52476e-06,5.75419e-06,4.62674e-06,4.81188e-06,1.11478e-05,6.65514e-06,9.18051e-06,5.7167e-06,1.3115e-05,7.47671e-06,8.52476e-06,5.75419e-06,8.52476e-06,6.78314e-06,1.98289e-06,3.43446e-06,8.16686e-05,1.96975e-05
15.5,5.90176e-06,4.683e-06,5.246e-06,4.72868e-06,0,0,-2.623e-06,1.3115e-06,3.27875e-06,4.86318e-06,4.62674e-06,4.81188e-06,3.27875e-06,3.27875e-06,6.55751e-06,5.86521e-06,1.0492e-05,6.68737e-06,4.59025e-06,5.97417e-06,2.623e-06,4.90719e-06,5.2877e-06,4.76627e-06,5.37294e-05,1.77659e-05
16.5,1.3115e-06,3.46991e-06,5.90176e-06,5.90176e-06,0,0,4.59025e-06,4.77394e-06,5.246e-06,4.72868e-06,1.32193e-06,3.49749e-06,3.27875e-06,3.27875e-06,6.55751e-06,4.63686e-06,2.623e-06,3.34369e-06,1.96725e-06,3.40738e-06,-3.9345e-06,1.60625e-06,2.64385e-06,3.37026e-06,3.43868e-05,1.43636e-05
17.5,1.96725e-06,3.40738e-06,3.9345e-06,4.81876e-06,0,0,5.246e-06,4.72868e-06,5.246e-06,4.72868e-06,0,3.62024e-06,-6.55751e-07,6.55751e-07,-6.55751e-07,6.55751e-07,-1.81899e-13,3.59169e-06,1.3115e-05,6.55751e-06,1.3115e-06,3.46991e-06,2.64385e-06,3.37026e-06,3.51032e-05,1.43457e-05
18.5,1.96725e-06,3.40738e-06,-6.55751e-07,6.55751e-07,0,0,0,0,3.27875e-06,4.86318e-06,6.60963e-07,3.55939e-06,0,0,8.52476e-06,5.75419e-06,1.3115e-06,3.46991e-06,1.11478e-05,6.65514e-06,7.21326e-06,5.82844e-06,0,0,3.6536e-05,1.43099e-05
19.5,1.3115e-06,3.46991e-06,5.90176e-06,4.683e-06,0,0,5.90176e-06,4.683e-06,5.246e-06,5.93807e-06,3.96578e-06,4.85706e-06,1.96725e-06,3.40738e-06,6.55751e-07,3.53133e-06,3.27875e-06,4.86318e-06,-6.55751e-07,3.65106e-06,7.21326e-06,5.82844e-06,0,0,3.79687e-05,1.58094e-05
20.5,1.96725e-06,3.40738e-06,-6.55751e-07,6.55751e-07,0,0,6.55751e-06,4.63686e-06,-1.96725e-06,1.13579e-06,5.94866e-06,4.72022e-06,2.623e-06,3.34369e-06,1.18035e-05,6.62276e-06,0,0,-2.623e-06,1.3115e-06,2.623e-06,3.34369e-06,-6.60963e-07,6.60963e-07,2.79393e-05,1.22207e-05
21.5,6.55751e-06,4.63686e-06,0,0,0,0,1.96725e-06,3.40738e-06,-3.27875e-06,1.4663e-06,5.2877e-06,4.76627e-06,1.96725e-06,3.40738e-06,5.246e-06,4.72868e-06,2.623e-06,3.34369e-06,3.27875e-06,3.27875e-06,3.27875e-06,4.86318e-06,1.98289e-06,3.43446e-06,3.15212e-05,1.33257e-05
22.5,1.96725e-06,3.40738e-06,2.623e-06,3.34369e-06,0,0,5.90176e-06,4.683e-06,2.623e-06,3.34369e-06,-2.64385e-06,1.32193e-06,6.55751e-06,4.63686e-06,0,0,9.18051e-06,5.7167e-06,1.96725e-06,3.40738e-06,1.96725e-06,3.40738e-06,0,0,3.2954e-05,1.26945e-05
23.5,0,0,2.623e-06,3.34369e-06,0,0,5.246e-06,4.72868e-06,2.623e-06,3.34369e-06,2.64385e-06,3.37026e-06,6.55751e-06,4.63686e-06,1.3115e-06,3.46991e-06,6.55751e-07,3.53133e-06,3.27875e-06,3.27875e-06,2.623e-06,3.34369e-06,1.32193e-06,3.49749e-06,3.15212e-05,1.27349e-05
24.5,0,0,1.3115e-06,3.46991e-06,0,0,-1.3115e-06,9.27371e-07,-6.55751e-07,6.55751e-07,-3.96578e-06,1.61902e-06,0,0,1.96725e-06,3.40738e-06,1.3115e-06,3.46991e-06,-1.81899e-13,3.59169e-06,2.623e-06,3.34369e-06,2.64385e-06,3.37026e-06,4.29835e-06,9.44985e-06
25.5,-6.55751e-07,6.55751e-07,2.623e-06,3.34369e-06,0,0,2.623e-06,3.34369e-06,9.83626e-06,5.67897e-06,-1.32193e-06,9.34742e-07,-1.3115e-06,9.27371e-07,-1.3115e-06,9.27371e-07,0,0,1.3115e-06,3.46991e-06,6.55751e-06,4.63686e-06,0,0,2.0059e-05,1.04308e-05
26.5,2.623e-06,3.34369e-06,-6.55751e-07,6.55751e-07,0,0,-6.55751e-07,6.55751e-07,-6.55751e-07,6.55751e-07,2.64385e-06,3.37026e-06,3.27875e-06,3.27875e-06,5.246e-06,4.72868e-06,5.90176e-06,4.683e-06,1.96725e-06,3.40738e-06,3.27875e-06,3.27875e-06,3.30481e-06,3.30481e-06,2.86557e-05,1.15515e-05
27.5,2.623e-06,3.34369e-06,2.623e-06,3.34369e-06,0,0,2.623e-06,3.34369e-06,-1.3115e-06,9.27371e-07,-1.32193e-06,9.34742e-07,3.27875e-06,3.27875e-06,3.27875e-06,3.27875e-06,6.55751e-06,4.63686e-06,-1.3115e-06,9.27371e-07,2.623e-06,3.34369e-06,-6.60963e-07,6.60963e-07,2.07754e-05,1.04062e-05
28.5,3.27875e-06,3.27875e-06,-1.96725e-06,1.13579e-06,0,0,-1.3115e-06,9.27371e-07,0,0,-1.32193e-06,9.34742e-07,0,0,9.83626e-06,5.67897e-06,6.55751e-06,4.63686e-06,0,0,2.623e-06,3.34369e-06,6.60963e-06,4.67371e-06,2.65065e-05,1.09352e-05
29.5,-6.55751e-07,6.55751e-07,-6.55751e-07,6.55751e-07,0,0,2.623e-06,3.34369e-06,3.27875e-06,3.27875e-06,2.64385e-06,3.37026e-06,2.623e-06,3.34369e-06,-6.55751e-07,6.55751e-07,2.623e-06,3.34369e-06,-1.3115e-06,9.27371e-07,-6.55751e-07,6.55751e-07,0,0,1.07459e-05,8.32372e-06
