Bin Center (keV),n/ep,err
2.5,0,0
7.5,0,0
12.5,0,0
17.5,0,0
22.5,0,0
27.5,0,0
32.5,0,0
37.5,0,0
42.5,0,0
47.5,0,0
52.5,0,0
57.5,0,0
62.5,0,0
67.5,0,0
72.5,0,0
77.5,0,0
82.5,0,0
87.5,0,0
92.5,0,0
97.5,0,0
102.5,0.00705588,0.0001521
107.5,0.0069444,0.000150894
112.5,0.00691489,0.000150573
117.5,0.00661324,0.000147252
122.5,0.00677718,0.000149066
127.5,0.00636734,0.000144489
132.5,0.00657718,0.00014685
137.5,0.00655423,0.000146594
142.5,0.00614766,0.000141974
147.5,0.00597061,0.000139915
152.5,0.00600668,0.000140337
157.5,0.00601323,0.000140413
162.5,0.00583946,0.00013837
167.5,0.00549519,0.000134229
172.5,0.00535748,0.000132536
177.5,0.00542306,0.000133345
182.5,0.00573782,0.00013716
187.5,0.00534765,0.000132415
192.5,0.00555749,0.000134988
197.5,0.00557388,0.000135186
202.5,0.00586897,0.000138719
207.5,0.00572142,0.000136964
212.5,0.00575093,0.000137317
217.5,0.00617717,0.000142315
222.5,0.00612471,0.000141709
227.5,0.00624602,0.000143105
232.5,0.00609848,0.000141405
237.5,0.00653783,0.00014641
242.5,0.00695751,0.000151036
247.5,0.00686243,0.000150001
252.5,0.00678702,0.000149174
257.5,0.00696407,0.000151107
262.5,0.00719358,0.000153577
267.5,0.00754113,0.000157243
272.5,0.00766245,0.000158503
277.5,0.00784606,0.000160391
282.5,0.00813786,0.000163346
287.5,0.00850836,0.000167023
292.5,0.00847558,0.000166701
297.5,0.00893132,0.000171125
302.5,0.00878706,0.000169737
307.5,0.0091969,0.00017365
312.5,0.00897395,0.000171532
317.5,0.0096297,0.000177689
322.5,0.0094756,0.000176262
327.5,0.00947232,0.000176231
332.5,0.00958052,0.000177235
337.5,0.00971167,0.000178444
342.5,0.0100297,0.000181342
347.5,0.00978708,0.000179135
352.5,0.00999692,0.000181045
357.5,0.0104592,0.000185184
362.5,0.0104035,0.00018469
367.5,0.0102691,0.000183493
372.5,0.0101871,0.000182759
377.5,0.0103543,0.000184253
382.5,0.0104887,0.000185445
387.5,0.0104625,0.000185213
392.5,0.0105182,0.000185706
397.5,0.0106232,0.00018663
402.5,0.0110691,0.000190507
407.5,0.0109904,0.000189828
412.5,0.011033,0.000190196
417.5,0.0110232,0.000190111
422.5,0.0110625,0.00019045
427.5,0.0114789,0.000194001
432.5,0.0111346,0.00019107
437.5,0.010856,0.000188664
442.5,0.0109543,0.000189516
447.5,0.0114494,0.000193752
452.5,0.0111937,0.000191576
457.5,0.0112363,0.00019194
462.5,0.0115314,0.000194444
467.5,0.0109642,0.000189602
472.5,0.0108428,0.00018855
477.5,0.0109937,0.000189857
482.5,0.0109379,0.000189375
487.5,0.0110232,0.000190111
492.5,0.0109805,0.000189743
497.5,0.0109773,0.000189715
502.5,0.011092,0.000190704
507.5,0.0108887,0.000188948
512.5,0.0106363,0.000186745
517.5,0.0104986,0.000185532
522.5,0.0104527,0.000185126
527.5,0.0102592,0.000183405
532.5,0.0102002,0.000182877
537.5,0.0102986,0.000183756
542.5,0.00992806,0.000180421
547.5,0.00991495,0.000180302
552.5,0.00951822,0.000176658
557.5,0.0092133,0.000173805
562.5,0.00933461,0.000174945
567.5,0.00887231,0.000170558
572.5,0.00898378,0.000171626
577.5,0.00843951,0.000166346
582.5,0.00822639,0.000164232
587.5,0.00796081,0.00016156
592.5,0.00786573,0.000160592
597.5,0.00753785,0.000157209
602.5,0.00743293,0.000156111
607.5,0.00761326,0.000157994
612.5,0.00658374,0.000146923
617.5,0.00665915,0.000147762
622.5,0.00626898,0.000143368
627.5,0.00592471,0.000139376
632.5,0.00574765,0.000137278
637.5,0.00557388,0.000135186
642.5,0.00527551,0.000131518
647.5,0.00490174,0.000126774
652.5,0.00471813,0.000124377
657.5,0.00436402,0.000119618
662.5,0.00438697,0.000119932
667.5,0.00387549,0.000112724
672.5,0.00374434,0.000110801
677.5,0.00369843,0.000110119
682.5,0.00314105,0.000101483
687.5,0.00294104,9.81985e-05
692.5,0.0027935,9.57037e-05
697.5,0.0028394,9.64867e-05
702.5,0.00245579,8.97325e-05
707.5,0.00223939,8.56878e-05
712.5,0.00201643,8.13104e-05
717.5,0.00180987,7.70333e-05
722.5,0.0017443,7.56248e-05
727.5,0.00155413,7.13835e-05
732.5,0.00154101,7.10817e-05
737.5,0.00144265,6.87757e-05
742.5,0.00122953,6.34928e-05
747.5,0.00122953,6.34928e-05
752.5,0.00111478,6.04572e-05
757.5,0.00130166,6.53287e-05
762.5,0.00125576,6.41665e-05
767.5,0.00106232,5.90176e-05
772.5,0.0011115,6.03682e-05
777.5,0.00108855,5.97417e-05
782.5,0.00110166,6.01005e-05
787.5,0.00109838,6.0011e-05
792.5,0.0011115,6.03682e-05
