Bin Center (us),n/ep,err
0,0,0
0.04,0,0
0.08,0,0
0.12,0,0
0.16,0,0
0.2,0,0
0.24,0,0
0.28,0,0
0.32,0,0
0.36,0,0
0.4,0,0
0.44,0,0
0.48,0,0
0.52,0,0
0.56,0,0
0.6,0,0
0.64,0,0
0.68,0,0
0.72,0,0
0.76,0,0
0.8,0,0
0.84,0,0
0.88,0,0
0.92,0,0
0.96,0,0
1,0,0
1.04,0,0
1.08,0,0
1.12,0,0
1.16,0,0
1.2,0,0
1.24,0,0
1.28,0,0
1.32,0,0
1.36,0,0
1.4,0,0
1.44,0,0
1.48,0,0
1.52,0,0
1.56,0,0
1.6,0,0
1.64,0,0
1.68,0,0
1.72,0,0
1.76,0,0
1.8,0,0
1.84,0,0
1.88,0,0
1.92,0,0
1.96,0,0
2,0.000770507,5.02623e-05
2.04,0.00191807,7.93025e-05
2.08,0.00299678,9.91247e-05
2.12,0.00365581,0.000109483
2.16,0.00407877,0.000115643
2.2,0.00448206,0.000121225
2.24,0.00481321,0.000125624
2.28,0.00531486,0.000132008
2.32,0.00555421,0.000134948
2.36,0.00611815,0.000141633
2.4,0.0068362,0.000149714
2.44,0.00722965,0.000153962
2.48,0.00825262,0.000164494
2.52,0.00939363,0.000175498
2.56,0.00997397,0.000180837
2.6,0.00919035,0.000173588
2.64,0.00885591,0.000170401
2.68,0.00813459,0.000163314
2.72,0.00772474,0.000159146
2.76,0.00845918,0.00016654
2.8,0.00855755,0.000167505
2.84,0.00844935,0.000166443
2.88,0.00845918,0.00016654
2.92,0.00843623,0.000166314
2.96,0.00841328,0.000166088
3,0.00823623,0.000164331
3.04,0.00866902,0.000168593
3.08,0.00829197,0.000164886
3.12,0.00860345,0.000167954
3.16,0.00840672,0.000166023
3.2,0.00827557,0.000164723
3.24,0.0083182,0.000165146
3.28,0.00819033,0.000163872
3.32,0.00845918,0.00016654
3.36,0.00788212,0.000160759
3.4,0.00797065,0.000161659
3.44,0.00783294,0.000160257
3.48,0.00801327,0.000162091
3.52,0.00780671,0.000159988
3.56,0.00743293,0.000156111
3.6,0.00730178,0.000154728
3.64,0.00703293,0.000151853
3.68,0.00754441,0.000157278
3.72,0.00726572,0.000154345
3.76,0.00689194,0.000150323
3.8,0.00726572,0.000154345
3.84,0.00725588,0.000154241
3.88,0.00739031,0.000155663
3.92,0.00717063,0.000153332
3.96,0.00739359,0.000155698
4,0.00722309,0.000153892
4.04,0.00738047,0.000155559
4.08,0.00729523,0.000154658
4.12,0.0070985,0.000152559
4.16,0.00723949,0.000154067
4.2,0.00695424,0.000151001
4.24,0.00669194,0.000148126
4.28,0.00684276,0.000149786
4.32,0.00665587,0.000147726
4.36,0.00603618,0.000140681
4.4,0.0063739,0.000144563
4.44,0.00613783,0.000141861
4.48,0.00642636,0.000145157
4.52,0.00622307,0.000142842
4.56,0.00592799,0.000139414
4.6,0.00608537,0.000141253
4.64,0.00600012,0.00014026
4.68,0.00564929,0.000136098
4.72,0.00590176,0.000139106
4.76,0.00563946,0.000135979
4.8,0.00535748,0.000132536
4.84,0.00537715,0.000132779
4.88,0.00545257,0.000133707
4.92,0.0054624,0.000133828
4.96,0.00542306,0.000133345
5,0.00533453,0.000132252
5.04,0.00524273,0.000131109
5.08,0.00515748,0.000130039
5.12,0.0053706,0.000132698
5.16,0.00503616,0.0001285
5.2,0.00483944,0.000125966
5.24,0.00469845,0.000124117
5.28,0.00471485,0.000124333
5.32,0.00462304,0.000123117
5.36,0.00460665,0.000122899
5.4,0.0045214,0.000121756
5.44,0.00440009,0.000120112
5.48,0.00425582,0.000118126
5.52,0.00420664,0.000117442
5.56,0.00467222,0.00012377
5.6,0.00446238,0.000120959
5.64,0.00423287,0.000117807
5.68,0.00423615,0.000117853
5.72,0.00418369,0.000117121
5.76,0.00476731,0.000125023
5.8,0.00474763,0.000124765
5.84,0.00460665,0.000122899
5.88,0.00423287,0.000117807
5.92,0.00392795,0.000113485
5.96,0.00364925,0.000109385
6,0.00378696,0.000111429
6.04,0.00375089,0.000110897
6.08,0.00380663,0.000111718
6.12,0.00363614,0.000109188
6.16,0.00338367,0.000105329
6.2,0.00362958,0.000109089
6.24,0.00347876,0.000106799
6.28,0.00332793,0.000104458
6.32,0.00322957,0.000102903
6.36,0.00342302,0.00010594
6.4,0.003164,0.000101853
6.44,0.0032099,0.000102589
6.48,0.00313121,0.000101324
6.52,0.00314105,0.000101483
6.56,0.00292465,9.79244e-05
6.6,0.00304268,9.9881e-05
6.64,0.00305252,0.000100042
6.68,0.00296071,9.85264e-05
6.72,0.00291481,9.77596e-05
6.76,0.00272137,9.446e-05
6.8,0.00289842,9.74843e-05
6.84,0.00278366,9.5535e-05
6.88,0.00266235,9.34301e-05
6.92,0.00259677,9.22723e-05
6.96,0.00267874,9.37173e-05
7,0.0026853,9.38319e-05
7.04,0.00263284,9.29109e-05
7.08,0.0024066,8.88294e-05
7.12,0.00239677,8.86477e-05
7.16,0.0023771,8.82831e-05
7.2,0.00241644,8.90107e-05
7.24,0.00248202,9.02104e-05
7.28,0.00228857,8.66236e-05
7.32,0.00234103,8.76108e-05
7.36,0.00245579,8.97325e-05
7.4,0.00240333,8.87689e-05
7.44,0.00232464,8.73035e-05
7.48,0.00229185,8.66857e-05
7.52,0.00222627,8.54365e-05
7.56,0.00215414,8.4041e-05
7.6,0.00226234,8.61258e-05
7.64,0.00224595,8.58132e-05
7.68,0.00210824,8.31408e-05
7.72,0.00213775,8.37206e-05
7.76,0.00205906,8.21653e-05
7.8,0.00199676,8.09128e-05
7.84,0.00200332,8.10456e-05
7.88,0.00191151,7.91668e-05
7.92,0.00179348,7.66836e-05
7.96,0.00173774,7.54826e-05
8,0.00193774,7.97081e-05
8.04,0.00176725,7.61208e-05
8.08,0.00176725,7.61208e-05
8.12,0.00173446,7.54113e-05
8.16,0.00180659,7.69634e-05
