Bin Center (keV),n/ep,err
0.125,0,0
0.375,0,0
0.625,0,0
0.875,0,0
1.125,0,0
1.375,0,0
1.625,0,0
1.875,0,0
2.125,0,0
2.375,0,0
2.625,0,0
2.875,0,0
3.125,0,0
3.375,0,0
3.625,0,0
3.875,0,0
4.125,0,0
4.375,0,0
4.625,0,0
4.875,0,0
5.125,0,0
5.375,0,0
5.625,0,0
5.875,0,0
6.125,0,0
6.375,0,0
6.625,0,0
6.875,0,0
7.125,0,0
7.375,0,0
7.625,0,0
7.875,0,0
8.125,0,0
8.375,0,0
8.625,0,0
8.875,0,0
9.125,0,0
9.375,0,0
9.625,0,0
9.875,0,0
10.125,0.0173872,0.000238764
10.375,0.0170397,0.000236366
10.625,0.017279,0.00023802
10.875,0.0172135,0.000237568
11.125,0.0180397,0.000243203
11.375,0.0181446,0.000243909
11.625,0.0178856,0.000242162
11.875,0.0181577,0.000243997
12.125,0.0182725,0.000244767
12.375,0.0171151,0.000236888
12.625,0.0159151,0.000228433
12.875,0.0152233,0.000223413
13.125,0.0144232,0.000217463
13.375,0.0139872,0.000214151
13.625,0.013456,0.000210045
13.875,0.0133314,0.00020907
14.125,0.0131412,0.000207574
14.375,0.0126527,0.000203679
14.625,0.0130789,0.000207081
14.875,0.0137281,0.000212158
15.125,0.0140495,0.000214627
15.375,0.0143904,0.000217216
15.625,0.0148003,0.000220287
15.875,0.0151577,0.000222931
16.125,0.0161183,0.000229887
16.375,0.0168561,0.000235089
16.625,0.0170921,0.00023673
16.875,0.0176528,0.000240581
17.125,0.0184627,0.000246038
17.375,0.0193381,0.000251803
17.625,0.0196233,0.000253653
17.875,0.0199676,0.000255869
18.125,0.0201807,0.000257231
18.375,0.0206889,0.000260449
18.625,0.0208234,0.000261294
18.875,0.0210889,0.000262955
19.125,0.0213709,0.000264707
19.375,0.0210889,0.000262955
19.625,0.0214562,0.000265235
19.875,0.0207906,0.000261088
20.125,0.0201053,0.00025675
20.375,0.0197512,0.000254479
20.625,0.0191414,0.000250519
20.875,0.018525,0.000246452
21.125,0.0176462,0.000240536
21.375,0.0167446,0.00023431
21.625,0.016138,0.000230027
21.875,0.0149839,0.00022165
22.125,0.0147052,0.000219579
22.375,0.0133609,0.000209302
22.625,0.0126593,0.000203732
22.875,0.0115937,0.000194969
23.125,0.0112232,0.000191828
23.375,0.0100395,0.000181431
23.625,0.00937068,0.000175283
23.875,0.00853787,0.000167313
24.125,0.00762638,0.00015813
24.375,0.00667554,0.000147944
24.625,0.00624275,0.000143068
24.875,0.00561978,0.000135742
25.125,0.00536076,0.000132577
25.375,0.00491813,0.000126986
25.625,0.00431484,0.000118942
25.875,0.00391155,0.000113248
26.125,0.00354433,0.000107801
26.375,0.00299678,9.91247e-05
26.625,0.00281973,9.61519e-05
26.875,0.00253448,9.11588e-05
27.125,0.00239677,8.86477e-05
27.375,0.00211807,8.33345e-05
27.625,0.0019902,8.07799e-05
27.875,0.00188856,7.86901e-05
28.125,0.00178364,7.6473e-05
28.375,0.0014197,6.82264e-05
28.625,0.00143937,6.86975e-05
28.875,0.0014656,6.93206e-05
29.125,0.00122953,6.34928e-05
29.375,0.00110166,6.01005e-05
29.625,0.00108855,5.97417e-05
29.875,0.000970511,5.64098e-05
30.125,0.000908215,5.45693e-05
30.375,0.000941002,5.55456e-05
30.625,0.000767228,5.01553e-05
