Bin Center (keV),bapd0,err0,bapd1,err1,bapd2,err2,all,err
0.125,0,0,0,0,0,0,0,0
0.375,2.36617e-06,5.05384e-07,1.16723e-06,3.95956e-07,4.02874e-06,7.41488e-07,7.1301e-06,9.24403e-07
0.625,2.69604e-06,5.40326e-07,2.65798e-06,5.40549e-07,3.29859e-06,6.83761e-07,8.53388e-06,1.00351e-06
0.875,2.29639e-06,4.86353e-07,1.41463e-06,4.06041e-07,3.2041e-06,6.57968e-07,6.65754e-06,8.74688e-07
1.125,3.07665e-06,5.64368e-07,2.34714e-06,5.14967e-07,2.28496e-06,5.62895e-07,7.79029e-06,9.5283e-07
1.375,1.84599e-06,4.79311e-07,1.79524e-06,4.99376e-07,2.72305e-06,6.19617e-07,6.19193e-06,9.08993e-07
1.625,1.42097e-06,4.92029e-07,2.64529e-06,6.38881e-07,2.38804e-06,6.36013e-07,6.38651e-06,1.02232e-06
1.875,2.09339e-06,5.16528e-07,2.01727e-06,5.53096e-07,1.64929e-06,5.51908e-07,5.83751e-06,9.41639e-07
2.125,9.70574e-07,3.31268e-07,1.30679e-06,3.8241e-07,1.30569e-06,4.28471e-07,3.55115e-06,6.53725e-07
2.375,9.00794e-07,3.17054e-07,9.00794e-07,3.17054e-07,7.30156e-07,3.16203e-07,2.56433e-06,5.53821e-07
2.625,5.39207e-07,2.53348e-07,7.99296e-07,3.18068e-07,6.95796e-07,3.1667e-07,2.02923e-06,5.13881e-07
2.875,5.01146e-07,2.53824e-07,9.76917e-07,3.31207e-07,8.50417e-07,3.41556e-07,2.30721e-06,5.34156e-07
3.125,9.89604e-07,3.31086e-07,3.93304e-07,2.35484e-07,8.33237e-07,3.41772e-07,2.18907e-06,5.23978e-07
3.375,9.07137e-07,3.16991e-07,6.08987e-07,2.70925e-07,1.07376e-06,3.87506e-07,2.52959e-06,5.54039e-07
3.625,8.11983e-07,3.02372e-07,4.69428e-07,2.5422e-07,4.55274e-07,2.58702e-07,1.7721e-06,4.80717e-07
3.875,2.34714e-07,1.92725e-07,6.85111e-07,2.8736e-07,1.04799e-06,3.87792e-07,1.85549e-06,4.92036e-07
4.125,1.12282e-06,3.57895e-07,8.88106e-07,3.32057e-07,9.27727e-07,3.65659e-07,2.9535e-06,6.11193e-07
4.375,8.9445e-07,3.31996e-07,9.32512e-07,3.59577e-07,4.46684e-07,2.58845e-07,2.3628e-06,5.75586e-07
4.625,3.04494e-07,2.36677e-07,1.14185e-06,3.83776e-07,1.13389e-06,4.09089e-07,2.50179e-06,5.94571e-07
4.875,9.19825e-07,3.72873e-07,4.69428e-07,3.36032e-07,6.44255e-07,3.17368e-07,2.04313e-06,6.06871e-07
5.125,5.89956e-07,3.75669e-07,7.16829e-07,4.23029e-07,8.07466e-07,3.90447e-07,2.08482e-06,6.95636e-07
5.375,6.91454e-07,5.06338e-07,7.42203e-07,5.51676e-07,5.92715e-07,3.92802e-07,2.05008e-06,8.79726e-07
5.625,1.89674e-06,7.20524e-07,1.11648e-06,7.69227e-07,1.17684e-06,5.71288e-07,4.25304e-06,1.24369e-06
5.875,9.32512e-07,7.11306e-07,6.34386e-09,7.41932e-07,6.01305e-08,4.60431e-07,1.07716e-06,1.18599e-06
6.125,4.69428e-07,6.11296e-07,-1.90309e-08,6.51975e-07,2.74882e-07,4.77348e-07,7.15789e-07,1.05249e-06
6.375,9.83261e-07,5.233e-07,-7.61235e-08,5.01587e-07,8.59007e-08,3.24836e-07,1.06326e-06,8.36445e-07
6.625,1.00864e-06,4.092e-07,6.08987e-07,4.00402e-07,6.27075e-07,3.69173e-07,2.27941e-06,6.94663e-07
6.875,2.02996e-07,1.93246e-07,3.10837e-07,2.56191e-07,8.67597e-07,3.66364e-07,1.26479e-06,4.59818e-07
7.125,1.77621e-07,1.34867e-07,6.97798e-08,9.59963e-08,1.10812e-06,3.87125e-07,1.1675e-06,3.61904e-07
7.375,5.32864e-07,2.33597e-07,2.79119e-07,1.64934e-07,3.77963e-07,2.23342e-07,1.1953e-06,3.61637e-07
7.625,2.79119e-07,1.64934e-07,8.88106e-08,9.53655e-08,3.60783e-07,2.23672e-07,6.94941e-07,2.76234e-07
7.875,7.61234e-08,9.57865e-08,4.31366e-07,2.13432e-07,3.60783e-07,2.23672e-07,8.47829e-07,3.13726e-07
8.125,2.79119e-07,1.64934e-07,7.61234e-08,9.57865e-08,2.57702e-07,1.82223e-07,5.9765e-07,2.55716e-07
8.375,1.83965e-07,1.34718e-07,1.64934e-07,1.35165e-07,9.44907e-08,1.29991e-07,4.58661e-07,2.34021e-07
8.625,1.83965e-07,1.34718e-07,1.5859e-07,1.35314e-07,8.59007e-08,1.30275e-07,4.44763e-07,2.34227e-07
8.875,3.6793e-07,1.9052e-07,-2.53745e-08,1.26872e-08,-3.43603e-08,1.71801e-08,3.47471e-07,2.09637e-07
9.125,8.88106e-08,9.53655e-08,6.97798e-08,9.59963e-08,1.03081e-07,1.29707e-07,2.57128e-07,1.81618e-07
9.375,8.88106e-08,9.53655e-08,6.97798e-08,9.59963e-08,1.20261e-07,1.29137e-07,2.71027e-07,1.81352e-07
9.625,-6.34362e-09,6.34362e-09,-1.26872e-08,8.97123e-09,2.40522e-07,1.82627e-07,1.73735e-07,1.48236e-07
9.875,1.90309e-07,1.34568e-07,1.83965e-07,1.34718e-07,-8.59007e-09,8.59007e-09,4.03066e-07,2.08714e-07
10.125,-1.90309e-08,1.09875e-08,6.97798e-08,9.59963e-08,1.11671e-07,1.29422e-07,1.45938e-07,1.48886e-07
10.375,1.71278e-07,1.35016e-07,-1.26872e-08,8.97123e-09,2.49112e-07,1.82425e-07,3.75268e-07,2.09176e-07
10.625,1.71278e-07,1.35016e-07,9.51543e-08,9.51543e-08,-1.71801e-08,1.21482e-08,2.77977e-07,1.81219e-07
10.875,8.2467e-08,9.55762e-08,1.83965e-07,1.34718e-07,-8.59007e-09,8.59007e-09,2.84926e-07,1.81085e-07
11.125,9.51543e-08,9.51543e-08,8.2467e-08,9.55762e-08,-1.71801e-08,1.21482e-08,1.80685e-07,1.48073e-07
11.375,0,0,-1.90309e-08,1.09875e-08,1.20261e-07,1.29137e-07,7.64436e-08,1.05164e-07
11.625,-6.34362e-09,6.34362e-09,9.51543e-08,9.51543e-08,-2.57702e-08,1.48784e-08,7.64436e-08,1.05164e-07
11.875,7.61234e-08,9.57865e-08,1.90309e-07,1.34568e-07,1.28851e-07,1.28851e-07,3.96117e-07,2.0883e-07
12.125,1.77621e-07,1.34867e-07,8.88106e-08,9.53655e-08,2.57702e-07,1.82223e-07,5.00358e-07,2.33401e-07
12.375,8.88106e-08,9.53655e-08,-1.90309e-08,1.09875e-08,-8.59007e-09,8.59007e-09,6.94941e-08,1.05393e-07
12.625,0,0,0,0,-8.59007e-09,8.59007e-09,-6.94941e-09,6.94941e-09
12.875,-6.34362e-09,6.34362e-09,8.2467e-08,9.55762e-08,-8.59007e-09,8.59007e-09,7.64436e-08,1.05164e-07
13.125,-2.53745e-08,1.26872e-08,1.90309e-07,1.34568e-07,-2.57702e-08,1.48784e-08,1.59837e-07,1.48562e-07
13.375,9.51543e-08,9.51543e-08,0,0,0,0,1.04241e-07,1.04241e-07
13.625,1.77621e-07,1.34867e-07,-1.90309e-08,1.09875e-08,-1.71801e-08,1.21482e-08,1.59837e-07,1.48562e-07
13.875,-6.34362e-09,6.34362e-09,8.88106e-08,9.53655e-08,1.28851e-07,1.28851e-07,1.94584e-07,1.47747e-07
14.125,-1.26872e-08,8.97123e-09,-6.34362e-09,6.34362e-09,0,0,-2.08482e-08,1.20367e-08
14.375,8.88106e-08,9.53655e-08,6.97798e-08,9.59963e-08,0,0,1.73735e-07,1.48236e-07
14.625,-1.26872e-08,8.97123e-09,3.55243e-07,1.90731e-07,1.28851e-07,1.28851e-07,4.7951e-07,2.33711e-07
14.875,8.88106e-08,9.53655e-08,8.2467e-08,9.55762e-08,2.57702e-07,1.82223e-07,3.96117e-07,2.0883e-07
15.125,1.83965e-07,1.34718e-07,-6.34362e-09,6.34362e-09,0,0,1.94584e-07,1.47747e-07
15.375,0,0,-6.34362e-09,6.34362e-09,0,0,-6.94942e-09,6.94941e-09
15.625,8.88106e-08,9.53655e-08,0,0,0,0,9.72918e-08,1.04473e-07
15.875,-6.34362e-09,6.34362e-09,-6.34362e-09,6.34362e-09,-8.59007e-09,8.59007e-09,-2.08482e-08,1.20367e-08
16.125,-6.34362e-09,6.34362e-09,-6.34362e-09,6.34362e-09,-1.71801e-08,1.21482e-08,-2.77977e-08,1.38988e-08
16.375,0,0,8.88106e-08,9.53655e-08,0,0,9.72918e-08,1.04473e-07
16.625,0,0,0,0,0,0,0,0
16.875,-6.34362e-09,6.34362e-09,-6.34362e-09,6.34362e-09,0,0,-1.38988e-08,9.82796e-09
17.125,-6.34362e-09,6.34362e-09,8.88106e-08,9.53655e-08,1.20261e-07,1.29137e-07,1.87634e-07,1.4791e-07
17.375,0,0,0,0,0,0,0,0
17.625,-1.26872e-08,8.97123e-09,9.51543e-08,9.51543e-08,-8.59007e-09,8.59007e-09,8.3393e-08,1.04934e-07
17.875,-6.34362e-09,6.34362e-09,9.51543e-08,9.51543e-08,1.20261e-07,1.29137e-07,1.94584e-07,1.47747e-07
18.125,8.88106e-08,9.53655e-08,0,0,0,0,9.72918e-08,1.04473e-07
18.375,0,0,-1.26872e-08,8.97123e-09,-8.59007e-09,8.59007e-09,-2.08482e-08,1.20367e-08
18.625,9.51543e-08,9.51543e-08,8.88106e-08,9.53655e-08,-2.57702e-08,1.48784e-08,1.80685e-07,1.48073e-07
18.875,-6.34362e-09,6.34362e-09,-6.34362e-09,6.34362e-09,0,0,-1.38988e-08,9.82796e-09
19.125,0,0,-1.26872e-08,8.97123e-09,0,0,-1.38988e-08,9.82796e-09
19.375,8.88106e-08,9.53655e-08,0,0,-1.71801e-08,1.21482e-08,8.3393e-08,1.04934e-07
19.625,-1.90309e-08,1.09875e-08,-6.34362e-09,6.34362e-09,-1.71801e-08,1.21482e-08,-4.16965e-08,1.70225e-08
19.875,9.51543e-08,9.51543e-08,-6.34362e-09,6.34362e-09,-8.59007e-09,8.59007e-09,9.03424e-08,1.04703e-07
sum,3.59049e-05,2.38186e-06,3.05572e-05,2.44886e-06,3.86553e-05,2.53283e-06,0.000104081,4.26664e-06
ep,1.05093e+07,3241.8,1.05093e+07,3241.8,7.7609e+06,2785.84
