Bin Center (keV),det00,err00,det01,err01,det02,err02,det03,err03,det04,err04,det05,err05,det10,err10,det11,err11,det12,err12,det13,err13,det14,err14,det15,err15,all,err
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,2.23666e-06,4.94149e-07,2.61249e-06,5.08314e-07,0,0,3.29082e-06,5.38496e-07,3.59332e-06,6.02353e-07,2.3037e-06,5.35212e-07,3.38249e-06,4.9627e-07,3.60249e-06,5.21532e-07,-7.3333e-07,7.82124e-07,3.84082e-06,6.25148e-07,3.28165e-06,5.52437e-07,2.77004e-06,4.71254e-07,3.29327e-05,2.03926e-06
11.5,3.33665e-06,5.35758e-07,3.50165e-06,5.27221e-07,0,0,3.03416e-06,5.04498e-07,3.54749e-06,5.81413e-07,2.37832e-06,5.22214e-07,3.41915e-06,4.93383e-07,1.93416e-06,4.46162e-07,2.79582e-06,7.62816e-07,3.33665e-06,5.93783e-07,3.39165e-06,5.62834e-07,2.61149e-06,4.32463e-07,3.63333e-05,1.98655e-06
12.5,3.91415e-06,5.44856e-07,3.00666e-06,5.09718e-07,0,0,2.74999e-06,4.89364e-07,3.29999e-06,5.85518e-07,1.64151e-06,4.6857e-07,2.96082e-06,4.74279e-07,1.44833e-06,4.13211e-07,3.09832e-06,6.86091e-07,3.10749e-06,5.73995e-07,4.24415e-06,5.86736e-07,2.73273e-06,4.28117e-07,3.51596e-05,1.91687e-06
13.5,3.26332e-06,5.09882e-07,2.63082e-06,4.61347e-07,0,0,3.13499e-06,4.80528e-07,3.04332e-06,5.42925e-07,2.05188e-06,4.72821e-07,2.90582e-06,4.64071e-07,2.46582e-06,4.37797e-07,4.17998e-06,6.56167e-07,2.83249e-06,5.47011e-07,3.07999e-06,5.23703e-07,2.57418e-06,4.17521e-07,3.51094e-05,1.82916e-06
14.5,2.61249e-06,4.5879e-07,2.26416e-06,4.39903e-07,0,0,2.67666e-06,4.60891e-07,1.265e-06,4.72059e-07,1.66016e-06,4.39645e-07,2.12666e-06,4.20867e-07,2.11749e-06,4.14936e-07,3.07082e-06,5.85159e-07,2.01666e-06,4.98719e-07,2.89666e-06,5.229e-07,2.25707e-06,3.88826e-07,2.72449e-05,1.69032e-06
15.5,2.32833e-06,4.42094e-07,2.38332e-06,4.29953e-07,0,0,1.65916e-06,3.92028e-07,2.48416e-06,4.96947e-07,1.3617e-06,4.05901e-07,2.29166e-06,4.09944e-07,1.99833e-06,4.00824e-07,3.62999e-06,5.67592e-07,2.46582e-06,4.97116e-07,2.15416e-06,4.99981e-07,2.64879e-06,4.13544e-07,2.77264e-05,1.64268e-06
16.5,2.39249e-06,4.26913e-07,1.93416e-06,4.04684e-07,0,0,1.88833e-06,3.92563e-07,1.21e-06,4.42284e-07,1.38036e-06,3.99202e-07,2.43832e-06,4.08301e-07,2.18166e-06,4.14226e-07,3.15332e-06,5.34973e-07,7.88331e-07,4.11377e-07,2.47499e-06,4.73659e-07,2.27572e-06,4.05043e-07,2.41352e-05,1.55772e-06
17.5,2.60332e-06,4.33457e-07,2.17249e-06,4.05099e-07,0,0,1.64083e-06,3.51574e-07,1.40249e-06,4.31611e-07,1.0819e-06,3.82737e-07,1.58583e-06,3.66321e-07,2.37416e-06,4.24149e-07,3.24499e-06,5.19838e-07,1.64083e-06,4.23157e-07,1.99833e-06,4.5391e-07,1.80006e-06,3.56008e-07,2.35233e-05,1.50653e-06
18.5,2.09916e-06,3.99669e-07,9.89996e-07,3.45668e-07,0,0,1.31083e-06,3.37676e-07,2.00749e-06,4.56587e-07,1.03527e-06,3.72953e-07,1.00833e-06,3.30508e-07,1.53999e-06,3.70314e-07,1.81499e-06,4.3597e-07,1.22833e-06,3.97033e-07,1.85166e-06,4.35584e-07,2.14515e-06,3.7307e-07,1.85779e-05,1.40753e-06
19.5,1.75999e-06,3.94059e-07,1.65916e-06,3.72238e-07,0,0,1.45749e-06,3.35679e-07,1.32916e-06,4.08404e-07,1.3617e-06,3.82737e-07,2.41999e-06,3.99143e-07,1.89749e-06,3.79392e-07,2.56666e-06,4.64704e-07,1.42083e-06,4.07374e-07,1.83333e-06,4.15037e-07,1.55757e-06,3.36668e-07,2.10256e-05,1.41913e-06
20.5,8.79997e-07,3.16747e-07,1.2925e-06,3.45304e-07,0,0,1.53083e-06,3.30889e-07,1.47583e-06,4.21964e-07,1.23113e-06,3.63384e-07,1.25583e-06,3.4579e-07,1.87916e-06,3.69519e-07,1.88833e-06,4.14429e-07,1.42083e-06,3.94804e-07,1.51249e-06,3.93739e-07,1.2218e-06,3.13384e-07,1.7013e-05,1.32603e-06
21.5,1.50333e-06,3.38794e-07,1.2375e-06,3.27314e-07,0,0,1.70499e-06,3.36054e-07,1.13666e-06,3.58086e-07,1.07258e-06,3.471e-07,1.92499e-06,3.65518e-07,1.96166e-06,3.71899e-07,1.71416e-06,4.07168e-07,1.75999e-06,3.90847e-07,1.25583e-06,3.70427e-07,1.24978e-06,3.04515e-07,1.80362e-05,1.2933e-06
22.5,1.38416e-06,3.29106e-07,1.91583e-06,3.72463e-07,0,0,7.14997e-07,2.76826e-07,7.05831e-07,3.19257e-07,9.79308e-07,3.16972e-07,1.75083e-06,3.64251e-07,1.33833e-06,3.33545e-07,1.90666e-06,3.95548e-07,1.36583e-06,3.8248e-07,1.59499e-06,3.79724e-07,1.51093e-06,3.33423e-07,1.65516e-05,1.25772e-06
23.5,5.40831e-07,2.61048e-07,1.39333e-06,3.25125e-07,0,0,1.1825e-06,3.04161e-07,1.36583e-06,3.51574e-07,1.28709e-06,3.44206e-07,1.53083e-06,3.30889e-07,1.30166e-06,3.26415e-07,1.28333e-06,3.66665e-07,1.10916e-06,3.47728e-07,1.65916e-06,3.78949e-07,1.64151e-06,3.27633e-07,1.55886e-05,1.21026e-06
24.5,8.61664e-07,2.83425e-07,1.32916e-06,3.22139e-07,0,0,1.27416e-06,3.10991e-07,7.79164e-07,3.10179e-07,8.95367e-07,3.09895e-07,8.7083e-07,2.87692e-07,1.72333e-06,3.46882e-07,1.13666e-06,3.47366e-07,1.65916e-06,3.75608e-07,1.06333e-06,3.29744e-07,1.15652e-06,2.88376e-07,1.39134e-05,1.16003e-06
25.5,1.22833e-06,2.86375e-07,7.60831e-07,2.76066e-07,0,0,1.13666e-06,2.92184e-07,1.1825e-06,3.20308e-07,7.08832e-07,2.8656e-07,1.20083e-06,2.95473e-07,8.9833e-07,2.7834e-07,1.41166e-06,3.54549e-07,1.83333e-06,3.89986e-07,9.44163e-07,3.118e-07,8.39407e-07,2.75099e-07,1.32613e-05,1.11514e-06
26.5,1.40249e-06,3.17144e-07,1.06333e-06,2.93332e-07,0,0,1.17333e-06,2.91608e-07,1.88833e-06,3.51932e-07,1.23113e-06,3.33423e-07,1.375e-06,3.05402e-07,1.39333e-06,3.17277e-07,1.00833e-06,3.34299e-07,1.47583e-06,3.64251e-07,9.5333e-07,3.11666e-07,9.04694e-07,2.5931e-07,1.51372e-05,1.14949e-06
27.5,1.33833e-06,3.05951e-07,1.39333e-06,3.00967e-07,0,0,1.14583e-06,2.87692e-07,9.44163e-07,2.86521e-07,6.06238e-07,2.83662e-07,1.38416e-06,3.01107e-07,1.045e-06,2.84904e-07,1.11833e-06,3.17277e-07,1.30166e-06,3.34048e-07,9.34997e-07,2.99568e-07,8.021e-07,2.50957e-07,1.31209e-05,1.07302e-06
28.5,8.1583e-07,2.40962e-07,1.50333e-06,3.0347e-07,0,0,1.0175e-06,2.67094e-07,1.22833e-06,2.95046e-07,6.06238e-07,2.59645e-07,1.0175e-06,2.62332e-07,7.60831e-07,2.57156e-07,1.28333e-06,3.2279e-07,9.99163e-07,3.18994e-07,8.9833e-07,2.95899e-07,1.47362e-06,2.87772e-07,1.26595e-05,1.0278e-06
