Bin Center (keV),n/ep,err
2.5,0,0
7.5,0,0
12.5,0,0
17.5,0,0
22.5,0,0
27.5,0,0
32.5,0,0
37.5,0,0
42.5,0,0
47.5,0,0
52.5,0,0
57.5,0,0
62.5,0,0
67.5,0,0
72.5,0,0
77.5,0,0
82.5,0,0
87.5,0,0
92.5,0,0
97.5,0,0
102.5,0.0147435,2.5995e-05
107.5,0.0146744,2.5934e-05
112.5,0.0145969,2.58654e-05
117.5,0.0145639,2.58362e-05
122.5,0.0145403,2.58153e-05
127.5,0.0144137,2.57026e-05
132.5,0.0143729,2.56662e-05
137.5,0.0142656,2.55702e-05
142.5,0.0142471,2.55537e-05
147.5,0.0141975,2.55092e-05
152.5,0.0141055,2.54264e-05
157.5,0.0140428,2.53698e-05
162.5,0.0139992,2.53304e-05
167.5,0.0138853,2.52271e-05
172.5,0.0138969,2.52376e-05
177.5,0.0137587,2.51118e-05
182.5,0.0137487,2.51027e-05
187.5,0.0136338,2.49976e-05
192.5,0.0135593,2.49292e-05
197.5,0.0134504,2.48289e-05
202.5,0.0134524,2.48308e-05
207.5,0.0133947,2.47774e-05
212.5,0.0133237,2.47117e-05
217.5,0.0132616,2.46541e-05
222.5,0.0131513,2.45513e-05
227.5,0.0130412,2.44483e-05
232.5,0.0129702,2.43817e-05
237.5,0.0128868,2.43032e-05
242.5,0.0127936,2.42151e-05
247.5,0.0127787,2.4201e-05
252.5,0.0126739,2.41015e-05
257.5,0.0125874,2.40192e-05
262.5,0.0124806,2.39171e-05
267.5,0.0123819,2.38223e-05
272.5,0.0123536,2.37951e-05
277.5,0.0122192,2.36652e-05
282.5,0.0121317,2.35804e-05
287.5,0.0120291,2.34804e-05
292.5,0.0118827,2.33371e-05
297.5,0.0117785,2.32346e-05
302.5,0.0116846,2.31418e-05
307.5,0.0115516,2.30097e-05
312.5,0.0114724,2.29307e-05
317.5,0.0113208,2.27787e-05
322.5,0.0112427,2.27e-05
327.5,0.0110762,2.25313e-05
332.5,0.010975,2.24281e-05
337.5,0.01084,2.22897e-05
342.5,0.0107339,2.21804e-05
347.5,0.0105866,2.20277e-05
352.5,0.0104408,2.18754e-05
357.5,0.0102893,2.17161e-05
362.5,0.01013,2.15474e-05
367.5,0.00996899,2.13755e-05
372.5,0.00985335,2.12511e-05
377.5,0.00970811,2.10939e-05
382.5,0.00953545,2.09055e-05
387.5,0.00939722,2.07534e-05
392.5,0.00921224,2.05481e-05
397.5,0.00907126,2.03903e-05
402.5,0.0088909,2.01866e-05
407.5,0.00874483,2.00201e-05
412.5,0.00860362,1.98578e-05
417.5,0.00843926,1.96672e-05
422.5,0.00827756,1.94779e-05
427.5,0.00810321,1.92716e-05
432.5,0.00795943,1.90999e-05
437.5,0.00783261,1.89471e-05
442.5,0.00759433,1.86567e-05
447.5,0.00746627,1.84987e-05
452.5,0.0072646,1.82472e-05
457.5,0.00709699,1.80355e-05
462.5,0.0069429,1.78386e-05
467.5,0.00679468,1.76471e-05
472.5,0.00660855,1.74038e-05
477.5,0.00645789,1.72042e-05
482.5,0.00626452,1.69447e-05
487.5,0.00610223,1.67238e-05
492.5,0.00593851,1.64979e-05
497.5,0.00578231,1.62795e-05
502.5,0.00558702,1.60022e-05
507.5,0.00541853,1.57591e-05
512.5,0.00522594,1.54765e-05
517.5,0.00506832,1.52413e-05
522.5,0.00491822,1.50139e-05
527.5,0.00474107,1.4741e-05
532.5,0.004573,1.44774e-05
537.5,0.00440347,1.42065e-05
542.5,0.0042442,1.39472e-05
547.5,0.00406412,1.36481e-05
552.5,0.00390214,1.33734e-05
557.5,0.00377762,1.31583e-05
562.5,0.00358791,1.28236e-05
567.5,0.0034429,1.25618e-05
572.5,0.00328784,1.22757e-05
577.5,0.00312326,1.19645e-05
582.5,0.00296353,1.16545e-05
587.5,0.00278643,1.13009e-05
592.5,0.00265718,1.10357e-05
597.5,0.00250593,1.0717e-05
602.5,0.00239249,1.04717e-05
607.5,0.00222502,1.00985e-05
612.5,0.00211405,9.84347e-06
617.5,0.00197999,9.52625e-06
622.5,0.00184529,9.19649e-06
627.5,0.00172686,8.89648e-06
632.5,0.00158784,8.53088e-06
637.5,0.00148646,8.25404e-06
642.5,0.00136693,7.91522e-06
647.5,0.00126756,7.6221e-06
652.5,0.00116008,7.2918e-06
657.5,0.00104005,6.90425e-06
662.5,0.000947922,6.59138e-06
667.5,0.000866797,6.30302e-06
672.5,0.000771556,5.94667e-06
677.5,0.000685802,5.60647e-06
682.5,0.000615264,5.31032e-06
687.5,0.000536477,4.95867e-06
692.5,0.000464748,4.61529e-06
697.5,0.000401819,4.29146e-06
702.5,0.000341136,3.95416e-06
707.5,0.000289299,3.64136e-06
712.5,0.000239982,3.3165e-06
717.5,0.000195708,2.99498e-06
722.5,0.000152762,2.64605e-06
727.5,0.000122191,2.36652e-06
732.5,9.23997e-05,2.0579e-06
737.5,6.89331e-05,1.77748e-06
742.5,4.70248e-05,1.46809e-06
747.5,3.34124e-05,1.2375e-06
752.5,2.03958e-05,9.66852e-07
757.5,1.46208e-05,8.18607e-07
762.5,1.28333e-05,7.66936e-07
767.5,1.28791e-05,7.68304e-07
772.5,1.23291e-05,7.5172e-07
777.5,1.16875e-05,7.31897e-07
782.5,1.23291e-05,7.5172e-07
787.5,1.11833e-05,7.15937e-07
792.5,1.12291e-05,7.17403e-07
