Bin Center (us),n/ep,err
0,0,0
0.04,0,0
0.08,0,0
0.12,0,0
0.16,0,0
0.2,0,0
0.24,0,0
0.28,0,0
0.32,0,0
0.36,0,0
0.4,0,0
0.44,0,0
0.48,0,0
0.52,0,0
0.56,0,0
0.6,0,0
0.64,0,0
0.68,0,0
0.72,0,0
0.76,0,0
0.8,0,0
0.84,0,0
0.88,0,0
0.92,0,0
0.96,0,0
1,0,0
1.04,0,0
1.08,0,0
1.12,0,0
1.16,0,0
1.2,0,0
1.24,0,0
1.28,0,0
1.32,0,0
1.36,0,0
1.4,0,0
1.44,0,0
1.48,0,0
1.52,0,0
1.56,0,0
1.6,0,0
1.64,0,0
1.68,0,0
1.72,0,0
1.76,0,0
1.8,0,0
1.84,0,0
1.88,0,0
1.92,0,0
1.96,0,0
2,0.000138004,2.51498e-06
2.04,0.00101915,6.83452e-06
2.08,0.0033659,1.24205e-05
2.12,0.00526128,1.55287e-05
2.16,0.00609127,1.67088e-05
2.2,0.00649946,1.72595e-05
2.24,0.00679266,1.76445e-05
2.28,0.00708109,1.80152e-05
2.32,0.00736044,1.83672e-05
2.36,0.0076331,1.87043e-05
2.4,0.00778353,1.88877e-05
2.44,0.00803002,1.91844e-05
2.48,0.00825423,1.94504e-05
2.52,0.00839737,1.96183e-05
2.56,0.00854152,1.9786e-05
2.6,0.00871307,1.99837e-05
2.64,0.00884557,2.01351e-05
2.68,0.00892706,2.02276e-05
2.72,0.00904857,2.03648e-05
2.76,0.00908684,2.04078e-05
2.8,0.00918758,2.05206e-05
2.84,0.00924299,2.05824e-05
2.88,0.00926586,2.06079e-05
2.92,0.009304,2.06502e-05
2.96,0.00931885,2.06667e-05
3,0.00933805,2.0688e-05
3.04,0.00930267,2.06487e-05
3.08,0.00932755,2.06763e-05
3.12,0.00929579,2.06411e-05
3.16,0.00924945,2.05896e-05
3.2,0.00918552,2.05183e-05
3.24,0.00913826,2.04655e-05
3.28,0.00909568,2.04177e-05
3.32,0.00907222,2.03914e-05
3.36,0.00900984,2.03212e-05
3.4,0.00890318,2.02005e-05
3.44,0.00886959,2.01624e-05
3.48,0.00880891,2.00933e-05
3.52,0.00872356,1.99957e-05
3.56,0.00863978,1.98995e-05
3.6,0.0085576,1.98046e-05
3.64,0.00844352,1.96721e-05
3.68,0.00835791,1.95722e-05
3.72,0.00824401,1.94383e-05
3.76,0.00814703,1.93237e-05
3.8,0.00805665,1.92162e-05
3.84,0.00798175,1.91267e-05
3.88,0.00787134,1.89939e-05
3.92,0.00780635,1.89153e-05
3.96,0.00770153,1.87879e-05
4,0.00759121,1.86529e-05
4.04,0.00749212,1.85307e-05
4.08,0.00739541,1.84107e-05
4.12,0.00731507,1.83105e-05
4.16,0.00720759,1.81754e-05
4.2,0.0070864,1.8022e-05
4.24,0.00701376,1.79294e-05
4.28,0.00692003,1.78092e-05
4.32,0.00684615,1.77139e-05
4.36,0.00674151,1.7578e-05
4.4,0.00663073,1.74329e-05
4.44,0.00655964,1.73392e-05
4.48,0.00648329,1.7238e-05
4.52,0.00639891,1.71255e-05
4.56,0.0062862,1.6974e-05
4.6,0.00620036,1.68577e-05
4.64,0.00612794,1.6759e-05
4.68,0.00602857,1.66225e-05
4.72,0.00596358,1.65327e-05
4.76,0.00587742,1.64128e-05
4.8,0.00578832,1.62879e-05
4.84,0.00570343,1.61681e-05
4.88,0.00564376,1.60833e-05
4.92,0.00552464,1.59126e-05
4.96,0.00549948,1.58763e-05
5,0.0053958,1.5726e-05
5.04,0.00532196,1.5618e-05
5.08,0.00530505,1.55932e-05
5.12,0.00520339,1.54431e-05
5.16,0.00514092,1.53501e-05
5.2,0.00505622,1.52231e-05
5.24,0.00498958,1.51224e-05
5.28,0.00493009,1.5032e-05
5.32,0.00485813,1.49219e-05
5.36,0.00478993,1.48168e-05
5.4,0.00471995,1.47082e-05
5.44,0.00465152,1.46012e-05
5.48,0.0046369,1.45782e-05
5.52,0.00454775,1.44374e-05
5.56,0.00449605,1.43551e-05
5.6,0.0044317,1.4252e-05
5.64,0.00435928,1.41351e-05
5.68,0.00430025,1.4039e-05
5.72,0.00426345,1.39788e-05
5.76,0.0042134,1.38965e-05
5.8,0.00413026,1.37587e-05
5.84,0.00412439,1.3749e-05
5.88,0.00403905,1.3606e-05
5.92,0.00396709,1.34842e-05
5.96,0.00393624,1.34317e-05
6,0.0038779,1.33318e-05
6.04,0.00380374,1.32037e-05
6.08,0.00377881,1.31603e-05
6.12,0.0037057,1.30324e-05
6.16,0.00367115,1.29715e-05
6.2,0.00362123,1.2883e-05
6.24,0.003587,1.2822e-05
6.28,0.00352553,1.27117e-05
6.32,0.00346989,1.2611e-05
6.36,0.0034109,1.25033e-05
6.4,0.00337543,1.24381e-05
6.44,0.00334252,1.23773e-05
6.48,0.00327822,1.22577e-05
6.52,0.00321336,1.21358e-05
6.56,0.00319031,1.20922e-05
6.6,0.00315612,1.20273e-05
6.64,0.00309676,1.19136e-05
6.68,0.00306221,1.1847e-05
6.72,0.00302852,1.17816e-05
6.76,0.00297783,1.16826e-05
6.8,0.00291811,1.15649e-05
6.84,0.00288721,1.15035e-05
6.88,0.00283487,1.13987e-05
6.92,0.00282415,1.13772e-05
6.96,0.00277396,1.12756e-05
7,0.00274614,1.12189e-05
7.04,0.00268954,1.11027e-05
7.08,0.00264764,1.10159e-05
7.12,0.00263078,1.09808e-05
7.16,0.00258866,1.08925e-05
7.2,0.00255066,1.08123e-05
7.24,0.00250098,1.07064e-05
7.28,0.00247902,1.06593e-05
7.32,0.00244777,1.05919e-05
7.36,0.00242036,1.05325e-05
7.4,0.00236692,1.04155e-05
7.44,0.00234762,1.0373e-05
7.48,0.00229432,1.02546e-05
7.52,0.00226498,1.01888e-05
7.56,0.00224372,1.01408e-05
7.6,0.00221072,1.0066e-05
7.64,0.0021631,9.95699e-06
7.68,0.00215058,9.92815e-06
