Bin Center (keV),bapd0,err0,bapd1,err1,bapd2,err2,all,err
0.125,0,0,0,0,0,0,0,0
0.375,2.36617e-006,5.05384e-007,1.16723e-006,3.95956e-007,4.02874e-006,7.41488e-007,7.1301e-006,9.24403e-007
0.625,2.69604e-006,5.40326e-007,2.65798e-006,5.40549e-007,3.29859e-006,6.83761e-007,8.53388e-006,1.00351e-006
0.875,2.29639e-006,4.86353e-007,1.41463e-006,4.06041e-007,3.2041e-006,6.57968e-007,6.65754e-006,8.74688e-007
1.125,3.07665e-006,5.64368e-007,2.34714e-006,5.14967e-007,2.28496e-006,5.62895e-007,7.79029e-006,9.5283e-007
1.375,1.84599e-006,4.79311e-007,1.79524e-006,4.99376e-007,2.72305e-006,6.19617e-007,6.19193e-006,9.08993e-007
1.625,1.42097e-006,4.92029e-007,2.64529e-006,6.38881e-007,2.38804e-006,6.36013e-007,6.38651e-006,1.02232e-006
1.875,2.09339e-006,5.16528e-007,2.01727e-006,5.53096e-007,1.64929e-006,5.51908e-007,5.83751e-006,9.41639e-007
2.125,9.70574e-007,3.31268e-007,1.30679e-006,3.8241e-007,1.30569e-006,4.28471e-007,3.55115e-006,6.53725e-007
2.375,9.00794e-007,3.17054e-007,9.00794e-007,3.17054e-007,7.30156e-007,3.16203e-007,2.56433e-006,5.53821e-007
2.625,5.39207e-007,2.53348e-007,7.99296e-007,3.18068e-007,6.95796e-007,3.1667e-007,2.02923e-006,5.13881e-007
2.875,5.01146e-007,2.53824e-007,9.76917e-007,3.31207e-007,8.50417e-007,3.41556e-007,2.30721e-006,5.34156e-007
3.125,9.89604e-007,3.31086e-007,3.93304e-007,2.35484e-007,8.33237e-007,3.41772e-007,2.18907e-006,5.23978e-007
3.375,9.07137e-007,3.16991e-007,6.08987e-007,2.70925e-007,1.07376e-006,3.87506e-007,2.52959e-006,5.54039e-007
3.625,8.11983e-007,3.02372e-007,4.69428e-007,2.5422e-007,4.55274e-007,2.58702e-007,1.7721e-006,4.80717e-007
3.875,2.34714e-007,1.92725e-007,6.85111e-007,2.8736e-007,1.04799e-006,3.87792e-007,1.85549e-006,4.92036e-007
4.125,1.12282e-006,3.57895e-007,8.88106e-007,3.32057e-007,9.27727e-007,3.65659e-007,2.9535e-006,6.11193e-007
4.375,8.9445e-007,3.31996e-007,9.32512e-007,3.59577e-007,4.46684e-007,2.58845e-007,2.3628e-006,5.75586e-007
4.625,3.04494e-007,2.36677e-007,1.14185e-006,3.83776e-007,1.13389e-006,4.09089e-007,2.50179e-006,5.94571e-007
4.875,9.19825e-007,3.72873e-007,4.69428e-007,3.36032e-007,6.44255e-007,3.17368e-007,2.04313e-006,6.06871e-007
5.125,5.89956e-007,3.75669e-007,7.16829e-007,4.23029e-007,8.07466e-007,3.90447e-007,2.08482e-006,6.95636e-007
5.375,6.91454e-007,5.06338e-007,7.42203e-007,5.51676e-007,5.92715e-007,3.92802e-007,2.05008e-006,8.79726e-007
5.625,1.89674e-006,7.20524e-007,1.11648e-006,7.69227e-007,1.17684e-006,5.71288e-007,4.25304e-006,1.24369e-006
5.875,9.32512e-007,7.11306e-007,6.34388e-009,7.41932e-007,6.01305e-008,4.60431e-007,1.07716e-006,1.18599e-006
6.125,4.69428e-007,6.11296e-007,-1.90309e-008,6.51975e-007,2.74882e-007,4.77348e-007,7.15789e-007,1.05249e-006
6.375,9.83261e-007,5.233e-007,-7.61235e-008,5.01587e-007,8.59007e-008,3.24836e-007,1.06326e-006,8.36445e-007
6.625,1.00864e-006,4.092e-007,6.08987e-007,4.00402e-007,6.27075e-007,3.69173e-007,2.27941e-006,6.94663e-007
6.875,2.02996e-007,1.93246e-007,3.10837e-007,2.56191e-007,8.67597e-007,3.66364e-007,1.26479e-006,4.59818e-007
7.125,1.77621e-007,1.34867e-007,6.97798e-008,9.59963e-008,1.10812e-006,3.87125e-007,1.1675e-006,3.61904e-007
7.375,5.32864e-007,2.33597e-007,2.79119e-007,1.64934e-007,3.77963e-007,2.23342e-007,1.1953e-006,3.61637e-007
7.625,2.79119e-007,1.64934e-007,8.88106e-008,9.53655e-008,3.60783e-007,2.23672e-007,6.94941e-007,2.76234e-007
7.875,7.61234e-008,9.57865e-008,4.31366e-007,2.13432e-007,3.60783e-007,2.23672e-007,8.47829e-007,3.13726e-007
8.125,2.79119e-007,1.64934e-007,7.61234e-008,9.57865e-008,2.57702e-007,1.82223e-007,5.9765e-007,2.55716e-007
8.375,1.83965e-007,1.34718e-007,1.64934e-007,1.35165e-007,9.44907e-008,1.29991e-007,4.58661e-007,2.34021e-007
8.625,1.83965e-007,1.34718e-007,1.5859e-007,1.35314e-007,8.59007e-008,1.30275e-007,4.44763e-007,2.34227e-007
8.875,3.6793e-007,1.9052e-007,-2.53745e-008,1.26872e-008,-3.43603e-008,1.71801e-008,3.47471e-007,2.09637e-007
9.125,8.88106e-008,9.53655e-008,6.97798e-008,9.59963e-008,1.03081e-007,1.29707e-007,2.57128e-007,1.81618e-007
9.375,8.88106e-008,9.53655e-008,6.97798e-008,9.59963e-008,1.20261e-007,1.29137e-007,2.71027e-007,1.81352e-007
9.625,-6.34362e-009,6.34362e-009,-1.26872e-008,8.97123e-009,2.40522e-007,1.82627e-007,1.73735e-007,1.48236e-007
9.875,1.90309e-007,1.34568e-007,1.83965e-007,1.34718e-007,-8.59007e-009,8.59007e-009,4.03066e-007,2.08714e-007
10.125,-1.90309e-008,1.09875e-008,6.97798e-008,9.59963e-008,1.11671e-007,1.29422e-007,1.45938e-007,1.48886e-007
10.375,1.71278e-007,1.35016e-007,-1.26872e-008,8.97123e-009,2.49112e-007,1.82425e-007,3.75268e-007,2.09176e-007
10.625,1.71278e-007,1.35016e-007,9.51543e-008,9.51543e-008,-1.71801e-008,1.21482e-008,2.77977e-007,1.81219e-007
10.875,8.2467e-008,9.55762e-008,1.83965e-007,1.34718e-007,-8.59007e-009,8.59007e-009,2.84926e-007,1.81085e-007
11.125,9.51543e-008,9.51543e-008,8.2467e-008,9.55762e-008,-1.71801e-008,1.21482e-008,1.80685e-007,1.48073e-007
11.375,0,0,-1.90309e-008,1.09875e-008,1.20261e-007,1.29137e-007,7.64436e-008,1.05164e-007
11.625,-6.34362e-009,6.34362e-009,9.51543e-008,9.51543e-008,-2.57702e-008,1.48784e-008,7.64436e-008,1.05164e-007
11.875,7.61234e-008,9.57865e-008,1.90309e-007,1.34568e-007,1.28851e-007,1.28851e-007,3.96117e-007,2.0883e-007
12.125,1.77621e-007,1.34867e-007,8.88106e-008,9.53655e-008,2.57702e-007,1.82223e-007,5.00358e-007,2.33401e-007
12.375,8.88106e-008,9.53655e-008,-1.90309e-008,1.09875e-008,-8.59007e-009,8.59007e-009,6.94941e-008,1.05393e-007
12.625,0,0,0,0,-8.59007e-009,8.59007e-009,-6.94941e-009,6.94941e-009
12.875,-6.34362e-009,6.34362e-009,8.2467e-008,9.55762e-008,-8.59007e-009,8.59007e-009,7.64436e-008,1.05164e-007
13.125,-2.53745e-008,1.26872e-008,1.90309e-007,1.34568e-007,-2.57702e-008,1.48784e-008,1.59837e-007,1.48562e-007
13.375,9.51543e-008,9.51543e-008,0,0,0,0,1.04241e-007,1.04241e-007
13.625,1.77621e-007,1.34867e-007,-1.90309e-008,1.09875e-008,-1.71801e-008,1.21482e-008,1.59837e-007,1.48562e-007
13.875,-6.34362e-009,6.34362e-009,8.88106e-008,9.53655e-008,1.28851e-007,1.28851e-007,1.94584e-007,1.47747e-007
14.125,-1.26872e-008,8.97123e-009,-6.34362e-009,6.34362e-009,0,0,-2.08482e-008,1.20367e-008
14.375,8.88106e-008,9.53655e-008,6.97798e-008,9.59963e-008,0,0,1.73735e-007,1.48236e-007
14.625,-1.26872e-008,8.97123e-009,3.55243e-007,1.90731e-007,1.28851e-007,1.28851e-007,4.7951e-007,2.33711e-007
14.875,8.88106e-008,9.53655e-008,8.2467e-008,9.55762e-008,2.57702e-007,1.82223e-007,3.96117e-007,2.0883e-007
15.125,1.83965e-007,1.34718e-007,-6.34362e-009,6.34362e-009,0,0,1.94584e-007,1.47747e-007
15.375,0,0,-6.34362e-009,6.34362e-009,0,0,-6.94942e-009,6.94941e-009
15.625,8.88106e-008,9.53655e-008,0,0,0,0,9.72918e-008,1.04473e-007
15.875,-6.34362e-009,6.34362e-009,-6.34362e-009,6.34362e-009,-8.59007e-009,8.59007e-009,-2.08482e-008,1.20367e-008
16.125,-6.34362e-009,6.34362e-009,-6.34362e-009,6.34362e-009,-1.71801e-008,1.21482e-008,-2.77977e-008,1.38988e-008
16.375,0,0,8.88106e-008,9.53655e-008,0,0,9.72918e-008,1.04473e-007
16.625,0,0,0,0,0,0,0,0
16.875,-6.34362e-009,6.34362e-009,-6.34362e-009,6.34362e-009,0,0,-1.38988e-008,9.82796e-009
17.125,-6.34362e-009,6.34362e-009,8.88106e-008,9.53655e-008,1.20261e-007,1.29137e-007,1.87634e-007,1.4791e-007
17.375,0,0,0,0,0,0,0,0
17.625,-1.26872e-008,8.97123e-009,9.51543e-008,9.51543e-008,-8.59007e-009,8.59007e-009,8.3393e-008,1.04934e-007
17.875,-6.34362e-009,6.34362e-009,9.51543e-008,9.51543e-008,1.20261e-007,1.29137e-007,1.94584e-007,1.47747e-007
18.125,8.88106e-008,9.53655e-008,0,0,0,0,9.72918e-008,1.04473e-007
18.375,0,0,-1.26872e-008,8.97123e-009,-8.59007e-009,8.59007e-009,-2.08482e-008,1.20367e-008
18.625,9.51543e-008,9.51543e-008,8.88106e-008,9.53655e-008,-2.57702e-008,1.48784e-008,1.80685e-007,1.48073e-007
18.875,-6.34362e-009,6.34362e-009,-6.34362e-009,6.34362e-009,0,0,-1.38988e-008,9.82796e-009
19.125,0,0,-1.26872e-008,8.97123e-009,0,0,-1.38988e-008,9.82796e-009
19.375,8.88106e-008,9.53655e-008,0,0,-1.71801e-008,1.21482e-008,8.3393e-008,1.04934e-007
19.625,-1.90309e-008,1.09875e-008,-6.34362e-009,6.34362e-009,-1.71801e-008,1.21482e-008,-4.16965e-008,1.70225e-008
19.875,9.51543e-008,9.51543e-008,-6.34362e-009,6.34362e-009,-8.59007e-009,8.59007e-009,9.03424e-008,1.04703e-007
sum,3.59049e-005,2.38186e-006,3.05572e-005,2.44886e-006,3.86553e-005,2.53283e-006,0.000104081,4.26664e-006
ep,1.05093e+007,3241.8,1.05093e+007,3241.8,7.7609e+006,2785.84
