Bin Center (keV),det00,err00,det01,err01,det02,err02,det03,err03,det04,err04,det05,err05,det10,err10,det11,err11,det12,err12,det13,err13,det14,err14,det15,err15,all,err
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,2.23666e-006,4.94149e-007,2.61249e-006,5.08314e-007,0,0,3.29082e-006,5.38496e-007,3.59332e-006,6.02353e-007,2.35034e-006,5.3724e-007,3.39165e-006,4.96185e-007,3.60249e-006,5.21532e-007,-7.24163e-007,7.8207e-007,3.84082e-006,6.25148e-007,3.29082e-006,5.52361e-007,2.77004e-006,4.71254e-007,3.30129e-005,2.0398e-006
11.5,3.33665e-006,5.35758e-007,3.50165e-006,5.27221e-007,0,0,3.03416e-006,5.04498e-007,3.54749e-006,5.81413e-007,2.37832e-006,5.22214e-007,3.41915e-006,4.93383e-007,1.93416e-006,4.46162e-007,2.79582e-006,7.62816e-007,3.33665e-006,5.93783e-007,3.38249e-006,5.62909e-007,2.61149e-006,4.32463e-007,3.63232e-005,1.98657e-006
12.5,3.91415e-006,5.44856e-007,3.00666e-006,5.09718e-007,0,0,2.74999e-006,4.89364e-007,3.29999e-006,5.85518e-007,1.64151e-006,4.6857e-007,3.00666e-006,4.76489e-007,1.44833e-006,4.13211e-007,3.08916e-006,6.86152e-007,3.09832e-006,5.74068e-007,4.23498e-006,5.86808e-007,2.73273e-006,4.28117e-007,3.51797e-005,1.9176e-006
13.5,3.26332e-006,5.09882e-007,2.63082e-006,4.61347e-007,0,0,3.13499e-006,4.80528e-007,3.04332e-006,5.42925e-007,2.05188e-006,4.72821e-007,2.90582e-006,4.64071e-007,2.46582e-006,4.37797e-007,4.18915e-006,6.56103e-007,2.83249e-006,5.47011e-007,3.08916e-006,5.23623e-007,2.57418e-006,4.17521e-007,3.51295e-005,1.82911e-006
14.5,2.61249e-006,4.5879e-007,2.26416e-006,4.39903e-007,0,0,2.66749e-006,4.60982e-007,1.265e-006,4.72059e-007,1.66016e-006,4.39645e-007,2.08083e-006,4.18364e-007,2.11749e-006,4.14936e-007,3.07082e-006,5.85159e-007,2.02583e-006,4.98635e-007,2.89666e-006,5.229e-007,2.25707e-006,3.88826e-007,2.71948e-005,1.68958e-006
15.5,2.32833e-006,4.42094e-007,2.38332e-006,4.29953e-007,0,0,1.66833e-006,3.9192e-007,2.48416e-006,4.96947e-007,1.3617e-006,4.05901e-007,2.29166e-006,4.09944e-007,1.99833e-006,4.00824e-007,3.63915e-006,5.67518e-007,2.46582e-006,4.97116e-007,2.15416e-006,4.99981e-007,2.64879e-006,4.13544e-007,2.77465e-005,1.64262e-006
16.5,2.39249e-006,4.26913e-007,1.93416e-006,4.04684e-007,0,0,1.88833e-006,3.92563e-007,1.21e-006,4.42284e-007,1.38036e-006,3.99202e-007,2.43832e-006,4.08301e-007,2.18166e-006,4.14226e-007,3.14416e-006,5.35052e-007,7.88331e-007,4.11377e-007,2.48416e-006,4.7357e-007,2.27572e-006,4.05043e-007,2.41352e-005,1.55772e-006
17.5,2.60332e-006,4.33457e-007,2.17249e-006,4.05099e-007,0,0,1.64083e-006,3.51574e-007,1.40249e-006,4.31611e-007,1.0819e-006,3.82737e-007,1.59499e-006,3.66207e-007,2.37416e-006,4.24149e-007,3.24499e-006,5.19838e-007,1.64083e-006,4.23157e-007,1.98916e-006,4.54003e-007,1.80006e-006,3.56008e-007,2.35233e-005,1.50653e-006
18.5,2.09916e-006,3.99669e-007,9.89996e-007,3.45668e-007,0,0,1.30166e-006,3.378e-007,2.00749e-006,4.56587e-007,1.03527e-006,3.72953e-007,9.99163e-007,3.30635e-007,1.53999e-006,3.70314e-007,1.81499e-006,4.3597e-007,1.22833e-006,3.97033e-007,1.85166e-006,4.35584e-007,2.14515e-006,3.7307e-007,1.85579e-005,1.4076e-006
19.5,1.75999e-006,3.94059e-007,1.65916e-006,3.72238e-007,0,0,1.46666e-006,3.35554e-007,1.32916e-006,4.08404e-007,1.3617e-006,3.82737e-007,2.41999e-006,3.99143e-007,1.89749e-006,3.79392e-007,2.56666e-006,4.64704e-007,1.42083e-006,4.07374e-007,1.83333e-006,4.15037e-007,1.55757e-006,3.36668e-007,2.10356e-005,1.4191e-006
20.5,8.79997e-007,3.16747e-007,1.2925e-006,3.45304e-007,0,0,1.53083e-006,3.30889e-007,1.47583e-006,4.21964e-007,1.23113e-006,3.63384e-007,1.25583e-006,3.4579e-007,1.87916e-006,3.69519e-007,1.88833e-006,4.14429e-007,1.375e-006,3.92135e-007,1.51249e-006,3.93739e-007,1.2218e-006,3.13384e-007,1.69629e-005,1.32508e-006
21.5,1.50333e-006,3.38794e-007,1.2375e-006,3.27314e-007,0,0,1.70499e-006,3.36054e-007,1.13666e-006,3.58086e-007,1.07258e-006,3.471e-007,1.92499e-006,3.65518e-007,1.96166e-006,3.71899e-007,1.71416e-006,4.07168e-007,1.80583e-006,3.93525e-007,1.25583e-006,3.70427e-007,1.24978e-006,3.04515e-007,1.80864e-005,1.29427e-006
22.5,1.38416e-006,3.29106e-007,1.91583e-006,3.72463e-007,0,0,7.14997e-007,2.76826e-007,7.05831e-007,3.19257e-007,9.79308e-007,3.16972e-007,1.75083e-006,3.64251e-007,1.33833e-006,3.33545e-007,1.90666e-006,3.95548e-007,1.36583e-006,3.8248e-007,1.59499e-006,3.79724e-007,1.51093e-006,3.33423e-007,1.65516e-005,1.25772e-006
23.5,5.40831e-007,2.61048e-007,1.39333e-006,3.25125e-007,0,0,1.1825e-006,3.04161e-007,1.36583e-006,3.51574e-007,1.28709e-006,3.44206e-007,1.53083e-006,3.30889e-007,1.30166e-006,3.26415e-007,1.28333e-006,3.66665e-007,1.10916e-006,3.47728e-007,1.65916e-006,3.78949e-007,1.64151e-006,3.27633e-007,1.55886e-005,1.21026e-006
24.5,8.61664e-007,2.83425e-007,1.32916e-006,3.22139e-007,0,0,1.27416e-006,3.10991e-007,7.79164e-007,3.10179e-007,8.95367e-007,3.09895e-007,8.7083e-007,2.87692e-007,1.72333e-006,3.46882e-007,1.13666e-006,3.47366e-007,1.65916e-006,3.75608e-007,1.06333e-006,3.29744e-007,1.15652e-006,2.88376e-007,1.39134e-005,1.16003e-006
25.5,1.22833e-006,2.86375e-007,7.60831e-007,2.76066e-007,0,0,1.13666e-006,2.92184e-007,1.1825e-006,3.20308e-007,7.08832e-007,2.8656e-007,1.20083e-006,2.95473e-007,8.9833e-007,2.7834e-007,1.41166e-006,3.54549e-007,1.83333e-006,3.89986e-007,9.34997e-007,3.11935e-007,8.39407e-007,2.75099e-007,1.32513e-005,1.11519e-006
26.5,1.40249e-006,3.17144e-007,1.06333e-006,2.93332e-007,0,0,1.17333e-006,2.91608e-007,1.88833e-006,3.51932e-007,1.23113e-006,3.33423e-007,1.375e-006,3.05402e-007,1.39333e-006,3.17277e-007,1.00833e-006,3.34299e-007,1.47583e-006,3.64251e-007,9.5333e-007,3.11666e-007,9.04694e-007,2.5931e-007,1.51372e-005,1.14949e-006
27.5,1.33833e-006,3.05951e-007,1.39333e-006,3.00967e-007,0,0,1.14583e-006,2.87692e-007,9.44163e-007,2.86521e-007,6.06238e-007,2.83662e-007,1.38416e-006,3.01107e-007,1.045e-006,2.84904e-007,1.11833e-006,3.17277e-007,1.30166e-006,3.34048e-007,9.34997e-007,2.99568e-007,8.021e-007,2.50957e-007,1.31209e-005,1.07302e-006
28.5,8.1583e-007,2.40962e-007,1.50333e-006,3.0347e-007,0,0,1.0175e-006,2.67094e-007,1.22833e-006,2.95046e-007,6.06238e-007,2.59645e-007,1.0175e-006,2.62332e-007,7.60831e-007,2.57156e-007,1.28333e-006,3.2279e-007,9.99163e-007,3.18994e-007,8.9833e-007,2.95899e-007,1.47362e-006,2.87772e-007,1.26595e-005,1.0278e-006
