Bin Center (keV),n/ep,err
0.125,0,0
0.375,0,0
0.625,0,0
0.875,0,0
1.125,0,0
1.375,0,0
1.625,0,0
1.875,0,0
2.125,0,0
2.375,0,0
2.625,0,0
2.875,0,0
3.125,0,0
3.375,0,0
3.625,0,0
3.875,0,0
4.125,0,0
4.375,0,0
4.625,0,0
4.875,0,0
5.125,0,0
5.375,0,0
5.625,0,0
5.875,0,0
6.125,0,0
6.375,0,0
6.625,0,0
6.875,0,0
7.125,0,0
7.375,0,0
7.625,0,0
7.875,0,0
8.125,0,0
8.375,0,0
8.625,0,0
8.875,0,0
9.125,0,0
9.375,0,0
9.625,0,0
9.875,0,0
10.125,0.00295812,1.16439e-005
10.375,0.00321144,1.21322e-005
10.625,0.00356009,1.27738e-005
10.875,0.00398111,1.3508e-005
11.125,0.00447973,1.4329e-005
11.375,0.00507231,1.52473e-005
11.625,0.00563276,1.60676e-005
11.875,0.00612698,1.67576e-005
12.125,0.00655575,1.73341e-005
12.375,0.00687873,1.7756e-005
12.625,0.00721772,1.81882e-005
12.875,0.0075803,1.86395e-005
13.125,0.00800128,1.915e-005
13.375,0.00858616,1.98376e-005
13.625,0.00917566,2.05073e-005
13.875,0.00988594,2.12862e-005
14.125,0.0106512,2.20948e-005
14.375,0.0115372,2.29953e-005
14.625,0.012485,2.39212e-005
14.875,0.0135066,2.48807e-005
15.125,0.0145226,2.57996e-005
15.375,0.0156493,2.67817e-005
15.625,0.0168208,2.7766e-005
15.875,0.0179917,2.87161e-005
16.125,0.0192162,2.96773e-005
16.375,0.0204112,3.05861e-005
16.625,0.0216497,3.15004e-005
16.875,0.0227968,3.23241e-005
17.125,0.0239673,3.31436e-005
17.375,0.0250531,3.3886e-005
17.625,0.026049,3.4553e-005
17.875,0.0269178,3.51245e-005
18.125,0.0277442,3.56596e-005
18.375,0.0284356,3.61012e-005
18.625,0.0289054,3.63981e-005
18.875,0.0292099,3.65894e-005
19.125,0.0293635,3.66855e-005
19.375,0.0294848,3.67611e-005
19.625,0.0292433,3.66103e-005
19.875,0.0288137,3.63404e-005
20.125,0.0282756,3.59995e-005
20.375,0.0275157,3.55124e-005
20.625,0.0266486,3.49484e-005
20.875,0.0255714,3.42347e-005
21.125,0.0244254,3.34588e-005
21.375,0.0231857,3.25987e-005
21.625,0.0218212,3.16249e-005
21.875,0.0204232,3.05951e-005
22.125,0.0189917,2.95034e-005
22.375,0.0175375,2.83514e-005
22.625,0.0160911,2.71571e-005
22.875,0.0146425,2.59058e-005
23.125,0.0133386,2.47255e-005
23.375,0.0119983,2.34503e-005
23.625,0.0107206,2.21666e-005
23.875,0.0095801,2.09544e-005
24.125,0.00847909,1.97135e-005
24.375,0.00746604,1.84984e-005
24.625,0.00654873,1.73248e-005
24.875,0.0057153,1.61849e-005
25.125,0.00492995,1.50318e-005
25.375,0.00432422,1.40781e-005
25.625,0.00371262,1.30446e-005
25.875,0.00317702,1.2067e-005
26.125,0.00272753,1.11809e-005
26.375,0.0023341,1.03431e-005
26.625,0.00198792,9.5453e-006
26.875,0.00167484,8.76145e-006
27.125,0.00141528,8.054e-006
27.375,0.00117296,7.33216e-006
27.625,0.000959976,6.63315e-006
27.875,0.000797314,6.04512e-006
28.125,0.000652114,5.46703e-006
28.375,0.000512965,4.84879e-006
28.625,0.000399757,4.28044e-006
28.875,0.000308641,3.76111e-006
29.125,0.000219266,3.17012e-006
29.375,0.000151387,2.63411e-006
29.625,9.62497e-005,2.10034e-006
29.875,6.25623e-005,1.69335e-006
30.125,3.5429e-005,1.27429e-006
30.375,2.11291e-005,9.8408e-007
30.625,1.32916e-005,7.80511e-007
