Bin Center (keV),bapd0,err0,bapd1,err1,bapd2,err2,all,err
0.125,0,0,0,0,0,0,0,0
0.375,2.03936e-06,4.71218e-07,9.69637e-07,3.67174e-07,3.04654e-06,5.64854e-07,6.05554e-06,8.22145e-07
0.625,2.6837e-06,5.32692e-07,2.52731e-06,5.24735e-07,2.28334e-06,4.89188e-07,7.49435e-06,8.93539e-07
0.875,2.35215e-06,4.88747e-07,1.82041e-06,4.52362e-07,2.37717e-06,4.88587e-07,6.54974e-06,8.25968e-07
1.125,3.04654e-06,5.56478e-07,1.80165e-06,4.62754e-07,1.71407e-06,4.20857e-07,6.56225e-06,8.37215e-07
1.375,1.78914e-06,4.62839e-07,1.32621e-06,4.45344e-07,1.53265e-06,3.99338e-07,4.648e-06,7.56321e-07
1.625,1.47635e-06,4.94321e-07,2.19576e-06,6.01623e-07,1.78914e-06,4.62839e-07,5.46124e-06,9.05827e-07
1.875,1.68279e-06,4.83393e-07,2.33338e-06,5.76986e-07,1.33872e-06,4.23637e-07,5.3549e-06,8.63742e-07
2.125,1.31996e-06,3.76852e-07,1.4263e-06,4.0017e-07,6.50595e-07,2.66585e-07,3.39686e-06,6.10918e-07
2.375,9.69637e-07,3.26558e-07,8.75801e-07,3.12786e-07,7.13152e-07,2.6585e-07,2.55859e-06,5.24549e-07
2.625,6.06805e-07,2.67098e-07,7.0064e-07,2.9923e-07,4.25389e-07,2.10475e-07,1.73283e-06,4.52968e-07
2.875,3.87855e-07,2.32221e-07,1.05722e-06,3.3983e-07,3.25297e-07,1.88504e-07,1.77037e-06,4.52708e-07
3.125,9.88404e-07,3.26378e-07,3.00275e-07,2.12326e-07,6.88129e-07,2.66144e-07,1.97681e-06,4.71633e-07
3.375,1.08224e-06,3.396e-07,7.75709e-07,2.98444e-07,1.06973e-06,3.25598e-07,2.92768e-06,5.57145e-07
3.625,6.88129e-07,2.8324e-07,5.6927e-07,2.67537e-07,2.37717e-07,1.63369e-07,1.49512e-06,4.22481e-07
3.875,5.75526e-07,2.67464e-07,5.6927e-07,2.67537e-07,8.57034e-07,2.97591e-07,2.00183e-06,4.81325e-07
4.125,6.1306e-07,2.84068e-07,7.88221e-07,3.13661e-07,7.63198e-07,2.8241e-07,2.16448e-06,5.08756e-07
4.375,9.94659e-07,3.40405e-07,1.25114e-06,3.89667e-07,3.12786e-07,1.88711e-07,2.55859e-06,5.50752e-07
4.625,3.69087e-07,2.51866e-07,9.13335e-07,3.5465e-07,5.56759e-07,2.49524e-07,1.83918e-06,5.01473e-07
4.875,4.69179e-07,3.0164e-07,5.06713e-07,3.16455e-07,6.63106e-07,2.66438e-07,1.639e-06,5.11976e-07
5.125,1.0885e-06,4.25481e-07,6.19316e-07,3.94706e-07,4.19133e-07,2.51243e-07,2.12694e-06,6.32416e-07
5.375,1.39503e-06,5.40206e-07,1.6953e-06,5.8847e-07,7.69453e-07,3.2847e-07,3.85978e-06,8.6372e-07
5.625,1.41379e-06,6.50535e-07,4.25389e-07,6.76428e-07,3.56576e-07,3.46219e-07,2.19576e-06,1.00031e-06
5.875,8.88312e-07,6.94864e-07,7.06896e-07,7.84513e-07,2.12694e-07,3.60777e-07,1.8079e-06,1.10836e-06
6.125,1.08224e-06,6.66374e-07,-1.03219e-06,5.94951e-07,4.69179e-07,3.83848e-07,5.19224e-07,9.72297e-07
6.375,9.75892e-07,5.59668e-07,1.06347e-07,5.47617e-07,-6.88129e-08,2.38293e-07,1.01343e-06,8.18472e-07
6.625,1.03219e-06,4.36782e-07,8.13243e-08,3.86996e-07,1.68904e-07,2.35152e-07,1.28242e-06,6.29159e-07
6.875,1.25114e-07,1.91797e-07,3.37809e-07,2.7023e-07,5.06713e-07,2.50151e-07,9.69636e-07,4.15193e-07
7.125,6.88129e-08,9.46662e-08,-2.50229e-08,9.77175e-08,9.00824e-07,2.9713e-07,9.44613e-07,3.26798e-07
7.375,3.31553e-07,1.884e-07,1.7516e-07,1.32998e-07,1.68904e-07,1.33145e-07,6.75618e-07,2.66291e-07
7.625,3.56576e-07,1.87984e-07,1.81416e-07,1.32851e-07,1.7516e-07,1.32998e-07,7.13152e-07,2.6585e-07
7.875,8.13244e-08,9.42519e-08,2.6274e-07,1.62889e-07,1.7516e-07,1.32998e-07,5.19225e-07,2.30445e-07
8.125,2.75252e-07,1.62649e-07,1.50137e-07,1.33586e-07,1.81416e-07,1.32851e-07,6.06805e-07,2.48896e-07
8.375,1.7516e-07,1.32998e-07,2.56484e-07,1.63009e-07,7.50686e-08,9.44593e-08,5.06713e-07,2.30615e-07
8.625,1.81416e-07,1.32851e-07,-1.87672e-08,1.08352e-08,7.50686e-08,9.44593e-08,2.37717e-07,1.63369e-07
8.875,3.69087e-07,1.87776e-07,2.68996e-07,1.62769e-07,-2.50229e-08,1.25114e-08,6.1306e-07,2.48817e-07
9.125,-1.25114e-08,8.84692e-09,-3.75343e-08,1.53233e-08,8.13244e-08,9.42519e-08,3.12786e-08,9.58984e-08
9.375,1.87672e-07,1.32704e-07,6.88129e-08,9.46662e-08,1.7516e-07,1.32998e-07,4.31645e-07,2.10382e-07
9.625,8.75801e-08,9.40441e-08,7.50686e-08,9.44593e-08,7.50686e-08,9.44593e-08,2.37717e-07,1.63369e-07
9.875,-1.25114e-08,8.84692e-09,9.38358e-08,9.38358e-08,8.75801e-08,9.40441e-08,1.68904e-07,1.33145e-07
10.125,1.7516e-07,1.32998e-07,1.7516e-07,1.32998e-07,-1.25114e-08,8.84692e-09,3.37809e-07,1.88296e-07
10.375,1.7516e-07,1.32998e-07,7.50686e-08,9.44593e-08,8.13244e-08,9.42519e-08,3.31553e-07,1.884e-07
10.625,1.68904e-07,1.33145e-07,0,0,9.38358e-08,9.38358e-08,2.6274e-07,1.62889e-07
10.875,1.87672e-07,1.32704e-07,1.87672e-07,1.32704e-07,-1.87672e-08,1.08352e-08,3.56576e-07,1.87984e-07
11.125,8.75801e-08,9.40441e-08,-1.25114e-08,8.84692e-09,-6.25572e-09,6.25572e-09,6.88129e-08,9.46662e-08
11.375,0,0,8.13244e-08,9.42519e-08,-6.25572e-09,6.25572e-09,7.50686e-08,9.44593e-08
11.625,0,0,0,0,8.75801e-08,9.40441e-08,8.75801e-08,9.40441e-08
11.875,8.13244e-08,9.42519e-08,0,0,-6.25572e-09,6.25572e-09,7.50686e-08,9.44593e-08
12.125,1.62649e-07,1.33292e-07,1.81416e-07,1.32851e-07,9.38358e-08,9.38358e-08,4.379e-07,2.10289e-07
12.375,-6.25572e-09,6.25572e-09,7.50686e-08,9.44593e-08,-6.25572e-09,6.25572e-09,6.25572e-08,9.48727e-08
12.625,9.38358e-08,9.38358e-08,-1.25114e-08,8.84692e-09,-6.25572e-09,6.25572e-09,7.50686e-08,9.44593e-08
12.875,-1.25114e-08,8.84692e-09,-1.87672e-08,1.08352e-08,-1.25114e-08,8.84692e-09,-4.379e-08,1.65511e-08
13.125,7.50686e-08,9.44593e-08,9.38358e-08,9.38358e-08,-6.25572e-09,6.25572e-09,1.62649e-07,1.33292e-07
13.375,0,0,1.87672e-07,1.32704e-07,-6.25572e-09,6.25572e-09,1.81416e-07,1.32851e-07
13.625,9.38358e-08,9.38358e-08,0,0,-6.25572e-09,6.25572e-09,8.75801e-08,9.40441e-08
13.875,6.88129e-08,9.46662e-08,-2.50229e-08,1.25114e-08,8.75801e-08,9.40441e-08,1.3137e-07,1.34024e-07
