Bin Center (keV),bapd0,err0,bapd1,err1,bapd2,err2,all,err
0.125,0,0,0,0,0,0,0,0
0.375,2.30836e-06,4.98538e-07,1.03845e-06,3.79181e-07,3.31553e-06,5.87838e-07,6.66234e-06,8.58995e-07
0.625,2.67745e-06,5.32729e-07,2.61489e-06,5.33096e-07,2.10192e-06,4.70803e-07,7.39426e-06,8.8862e-07
0.875,2.16448e-06,4.70387e-07,1.64525e-06,4.32369e-07,2.37092e-06,4.88627e-07,6.18065e-06,8.04341e-07
1.125,3.11535e-06,5.64472e-07,2.03311e-06,4.90785e-07,1.72032e-06,4.2081e-07,6.86878e-06,8.58243e-07
1.375,1.73283e-06,4.63219e-07,1.57644e-06,4.74281e-07,1.78914e-06,4.31327e-07,5.09841e-06,7.90922e-07
1.625,1.59521e-06,5.12244e-07,2.47726e-06,6.30681e-07,1.91425e-06,4.81893e-07,5.98672e-06,9.44655e-07
1.875,1.72658e-06,4.7329e-07,1.79539e-06,5.20128e-07,8.57033e-07,3.55146e-07,4.379e-06,7.87823e-07
2.125,1.33247e-06,3.76748e-07,1.38877e-06,3.8856e-07,9.38358e-07,3.1216e-07,3.6596e-06,6.24789e-07
2.375,1.03845e-06,3.40003e-07,1.03845e-06,3.40003e-07,4.44156e-07,2.10196e-07,2.52105e-06,5.24772e-07
2.625,4.19133e-07,2.318e-07,6.31828e-07,2.83861e-07,6.81873e-07,2.66217e-07,1.73283e-06,4.52968e-07
2.875,5.12969e-07,2.50072e-07,8.57033e-07,3.12974e-07,4.379e-07,2.10289e-07,1.8079e-06,4.52449e-07
3.125,1.24489e-06,3.64822e-07,4.50412e-07,2.50854e-07,4.87946e-07,2.30869e-07,2.18325e-06,4.99322e-07
3.375,6.88129e-07,2.8324e-07,5.63015e-07,2.6761e-07,9.75892e-07,3.11783e-07,2.22704e-06,4.99048e-07
3.625,9.75892e-07,3.26498e-07,5.81782e-07,2.67391e-07,4.19133e-07,2.10568e-07,1.97681e-06,4.71633e-07
3.875,2.75252e-07,2.12694e-07,6.56851e-07,2.83585e-07,9.38358e-07,3.1216e-07,1.87046e-06,4.72338e-07
4.125,7.88221e-07,3.13661e-07,1.13854e-06,3.65732e-07,5.06713e-07,2.30615e-07,2.43347e-06,5.34159e-07
4.375,7.63198e-07,3.1391e-07,9.69637e-07,3.67174e-07,2.12694e-07,1.63847e-07,1.94553e-06,5.101e-07
4.625,7.0064e-07,3.14533e-07,9.25846e-07,3.5454e-07,8.32011e-07,2.97854e-07,2.4585e-06,5.59773e-07
4.875,6.06805e-07,3.43951e-07,4.8169e-07,3.31199e-07,4.44156e-07,2.31462e-07,1.53265e-06,5.30631e-07
5.125,1.12603e-06,4.46748e-07,1.21361e-06,4.9598e-07,8.75801e-07,3.41496e-07,3.21544e-06,7.498e-07
5.375,8.44522e-07,5.51959e-07,6.50595e-07,5.86038e-07,4.62923e-07,3.01705e-07,1.95804e-06,8.59723e-07
5.625,1.48886e-06,7.12218e-07,1.46384e-06,8.10979e-07,5.2548e-07,3.95449e-07,3.47818e-06,1.14949e-06
5.875,9.13335e-07,7.01478e-07,-9.00824e-07,6.54433e-07,1.25114e-07,3.48304e-07,1.37625e-07,1.02062e-06
6.125,1.09475e-06,6.22593e-07,5.00456e-08,6.2782e-07,-1.87672e-08,3.06658e-07,1.12603e-06,9.35852e-07
6.375,1.15731e-06,5.05708e-07,-2.68996e-07,4.35346e-07,2.12694e-07,2.538e-07,1.10101e-06,7.1392e-07
6.625,7.13152e-07,3.42982e-07,3.19042e-07,3.32731e-07,3.87855e-07,2.51632e-07,1.42005e-06,5.40061e-07
6.875,2.06439e-07,1.63967e-07,2.43973e-07,2.13154e-07,8.50778e-07,2.97657e-07,1.30119e-06,4.01147e-07
7.125,1.56393e-07,1.33439e-07,6.88129e-08,9.46662e-08,3.62832e-07,1.8788e-07,5.88038e-07,2.49132e-07
7.375,4.31645e-07,2.10382e-07,1.81416e-07,1.32851e-07,1.62649e-07,1.33292e-07,7.75709e-07,2.82271e-07
7.625,1.81416e-07,1.32851e-07,3.62832e-07,1.8788e-07,8.75801e-08,9.40441e-08,6.31828e-07,2.48581e-07
7.875,2.75252e-07,1.62649e-07,1.56393e-07,1.33439e-07,1.7516e-07,1.32998e-07,6.06805e-07,2.48896e-07
8.125,7.50686e-08,9.44593e-08,1.68904e-07,1.33145e-07,1.68904e-07,1.33145e-07,4.12878e-07,2.10661e-07
8.375,2.81507e-07,1.62528e-07,6.25572e-08,9.48727e-08,1.7516e-07,1.32998e-07,5.19225e-07,2.30445e-07
8.625,2.75252e-07,1.62649e-07,2.6274e-07,1.62889e-07,-1.87672e-08,1.08352e-08,5.19225e-07,2.30445e-07
8.875,7.50686e-08,9.44593e-08,-2.50229e-08,1.25114e-08,6.88129e-08,9.46662e-08,1.18859e-07,1.34316e-07
9.125,1.87672e-07,1.32704e-07,6.25572e-08,9.48727e-08,1.7516e-07,1.32998e-07,4.25389e-07,2.10475e-07
9.375,8.75801e-08,9.40441e-08,8.13244e-08,9.42519e-08,7.50686e-08,9.44593e-08,2.43973e-07,1.63249e-07
9.625,-1.25114e-08,8.84692e-09,-1.25114e-08,8.84692e-09,8.75801e-08,9.40441e-08,6.25572e-08,9.48727e-08
9.875,1.81416e-07,1.32851e-07,2.75252e-07,1.62649e-07,-6.25572e-09,6.25572e-09,4.50412e-07,2.10103e-07
10.125,1.7516e-07,1.32998e-07,7.50686e-08,9.44593e-08,8.13244e-08,9.42519e-08,3.31553e-07,1.884e-07
