Bin Center (keV),det00,err00,det01,err01,det02,err02,det03,err03,det04,err04,det05,err05,det10,err10,det11,err11,det12,err12,det13,err13,det14,err14,det15,err15,all,err
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,2.19834e-06,3.97005e-07,2.49893e-06,3.74768e-07,0,0,3.58025e-06,4.16416e-07,2.51963e-06,4.1818e-07,2.24193e-06,4.05507e-07,3.25596e-06,4.12954e-07,3.13013e-06,3.8422e-07,-2.58689e-07,5.47784e-07,2.83005e-06,4.46056e-07,3.60094e-06,4.32373e-07,2.95788e-06,3.63343e-07,3.11556e-05,1.52608e-06
11.5,3.43676e-06,4.30157e-07,2.79383e-06,3.82299e-07,0,0,3.2336e-06,3.96899e-07,3.61129e-06,4.32312e-07,2.53458e-06,4.03617e-07,3.07785e-06,4.05077e-07,2.41098e-06,3.38239e-07,2.5248e-06,5.37474e-07,3.54403e-06,4.49106e-07,3.58025e-06,4.25005e-07,3.09898e-06,3.46137e-07,3.68789e-05,1.50801e-06
12.5,3.83377e-06,4.35954e-07,3.50264e-06,3.97169e-07,0,0,2.90248e-06,3.78393e-07,3.58025e-06,4.33425e-07,2.48754e-06,3.84168e-07,2.59364e-06,3.70195e-07,2.22472e-06,3.31283e-07,2.8404e-06,4.83989e-07,3.20256e-06,4.26357e-07,3.98897e-06,4.37451e-07,2.29419e-06,3.04767e-07,3.64298e-05,1.45313e-06
13.5,3.54342e-06,4.11894e-07,2.47823e-06,3.47105e-07,0,0,2.98526e-06,3.59307e-07,2.61275e-06,3.94871e-07,2.3987e-06,3.7833e-07,2.68269e-06,3.68265e-07,1.76425e-06,3.0604e-07,3.12496e-06,4.59447e-07,2.98009e-06,4.16287e-07,3.81824e-06,4.24501e-07,2.29419e-06,3.07443e-07,3.33839e-05,1.3825e-06
14.5,2.80866e-06,3.85656e-07,2.48858e-06,3.42369e-07,0,0,2.35924e-06,3.29013e-07,2.44719e-06,3.81493e-07,1.9336e-06,3.44278e-07,2.24299e-06,3.41602e-07,2.40063e-06,3.13686e-07,2.87144e-06,4.20796e-07,2.47823e-06,3.91672e-07,2.20402e-06,3.59344e-07,2.40916e-06,3.02428e-07,2.9031e-05,1.2926e-06
15.5,2.37611e-06,3.63776e-07,2.06951e-06,3.22687e-07,0,0,2.38511e-06,3.22646e-07,1.89877e-06,3.49105e-07,2.15309e-06,3.49708e-07,2.4044e-06,3.53676e-07,1.73321e-06,2.87365e-07,3.52851e-06,4.14806e-07,1.60387e-06,3.47837e-07,2.34372e-06,3.68284e-07,2.2158e-06,2.93119e-07,2.69294e-05,1.24645e-06
16.5,1.75393e-06,3.23141e-07,2.41615e-06,3.21149e-07,0,0,2.06433e-06,3.03493e-07,1.52109e-06,3.36732e-07,1.78727e-06,3.24597e-07,2.19847e-06,3.25251e-07,1.99707e-06,2.98737e-07,2.79901e-06,3.8748e-07,1.6763e-06,3.44978e-07,2.4265e-06,3.59977e-07,2.27851e-06,2.98107e-07,2.50408e-05,1.19759e-06
17.5,2.26352e-06,3.36136e-07,1.45383e-06,2.72741e-07,0,0,1.77978e-06,2.74063e-07,1.40209e-06,3.20565e-07,1.25422e-06,3.01569e-07,2.14281e-06,3.12624e-07,2.15746e-06,2.94632e-07,2.23507e-06,3.60237e-07,1.37622e-06,3.22023e-07,2.14711e-06,3.35498e-07,2.13741e-06,2.91015e-07,2.21216e-05,1.12827e-06
18.5,2.06798e-06,3.31561e-07,1.85221e-06,2.95947e-07,0,0,1.73321e-06,2.71561e-07,1.35553e-06,3.00257e-07,1.74024e-06,3.08153e-07,1.33021e-06,2.87647e-07,1.4797e-06,2.68039e-07,2.06951e-06,3.37288e-07,1.70217e-06,3.20648e-07,1.9919e-06,3.22064e-07,1.74546e-06,2.60564e-07,2.07857e-05,1.08958e-06
19.5,1.79541e-06,3.11129e-07,1.02958e-06,2.55618e-07,0,0,1.19514e-06,2.37599e-07,1.37105e-06,3.0411e-07,1.20197e-06,2.83841e-07,1.58067e-06,2.9006e-07,1.75391e-06,2.80101e-07,1.97638e-06,3.24672e-07,1.22618e-06,2.98693e-07,2.12642e-06,3.24713e-07,1.88656e-06,2.68463e-07,1.86669e-05,1.04925e-06
20.5,1.30953e-06,2.78496e-07,1.35553e-06,2.57027e-07,0,0,1.08649e-06,2.30218e-07,1.51074e-06,3.0292e-07,8.41375e-07,2.58618e-07,1.50275e-06,2.81056e-07,1.80564e-06,2.7087e-07,1.68147e-06,3.0411e-07,1.33483e-06,2.93677e-07,9.83016e-07,2.72791e-07,1.56255e-06,2.44616e-07,1.6335e-05,9.88486e-07
21.5,1.46359e-06,2.74944e-07,1.43831e-06,2.54621e-07,0,0,1.27275e-06,2.35051e-07,1.19514e-06,2.88017e-07,1.06609e-06,2.68818e-07,1.5918e-06,2.80173e-07,2.04881e-06,2.78808e-07,1.59352e-06,3.02212e-07,1.97121e-06,3.17207e-07,1.56248e-06,2.84698e-07,1.42145e-06,2.44449e-07,1.81429e-05,1.00075e-06
22.5,1.18509e-06,2.49995e-07,1.27792e-06,2.43387e-07,0,0,1.40209e-06,2.42064e-07,1.34518e-06,2.69334e-07,7.99568e-07,2.41017e-07,1.45266e-06,2.71469e-07,1.42279e-06,2.48395e-07,1.61939e-06,2.91159e-07,1.37105e-06,2.73525e-07,1.27275e-06,2.75913e-07,1.20197e-06,2.25988e-07,1.5667e-05,9.35164e-07
23.5,1.18509e-06,2.52093e-07,1.44348e-06,2.48179e-07,0,0,9.62321e-07,2.17298e-07,1.20031e-06,2.58585e-07,1.06609e-06,2.49863e-07,1.35804e-06,2.56628e-07,1.49005e-06,2.47693e-07,1.48487e-06,2.83992e-07,1.39174e-06,2.83426e-07,1.80047e-06,2.88156e-07,1.37442e-06,2.36441e-07,1.61219e-05,9.32697e-07
24.5,9.30296e-07,2.28956e-07,1.28827e-06,2.36583e-07,0,0,9.10583e-07,2.14196e-07,1.18997e-06,2.4432e-07,7.42083e-07,2.31244e-07,9.0165e-07,2.39262e-07,1.49004e-06,2.41122e-07,1.22618e-06,2.56767e-07,1.02441e-06,2.57236e-07,1.26757e-06,2.51607e-07,1.74024e-06,2.47723e-07,1.39167e-05,8.74223e-07
25.5,1.15546e-06,2.30636e-07,9.15757e-07,2.00579e-07,0,0,9.83016e-07,2.11429e-07,8.12281e-07,2.20902e-07,1.21242e-06,2.54841e-07,1.09645e-06,2.35017e-07,9.62321e-07,2.09777e-07,1.03993e-06,2.53937e-07,1.34001e-06,2.7087e-07,1.03475e-06,2.4432e-07,9.40668e-07,2.1034e-07,1.25175e-05,8.40643e-07
26.5,9.95476e-07,2.28111e-07,9.20931e-07,2.06433e-07,0,0,1.01406e-06,2.07209e-07,1.18479e-06,2.30857e-07,7.73438e-07,2.1623e-07,1.15767e-06,2.36266e-07,1.27792e-06,2.20902e-07,9.62321e-07,2.40121e-07,8.7954e-07,2.37656e-07,1.30379e-06,2.48017e-07,1.18106e-06,2.18866e-07,1.27133e-05,8.20808e-07
27.5,1.14954e-06,2.35234e-07,1.3814e-06,2.33852e-07,0,0,7.34675e-07,1.92753e-07,1.35035e-06,2.28994e-07,8.83183e-07,2.27853e-07,9.51742e-07,2.24638e-07,9.93363e-07,2.11303e-07,9.468e-07,2.38611e-07,9.67494e-07,2.45031e-07,1.23136e-06,2.43882e-07,1.31171e-06,2.19178e-07,1.29839e-05,8.24697e-07
28.5,1.20879e-06,2.32229e-07,1.17962e-06,2.16558e-07,0,0,1.37622e-06,2.21568e-07,1.21066e-06,2.21689e-07,6.89823e-07,2.11505e-07,1.37474e-06,2.37638e-07,8.58845e-07,1.95237e-07,8.84714e-07,2.2187e-07,1.3814e-06,2.56767e-07,1.21066e-06,2.35733e-07,9.19764e-07,1.92297e-07,1.33869e-05,8.05581e-07
