Bin Center (keV),det00,err00,det01,err01,det02,err02,det03,err03,det04,err04,det05,err05,det10,err10,det11,err11,det12,err12,det13,err13,det14,err14,det15,err15,all,err
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,2.73756e-06,4.07437e-07,2.5041e-06,3.72583e-07,0,0,3.43538e-06,4.0758e-07,3.11978e-06,4.29672e-07,2.1165e-06,3.98167e-07,3.12238e-06,4.07061e-07,3.4716e-06,3.82964e-07,1.2417e-06,5.37674e-07,3.71476e-06,4.56114e-07,3.63198e-06,4.26577e-07,2.98923e-06,3.55133e-07,3.50191e-05,1.51943e-06
11.5,3.656e-06,4.33531e-07,2.94387e-06,3.82334e-07,0,0,3.06804e-06,3.87757e-07,3.41986e-06,4.26922e-07,2.91607e-06,4.09228e-07,2.72721e-06,3.81568e-07,2.16781e-06,3.26849e-07,2.83005e-06,5.16937e-07,3.13013e-06,4.31475e-07,3.37847e-06,4.17668e-07,2.59206e-06,3.25689e-07,3.57446e-05,1.4725e-06
12.5,3.3301e-06,4.1849e-07,3.156e-06,3.80896e-07,0,0,2.85592e-06,3.72296e-07,3.23878e-06,4.17571e-07,2.34644e-06,3.73243e-07,2.76617e-06,3.7761e-07,1.82117e-06,3.15897e-07,3.13013e-06,4.79098e-07,3.34225e-06,4.29267e-07,3.82859e-06,4.28205e-07,2.23147e-06,2.95762e-07,3.4927e-05,1.42259e-06
13.5,3.43676e-06,4.0493e-07,2.6438e-06,3.48183e-07,0,0,2.79901e-06,3.47028e-07,2.44202e-06,3.84672e-07,2.01721e-06,3.58805e-07,2.90532e-06,3.71615e-07,1.97638e-06,3.08176e-07,3.12496e-06,4.43437e-07,2.68519e-06,4.03454e-07,3.52851e-06,4.09937e-07,2.56593e-06,3.13077e-07,3.2762e-05,1.35327e-06
14.5,2.53017e-06,3.71134e-07,2.46789e-06,3.42525e-07,0,0,2.60758e-06,3.35538e-07,1.9919e-06,3.60868e-07,2.19489e-06,3.48221e-07,1.89792e-06,3.26392e-07,2.21955e-06,3.02168e-07,2.86109e-06,4.11209e-07,1.97121e-06,3.68719e-07,2.25576e-06,3.60088e-07,2.34122e-06,3.03014e-07,2.76433e-05,1.26501e-06
15.5,2.39388e-06,3.57791e-07,1.84703e-06,3.01369e-07,0,0,2.04364e-06,3.0367e-07,1.7746e-06,3.45405e-07,1.71933e-06,3.35072e-07,2.26526e-06,3.42779e-07,2.0902e-06,2.99275e-07,3.01631e-06,3.9426e-07,1.68147e-06,3.4726e-07,1.96603e-06,3.5994e-07,2.1165e-06,2.86951e-07,2.49429e-05,1.21268e-06
16.5,1.83689e-06,3.2238e-07,2.01777e-06,3.07828e-07,0,0,2.23507e-06,3.07306e-07,1.62974e-06,3.35897e-07,1.62527e-06,3.15683e-07,2.2096e-06,3.19388e-07,1.86256e-06,2.93129e-07,2.92318e-06,3.87687e-07,1.46418e-06,3.35976e-07,2.33337e-06,3.47028e-07,2.41961e-06,3.0771e-07,2.46262e-05,1.18271e-06
17.5,2.26352e-06,3.37699e-07,1.44865e-06,2.69831e-07,0,0,1.52626e-06,2.56871e-07,1.41244e-06,3.11588e-07,1.63049e-06,3.10405e-07,2.02593e-06,3.0768e-07,2.08503e-06,2.89777e-07,2.03329e-06,3.43462e-07,1.34518e-06,3.15981e-07,2.16781e-06,3.31727e-07,1.63572e-06,2.63223e-07,2.12694e-05,1.10103e-06
18.5,1.94355e-06,3.23032e-07,1.4797e-06,2.78328e-07,0,0,1.46418e-06,2.62132e-07,1.41761e-06,3.02389e-07,1.45804e-06,2.94281e-07,9.96268e-07,2.76108e-07,1.51074e-06,2.67739e-07,2.36441e-06,3.45637e-07,1.71252e-06,3.11674e-07,2.17298e-06,3.26808e-07,1.90747e-06,2.63638e-07,2.01178e-05,1.07389e-06
19.5,1.77171e-06,3.07953e-07,1.33483e-06,2.63405e-07,0,0,1.28309e-06,2.3664e-07,1.37622e-06,3.02743e-07,1.36919e-06,2.88043e-07,1.73095e-06,2.91817e-07,1.59352e-06,2.6993e-07,1.82117e-06,3.14623e-07,1.09166e-06,2.95811e-07,1.72286e-06,3.07698e-07,1.93882e-06,2.70994e-07,1.85344e-05,1.03818e-06
20.5,1.00733e-06,2.56237e-07,1.51074e-06,2.67739e-07,0,0,1.15375e-06,2.34652e-07,1.43831e-06,2.98199e-07,8.72731e-07,2.58301e-07,1.51388e-06,2.80946e-07,1.7746e-06,2.69682e-07,1.46418e-06,2.93905e-07,1.48487e-06,2.9914e-07,1.11236e-06,2.68588e-07,1.32739e-06,2.35225e-07,1.60298e-05,9.79271e-07
21.5,1.59987e-06,2.81069e-07,1.34518e-06,2.45958e-07,0,0,1.27275e-06,2.29869e-07,1.32448e-06,2.84039e-07,8.93635e-07,2.54895e-07,1.58624e-06,2.75209e-07,1.94534e-06,2.72496e-07,1.68147e-06,3.0411e-07,2.16263e-06,3.14368e-07,1.45383e-06,2.81436e-07,1.52075e-06,2.45062e-07,1.83041e-05,9.87278e-07
22.5,9.42147e-07,2.35607e-07,1.26757e-06,2.41842e-07,0,0,1.2624e-06,2.36866e-07,9.05409e-07,2.48933e-07,6.63694e-07,2.32128e-07,1.65303e-06,2.77897e-07,1.42796e-06,2.46719e-07,1.43831e-06,2.84416e-07,1.01923e-06,2.63456e-07,1.54178e-06,2.87691e-07,1.06086e-06,2.20297e-07,1.43888e-05,9.17665e-07
23.5,1.19694e-06,2.43449e-07,1.44348e-06,2.44922e-07,0,0,9.57147e-07,2.1736e-07,1.53661e-06,2.67489e-07,1.13925e-06,2.52364e-07,1.16324e-06,2.51446e-07,1.44348e-06,2.46556e-07,1.34518e-06,2.7377e-07,1.1641e-06,2.63558e-07,1.53144e-06,2.70524e-07,1.59391e-06,2.40904e-07,1.58628e-05,9.15205e-07
24.5,8.59191e-07,2.25245e-07,1.15892e-06,2.2409e-07,0,0,8.43324e-07,2.07403e-07,7.86413e-07,2.24806e-07,8.51827e-07,2.35283e-07,8.01467e-07,2.26492e-07,1.55213e-06,2.42119e-07,1.02441e-06,2.47693e-07,1.21066e-06,2.66135e-07,1.12788e-06,2.44977e-07,1.63572e-06,2.47171e-07,1.29781e-05,8.56079e-07
25.5,1.29767e-06,2.40036e-07,9.46799e-07,2.08047e-07,0,0,1.07097e-06,2.12251e-07,1.10201e-06,2.30044e-07,1.01383e-06,2.38683e-07,1.06862e-06,2.31364e-07,9.77842e-07,2.05718e-07,1.17962e-06,2.5251e-07,1.3814e-06,2.71955e-07,1.02958e-06,2.41066e-07,6.48016e-07,1.8958e-07,1.27536e-05,8.33295e-07
26.5,1.01918e-06,2.30103e-07,8.3815e-07,2.01578e-07,0,0,9.36452e-07,2.04282e-07,1.23653e-06,2.32013e-07,6.84598e-07,2.17301e-07,1.06862e-06,2.35346e-07,1.08132e-06,2.12124e-07,1.0451e-06,2.45849e-07,9.41626e-07,2.45304e-07,1.3814e-06,2.5362e-07,1.12358e-06,2.15787e-07,1.23908e-05,8.22543e-07
27.5,1.10806e-06,2.31245e-07,1.37105e-06,2.30509e-07,0,0,8.17455e-07,1.93723e-07,1.26757e-06,2.24627e-07,9.61572e-07,2.2875e-07,1.28012e-06,2.34819e-07,1.07614e-06,2.12188e-07,8.07108e-07,2.26349e-07,1.1434e-06,2.46447e-07,1.2417e-06,2.37092e-07,1.31694e-06,2.15344e-07,1.35079e-05,8.17409e-07
28.5,1.10213e-06,2.19642e-07,1.2624e-06,2.17421e-07,0,0,1.33483e-06,2.18404e-07,9.98537e-07,2.07403e-07,6.27112e-07,2.06408e-07,1.02966e-06,2.19477e-07,8.95062e-07,1.96807e-07,9.72668e-07,2.2623e-07,1.09684e-06,2.43662e-07,1.13306e-06,2.36583e-07,1.16016e-06,2.0361e-07,1.26672e-05,7.90103e-07
