Bin Center (keV),det00,err00,det01,err01,det02,err02,det03,err03,det04,err04,det05,err05,det10,err10,det11,err11,det12,err12,det13,err13,det14,err14,det15,err15,all,err
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,2.91532e-06,4.11296e-07,2.48858e-06,3.76976e-07,0,0,3.25947e-06,4.00758e-07,3.11978e-06,4.33394e-07,2.3987e-06,4.03481e-07,3.34501e-06,4.13479e-07,2.95422e-06,3.62865e-07,1.70734e-06,5.42136e-07,3.85963e-06,4.60552e-07,3.71477e-06,4.27955e-07,3.09375e-06,3.58957e-07,3.5831e-05,1.52345e-06
11.5,3.9582e-06,4.48224e-07,3.75615e-06,4.03554e-07,0,0,3.20774e-06,3.90953e-07,3.87515e-06,4.40864e-07,2.38825e-06,3.91178e-07,3.05003e-06,3.91268e-07,2.04881e-06,3.2779e-07,3.26982e-06,5.14731e-07,3.25947e-06,4.34412e-07,3.44056e-06,4.23965e-07,2.43006e-06,3.1551e-07,3.77483e-05,1.48641e-06
12.5,3.69156e-06,4.23452e-07,2.51445e-06,3.6046e-07,0,0,3.02148e-06,3.73301e-07,3.07322e-06,4.13772e-07,2.16876e-06,3.70083e-07,2.5825e-06,3.71531e-07,1.88325e-06,3.17924e-07,3.06287e-06,4.74409e-07,2.92835e-06,4.16609e-07,3.99415e-06,4.36502e-07,2.38825e-06,3.07976e-07,3.40691e-05,1.41381e-06
13.5,2.93902e-06,3.92782e-07,2.58688e-06,3.47452e-07,0,0,2.79901e-06,3.48183e-07,2.63862e-06,3.86477e-07,2.18444e-06,3.59869e-07,2.68269e-06,3.61902e-07,2.39028e-06,3.1632e-07,3.21291e-06,4.41107e-07,3.037e-06,4.12054e-07,2.95422e-06,3.8748e-07,2.47709e-06,3.07221e-07,3.26008e-05,1.34292e-06
14.5,2.6072e-06,3.71937e-07,2.33854e-06,3.36414e-07,0,0,2.54549e-06,3.28768e-07,1.50039e-06,3.46295e-07,2.53458e-06,3.65255e-07,2.17064e-06,3.40831e-07,2.04881e-06,2.98289e-07,2.96457e-06,4.07613e-07,1.40726e-06,3.53865e-07,2.71623e-06,3.77543e-07,1.9754e-06,2.88233e-07,2.70215e-05,1.26012e-06
15.5,2.3524e-06,3.52203e-07,2.16263e-06,3.15642e-07,0,0,1.85738e-06,2.98603e-07,2.13677e-06,3.57589e-07,1.56778e-06,3.22572e-07,2.08159e-06,3.31897e-07,1.81599e-06,2.90791e-07,3.24913e-06,4.02824e-07,1.98673e-06,3.56427e-07,2.06433e-06,3.59232e-07,2.61819e-06,3.08684e-07,2.60484e-05,1.2215e-06
16.5,1.74801e-06,3.18269e-07,1.86256e-06,2.9721e-07,0,0,2.01777e-06,2.91756e-07,1.10201e-06,3.1543e-07,1.47894e-06,3.11678e-07,2.25413e-06,3.19e-07,2.28163e-06,3.06914e-07,2.70071e-06,3.7977e-07,1.37105e-06,3.27013e-07,2.33854e-06,3.48145e-07,2.17399e-06,2.97649e-07,2.32731e-05,1.16014e-06
17.5,2.21019e-06,3.38166e-07,1.75908e-06,2.87132e-07,0,0,1.64008e-06,2.64976e-07,1.50039e-06,3.1343e-07,1.78204e-06,3.15683e-07,1.58624e-06,2.94774e-07,1.65561e-06,2.7377e-07,2.19368e-06,3.4459e-07,1.43313e-06,3.19058e-07,1.90395e-06,3.2277e-07,1.91269e-06,2.71246e-07,2.13097e-05,1.10318e-06
18.5,2.10354e-06,3.28048e-07,1.35553e-06,2.69235e-07,0,0,1.459e-06,2.59102e-07,1.58835e-06,3.10124e-07,1.25945e-06,2.86189e-07,1.32465e-06,2.86081e-07,1.74873e-06,2.81578e-07,1.65043e-06,3.14751e-07,1.42279e-06,3.04989e-07,2.18333e-06,3.30393e-07,2.01721e-06,2.73252e-07,1.97206e-05,1.06893e-06
19.5,1.43989e-06,2.90105e-07,1.19514e-06,2.57079e-07,0,0,1.12788e-06,2.31494e-07,1.41244e-06,3.02433e-07,1.1079e-06,2.71447e-07,2.0148e-06,3.03218e-07,1.80564e-06,2.75281e-07,2.06951e-06,3.23929e-07,1.18997e-06,2.96308e-07,1.50557e-06,2.9354e-07,1.76637e-06,2.57188e-07,1.81199e-05,1.02391e-06
20.5,1.38656e-06,2.77676e-07,1.50039e-06,2.66336e-07,0,0,1.11236e-06,2.31667e-07,1.34001e-06,2.96353e-07,1.01383e-06,2.69326e-07,1.32465e-06,2.71069e-07,1.75391e-06,2.63862e-07,1.35035e-06,2.97615e-07,2.05916e-06,3.24012e-07,1.44865e-06,2.87132e-07,1.27513e-06,2.39254e-07,1.69971e-05,1.00007e-06
21.5,1.33915e-06,2.60585e-07,1.32448e-06,2.44539e-07,0,0,1.578e-06,2.46773e-07,1.27275e-06,2.72987e-07,7.21179e-07,2.46894e-07,1.61406e-06,2.79952e-07,1.72804e-06,2.65632e-07,1.71252e-06,2.95811e-07,1.75908e-06,2.88527e-07,1.25723e-06,2.68687e-07,1.25945e-06,2.30712e-07,1.69856e-05,9.57428e-07
22.5,1.09028e-06,2.46886e-07,1.30896e-06,2.43057e-07,0,0,8.48498e-07,2.14945e-07,1.05027e-06,2.55408e-07,1.03474e-06,2.45229e-07,1.4137e-06,2.64943e-07,1.47452e-06,2.4947e-07,1.67113e-06,2.93449e-07,1.12271e-06,2.72938e-07,1.51074e-06,2.83756e-07,1.45281e-06,2.39026e-07,1.5264e-05,9.28404e-07
23.5,9.48072e-07,2.28726e-07,1.54178e-06,2.5038e-07,0,0,1.12271e-06,2.26289e-07,1.36587e-06,2.56923e-07,7.94342e-07,2.37651e-07,1.13541e-06,2.49901e-07,1.51074e-06,2.44211e-07,1.20549e-06,2.61621e-07,1.15375e-06,2.65178e-07,1.65561e-06,2.70821e-07,1.64094e-06,2.45452e-07,1.54137e-05,9.04052e-07
24.5,9.71774e-07,2.28418e-07,8.7954e-07,1.99039e-07,0,0,1.07614e-06,2.1779e-07,9.83016e-07,2.31378e-07,1.15493e-06,2.47281e-07,1.04636e-06,2.39521e-07,1.21584e-06,2.2876e-07,1.05027e-06,2.55408e-07,1.21066e-06,2.67639e-07,9.05409e-07,2.42395e-07,1.07132e-06,2.18304e-07,1.26269e-05,8.50854e-07
25.5,1.14954e-06,2.32984e-07,1.13823e-06,2.2072e-07,0,0,9.77842e-07,2.05718e-07,1.20549e-06,2.34081e-07,6.84597e-07,2.22885e-07,8.96084e-07,2.19053e-07,1.13823e-06,2.11429e-07,1.07097e-06,2.45577e-07,1.0658e-06,2.48879e-07,1.29862e-06,2.49685e-07,1.08699e-06,2.12407e-07,1.27824e-05,8.26002e-07
26.5,1.28582e-06,2.46673e-07,9.05409e-07,2.06627e-07,0,0,8.12281e-07,1.97892e-07,1.2624e-06,2.28233e-07,1.03996e-06,2.36672e-07,1.09089e-06,2.37051e-07,1.12788e-06,2.17175e-07,1.09167e-06,2.4699e-07,9.77842e-07,2.49792e-07,1.27275e-06,2.45086e-07,1.25945e-06,2.198e-07,1.32027e-05,8.3413e-07
27.5,1.03103e-06,2.20599e-07,1.37622e-06,2.32186e-07,0,0,1.03475e-06,2.05001e-07,1.01406e-06,2.11049e-07,8.1002e-07,2.19551e-07,1.40257e-06,2.37312e-07,9.20931e-07,2.02505e-07,7.45023e-07,2.1987e-07,1.43313e-06,2.57807e-07,1.39692e-06,2.45413e-07,8.77957e-07,1.92865e-07,1.31278e-05,8.07123e-07
28.5,1.03695e-06,2.20519e-07,1.29862e-06,2.1699e-07,0,0,1.11753e-06,2.07854e-07,1.27792e-06,2.24508e-07,8.83183e-07,2.149e-07,8.34861e-07,2.04498e-07,1.20031e-06,2.10668e-07,1.30896e-06,2.34652e-07,8.22629e-07,2.26171e-07,9.41626e-07,2.23013e-07,1.28558e-06,2.0799e-07,1.31278e-05,7.88423e-07
