Bin Center (keV),n/ep,err
2.5,0,0
7.5,0,0
12.5,0,0
17.5,0,0
22.5,0,0
27.5,0,0
32.5,0,0
37.5,0,0
42.5,0,0
47.5,0,0
52.5,0.0121061,1.76966e-05
57.5,0.012248,1.78001e-05
62.5,0.0124671,1.79585e-05
67.5,0.0126138,1.80639e-05
72.5,0.0126953,1.81221e-05
77.5,0.0127293,1.81464e-05
82.5,0.0127554,1.8165e-05
87.5,0.0126953,1.81221e-05
92.5,0.0126807,1.81117e-05
97.5,0.012644,1.80855e-05
102.5,0.012604,1.80569e-05
107.5,0.0125989,1.80532e-05
112.5,0.0125205,1.79969e-05
117.5,0.0124798,1.79677e-05
122.5,0.0124628,1.79555e-05
127.5,0.0123431,1.7869e-05
132.5,0.0123216,1.78534e-05
137.5,0.0122199,1.77796e-05
142.5,0.0122383,1.7793e-05
147.5,0.012171,1.7744e-05
152.5,0.0121166,1.77043e-05
157.5,0.0120707,1.76707e-05
162.5,0.0120084,1.76251e-05
167.5,0.0119273,1.75655e-05
172.5,0.011901,1.75461e-05
177.5,0.0118113,1.74799e-05
182.5,0.0117644,1.74451e-05
187.5,0.0116921,1.73914e-05
192.5,0.0116222,1.73393e-05
197.5,0.0115224,1.72648e-05
202.5,0.0115136,1.72581e-05
207.5,0.0114468,1.7208e-05
212.5,0.0114034,1.71753e-05
217.5,0.011342,1.7129e-05
222.5,0.0112398,1.70517e-05
227.5,0.0111424,1.69776e-05
232.5,0.0110826,1.6932e-05
237.5,0.0110149,1.68803e-05
242.5,0.0109487,1.68294e-05
247.5,0.0109227,1.68094e-05
252.5,0.0108284,1.67368e-05
257.5,0.0107496,1.66758e-05
262.5,0.010658,1.66045e-05
267.5,0.0105919,1.65529e-05
272.5,0.0105517,1.65215e-05
277.5,0.0104842,1.64686e-05
282.5,0.0104004,1.64027e-05
287.5,0.0103096,1.63309e-05
292.5,0.0102131,1.62543e-05
297.5,0.0101293,1.61875e-05
302.5,0.0100502,1.61241e-05
307.5,0.00995904,1.60508e-05
312.5,0.00988091,1.59877e-05
317.5,0.00978116,1.59068e-05
322.5,0.00971571,1.58535e-05
327.5,0.00961079,1.57677e-05
332.5,0.00953422,1.57047e-05
337.5,0.00944388,1.56302e-05
342.5,0.0093431,1.55465e-05
347.5,0.00925292,1.54713e-05
352.5,0.00912591,1.53648e-05
357.5,0.00901374,1.52701e-05
362.5,0.00888587,1.51614e-05
367.5,0.00878291,1.50733e-05
372.5,0.00866751,1.49739e-05
377.5,0.00857024,1.48897e-05
382.5,0.00843034,1.47676e-05
387.5,0.0083205,1.46711e-05
392.5,0.00816565,1.4534e-05
397.5,0.00804715,1.44281e-05
402.5,0.00791573,1.43098e-05
407.5,0.00778217,1.41886e-05
412.5,0.00766972,1.40857e-05
417.5,0.00755217,1.39773e-05
422.5,0.00742963,1.38635e-05
427.5,0.00725742,1.37019e-05
432.5,0.00713535,1.35861e-05
437.5,0.00700789,1.34643e-05
442.5,0.0068316,1.32938e-05
447.5,0.0067237,1.31884e-05
452.5,0.00658646,1.30531e-05
457.5,0.00641653,1.28836e-05
462.5,0.00629378,1.27598e-05
467.5,0.00615187,1.26151e-05
472.5,0.00599981,1.24583e-05
477.5,0.00585751,1.23096e-05
482.5,0.0056972,1.214e-05
487.5,0.00555929,1.19922e-05
492.5,0.00540879,1.18287e-05
497.5,0.00527709,1.16838e-05
502.5,0.00510912,1.14964e-05
507.5,0.00495975,1.13271e-05
512.5,0.00481869,1.11649e-05
517.5,0.0046529,1.09711e-05
522.5,0.00451158,1.08032e-05
527.5,0.00435719,1.06168e-05
532.5,0.00422446,1.04538e-05
537.5,0.00406826,1.02587e-05
542.5,0.00392143,1.00719e-05
547.5,0.00376373,9.86729e-06
552.5,0.00362609,9.68518e-06
557.5,0.00350295,9.51931e-06
562.5,0.00333108,9.28284e-06
567.5,0.00319058,9.08497e-06
572.5,0.00306468,8.90392e-06
577.5,0.00292944,8.70524e-06
582.5,0.00275648,8.44434e-06
587.5,0.00262168,8.23527e-06
592.5,0.00248243,8.01358e-06
597.5,0.00236576,7.823e-06
602.5,0.002242,7.61564e-06
607.5,0.00209887,7.36853e-06
612.5,0.00199231,7.17906e-06
617.5,0.00186351,6.94312e-06
622.5,0.00173663,6.70258e-06
627.5,0.00162798,6.48952e-06
632.5,0.00150689,6.24351e-06
637.5,0.0014032,6.02488e-06
642.5,0.00129869,5.79618e-06
647.5,0.00120171,5.57556e-06
652.5,0.001098,5.32955e-06
657.5,0.000988707,5.05734e-06
662.5,0.000907298,4.84466e-06
667.5,0.000822758,4.61344e-06
672.5,0.000738633,4.37122e-06
677.5,0.000657663,4.12468e-06
682.5,0.000583989,3.88679e-06
687.5,0.00051153,3.63768e-06
692.5,0.000441348,3.37893e-06
697.5,0.000380893,3.13899e-06
702.5,0.000324085,2.89546e-06
707.5,0.000272683,2.65594e-06
712.5,0.000226094,2.41842e-06
717.5,0.000182013,2.1699e-06
722.5,0.000143779,1.92857e-06
727.5,0.000110951,1.69416e-06
732.5,8.13834e-05,1.45096e-06
737.5,5.79203e-05,1.22406e-06
742.5,3.67337e-05,9.74812e-07
747.5,2.35665e-05,7.80793e-07
752.5,1.17962e-05,5.52407e-07
757.5,5.30311e-06,3.70385e-07
762.5,3.41469e-06,2.9721e-07
767.5,3.33708e-06,2.93814e-07
772.5,2.7421e-06,2.66336e-07
777.5,2.66449e-06,2.6254e-07
782.5,3.156e-06,2.85731e-07
787.5,2.76797e-06,2.67589e-07
792.5,2.30233e-06,2.44046e-07
