Bin Center (us),n/ep,err
0,0,0
0.04,0,0
0.08,0,0
0.12,0,0
0.16,0,0
0.2,0,0
0.24,0,0
0.28,0,0
0.32,0,0
0.36,0,0
0.4,0,0
0.44,0,0
0.48,0,0
0.52,0,0
0.56,0,0
0.6,0,0
0.64,0,0
0.68,0,0
0.72,0,0
0.76,0,0
0.8,0,0
0.84,0,0
0.88,0,0
0.92,0,0
0.96,0,0
1,0,0
1.04,0,0
1.08,0,0
1.12,0,0
1.16,0,0
1.2,0,0
1.24,0,0
1.28,0,0
1.32,0,0
1.36,0,0
1.4,0,0
1.44,0,0
1.48,0,0
1.52,0,0
1.56,0,0
1.6,0,0
1.64,0,0
1.68,0,0
1.72,0,0
1.76,0,0
1.8,0,0
1.84,0,0
1.88,0,0
1.92,0,0
1.96,0,0
2,0.000144788,1.93533e-06
2.04,0.0010965,5.3259e-06
2.08,0.0037524,9.85243e-06
2.12,0.00601738,1.24765e-05
2.16,0.00698616,1.34434e-05
2.2,0.00738734,1.3824e-05
2.24,0.00769494,1.41088e-05
2.28,0.00796504,1.43543e-05
2.32,0.00826245,1.46199e-05
2.36,0.0085228,1.48484e-05
2.4,0.00871529,1.50151e-05
2.44,0.0089338,1.52022e-05
2.48,0.00917547,1.54065e-05
2.52,0.00933645,1.5541e-05
2.56,0.00951601,1.56897e-05
2.6,0.00967735,1.58222e-05
2.64,0.00984542,1.5959e-05
2.68,0.00996444,1.60552e-05
2.72,0.0100773,1.61459e-05
2.76,0.0101612,1.62129e-05
2.8,0.0102882,1.63139e-05
2.84,0.0103354,1.63513e-05
2.88,0.0104072,1.6408e-05
2.92,0.0104586,1.64484e-05
2.96,0.0104811,1.64662e-05
3,0.0104996,1.64807e-05
3.04,0.0104631,1.6452e-05
3.08,0.0104945,1.64767e-05
3.12,0.0104441,1.64371e-05
3.16,0.0103882,1.6393e-05
3.2,0.0103432,1.63574e-05
3.24,0.0102879,1.63137e-05
3.28,0.0102641,1.62948e-05
3.32,0.0101921,1.62375e-05
3.36,0.0101361,1.61928e-05
3.4,0.0100216,1.61011e-05
3.44,0.00996082,1.60523e-05
3.48,0.00986943,1.59784e-05
3.52,0.00979663,1.59194e-05
3.56,0.00969267,1.58347e-05
3.6,0.00959382,1.57538e-05
3.64,0.00945271,1.56375e-05
3.68,0.00937037,1.55692e-05
3.72,0.00924024,1.54607e-05
3.76,0.00913467,1.53722e-05
3.8,0.00902295,1.52779e-05
3.84,0.00892061,1.5191e-05
3.88,0.00882782,1.51118e-05
3.92,0.0087126,1.50128e-05
3.96,0.00860835,1.49227e-05
4,0.00850058,1.4829e-05
4.04,0.00837149,1.4716e-05
4.08,0.00827495,1.46309e-05
4.12,0.00818399,1.45503e-05
4.16,0.00805457,1.44348e-05
4.2,0.00793511,1.43273e-05
4.24,0.00784656,1.42472e-05
4.28,0.00774922,1.41585e-05
4.32,0.00765593,1.4073e-05
4.36,0.00753849,1.39647e-05
4.4,0.00740946,1.38446e-05
4.44,0.00733669,1.37765e-05
4.48,0.00724953,1.36944e-05
4.52,0.00715933,1.3609e-05
4.56,0.00704266,1.34976e-05
4.6,0.00694095,1.33998e-05
4.64,0.00685206,1.33137e-05
4.68,0.00674654,1.32108e-05
4.72,0.0066487,1.31147e-05
4.76,0.00657816,1.30449e-05
4.8,0.00648157,1.29488e-05
4.84,0.00638536,1.28523e-05
4.88,0.00632659,1.2793e-05
4.92,0.00620969,1.26743e-05
4.96,0.00615264,1.26159e-05
5,0.00603644,1.24962e-05
5.04,0.00596284,1.24198e-05
5.08,0.0059287,1.23842e-05
5.12,0.00582716,1.22777e-05
5.16,0.00574614,1.2192e-05
5.2,0.00565203,1.20918e-05
5.24,0.00560252,1.20387e-05
5.28,0.00553182,1.19625e-05
5.32,0.00545395,1.1878e-05
5.36,0.00537552,1.17923e-05
5.4,0.00530466,1.17143e-05
5.44,0.00524522,1.16485e-05
5.48,0.00520168,1.16001e-05
5.52,0.00511267,1.15004e-05
5.56,0.00507192,1.14545e-05
5.6,0.00499328,1.13653e-05
5.64,0.00491174,1.12721e-05
5.68,0.00485677,1.12089e-05
5.72,0.00479606,1.11386e-05
5.76,0.0047392,1.10724e-05
5.8,0.00467028,1.09916e-05
5.84,0.00461904,1.09311e-05
5.88,0.00454616,1.08445e-05
5.92,0.00448353,1.07696e-05
5.96,0.00443025,1.07054e-05
6,0.00439367,1.06611e-05
6.04,0.00430103,1.05481e-05
6.08,0.00426911,1.05089e-05
6.12,0.00419088,1.04122e-05
6.16,0.00414672,1.03572e-05
6.2,0.00409359,1.02906e-05
6.24,0.00404964,1.02352e-05
6.28,0.00398882,1.01581e-05
6.32,0.0039332,1.0087e-05
6.36,0.00385534,9.98664e-06
6.4,0.00382409,9.94609e-06
6.44,0.00378725,9.89807e-06
6.48,0.00372131,9.81152e-06
6.52,0.00364629,9.71212e-06
6.56,0.00362347,9.68169e-06
6.6,0.00356537,9.60375e-06
6.64,0.00351208,9.53171e-06
6.68,0.00346648,9.46962e-06
6.72,0.00342687,9.41537e-06
6.76,0.00338729,9.36084e-06
6.8,0.00333341,9.28608e-06
6.84,0.00327347,9.20222e-06
6.88,0.00322636,9.13577e-06
6.92,0.00320517,9.10572e-06
6.96,0.00315204,9.02993e-06
7,0.00311613,8.97835e-06
7.04,0.0030705,8.91237e-06
7.08,0.00302057,8.83961e-06
7.12,0.00298151,8.78227e-06
7.16,0.00293283,8.71027e-06
7.2,0.00289904,8.65996e-06
7.24,0.00283985,8.5711e-06
7.28,0.00282754,8.5525e-06
7.32,0.00278206,8.48344e-06
7.36,0.00274743,8.43046e-06
7.4,0.00268798,8.33876e-06
7.44,0.00265968,8.29474e-06
7.48,0.00261604,8.22641e-06
7.52,0.00258303,8.17435e-06
7.56,0.00255118,8.1238e-06
7.6,0.00250845,8.05547e-06
7.64,0.00247027,7.99393e-06
