Bin Center (keV),n/ep,err
0.125,0,0
0.375,0,0
0.625,0,0
0.875,0,0
1.125,0,0
1.375,0,0
1.625,0,0
1.875,0,0
2.125,0,0
2.375,0,0
2.625,0,0
2.875,0,0
3.125,0,0
3.375,0,0
3.625,0,0
3.875,0,0
4.125,0,0
4.375,0,0
4.625,0,0
4.875,0,0
5.125,0,0
5.375,0,0
5.625,0,0
5.875,0,0
6.125,0,0
6.375,0,0
6.625,0,0
6.875,0,0
7.125,0,0
7.375,0,0
7.625,0,0
7.875,0,0
8.125,0,0
8.375,0,0
8.625,0,0
8.875,0,0
9.125,0,0
9.375,0,0
9.625,0,0
9.875,0,0
10.125,0.00150828,6.2464e-06
10.375,0.00175913,6.74587e-06
10.625,0.00205869,7.29767e-06
10.875,0.00237153,7.83254e-06
11.125,0.00269525,8.35003e-06
11.375,0.00305177,8.88515e-06
11.625,0.00337632,9.34567e-06
11.875,0.00369001,9.77017e-06
12.125,0.0040375,1.02199e-05
12.375,0.00440427,1.0674e-05
12.625,0.00481965,1.1166e-05
12.875,0.00526677,1.16724e-05
13.125,0.00577775,1.22255e-05
13.375,0.00640336,1.28704e-05
13.625,0.00703438,1.34897e-05
13.875,0.00776637,1.41742e-05
14.125,0.00850927,1.48366e-05
14.375,0.00938664,1.55827e-05
14.625,0.0103139,1.63342e-05
14.875,0.0113265,1.71174e-05
15.125,0.0123927,1.79049e-05
15.375,0.0135302,1.87086e-05
15.625,0.0147294,1.95201e-05
15.875,0.0159908,2.03387e-05
16.125,0.017284,2.11451e-05
16.375,0.0186152,2.19443e-05
16.625,0.0200107,2.2752e-05
16.875,0.0213229,2.34862e-05
17.125,0.0227056,2.42357e-05
17.375,0.023996,2.49148e-05
17.625,0.025265,2.55651e-05
17.875,0.026461,2.61632e-05
18.125,0.027527,2.66851e-05
18.375,0.0285406,2.71719e-05
18.625,0.0293568,2.75577e-05
18.875,0.0300251,2.78696e-05
19.125,0.0305048,2.80914e-05
19.375,0.0308397,2.82451e-05
19.625,0.0309446,2.82931e-05
19.875,0.0307906,2.82226e-05
20.125,0.030518,2.80974e-05
20.375,0.030003,2.78593e-05
20.625,0.0293122,2.75367e-05
20.875,0.0283929,2.71015e-05
21.125,0.027379,2.66132e-05
21.375,0.0261265,2.59973e-05
21.625,0.024802,2.53298e-05
21.875,0.0233889,2.45976e-05
22.125,0.0218975,2.38005e-05
22.375,0.0203462,2.2942e-05
22.625,0.0188275,2.20691e-05
22.875,0.0172588,2.11297e-05
23.125,0.0157614,2.01923e-05
23.375,0.0142891,1.92261e-05
23.625,0.0128281,1.82167e-05
23.875,0.0114748,1.72291e-05
24.125,0.0102136,1.62546e-05
24.375,0.0090485,1.52995e-05
24.625,0.00797971,1.43675e-05
24.875,0.00698047,1.34379e-05
25.125,0.00605579,1.25162e-05
25.375,0.00527062,1.16767e-05
25.625,0.00452262,1.08164e-05
25.875,0.00386703,1.00018e-05
26.125,0.00328348,9.21628e-06
26.375,0.00277767,8.47673e-06
26.625,0.00232186,7.75008e-06
26.875,0.0019346,7.07431e-06
27.125,0.00156579,6.36436e-06
27.375,0.00125485,5.69749e-06
27.625,0.000983766,5.04469e-06
27.875,0.000779066,4.48927e-06
28.125,0.000606986,3.96258e-06
28.375,0.000463932,3.4643e-06
28.625,0.000347781,2.99945e-06
28.875,0.000259257,2.58973e-06
29.125,0.000178961,2.15163e-06
29.375,0.000121842,1.77536e-06
29.625,7.72443e-05,1.41358e-06
29.875,4.89438e-05,1.12522e-06
30.125,2.77314e-05,8.46982e-07
30.375,1.64267e-05,6.51874e-07
30.625,1.00371e-05,5.09557e-07
