Series,EP,err,onpeak 02,err,offpeak 02,err,bgc 02,err,onpeak 06,err,offpeak 06,err,bgc 06,err,onpeak 16,err,offpeak 16,err,bgc 16,err,EPG/EP,err
253,2801330,1673.72,1,1.00,10,3.16,0.33,1.29,143,11.96,818,28.60,88.47,14.05,146,12.08,1143,33.81,69.80,14.91,,
270,270685,520.27,7,2.65,38,6.16,4.47,3.09,18,4.24,82,9.06,12.53,4.84,16,4.00,111,10.54,8.60,4.84,,
289,1384470,1176.64,48,6.93,190,13.78,35.33,7.79,52,7.21,457,21.38,21.53,9.08,64,8.00,538,23.19,28.13,9.99,,
290,565518,752.01,19,4.36,68,8.25,14.47,4.85,33,5.74,168,12.96,21.80,6.65,27,5.20,242,15.56,10.87,6.57,,
291,392172,626.24,17,4.12,34,5.83,14.73,4.39,20,4.47,117,10.82,12.20,5.27,16,4.00,138,11.75,6.80,5.02,,
292,1741960,1319.83,51,7.14,235,15.33,35.33,8.16,89,9.43,510,22.58,55.00,11.09,85,9.22,686,26.19,39.27,11.43,,
304,779696,883.00,28,5.29,95,9.75,21.67,5.86,29,5.39,230,15.17,13.67,6.66,50,7.07,300,17.32,30.00,8.37,,
305,694916,833.62,29,5.39,64,8.00,24.73,5.77,29,5.39,192,13.86,16.20,6.47,26,5.10,259,16.09,8.73,6.58,,
311,119532,345.73,12,3.46,34,5.83,9.73,3.78,9,3.00,54,7.35,5.40,3.55,14,3.74,83,9.11,8.47,4.42,,
313,1330620,1153.53,53,7.28,285,16.88,34.00,8.49,90,9.49,551,23.47,53.27,11.26,88,9.38,850,29.15,31.33,12.03,,
317,576021,758.96,17,4.12,119,10.91,9.07,4.99,27,5.20,262,16.19,9.53,6.67,34,5.83,332,18.22,11.87,7.49,,
sum,10656920,3264.49,282,16.79,1172,34.23,203.87,18.98,539,23.22,3441,58.66,309.60,27.72,566,23.79,4682,68.43,253.87,29.63,7.20E-005,8.40E-006
