Series,EP,err,onpeak 02,err,offpeak 02,err,bgc 02,err,onpeak 06,err,offpeak 06,err,bgc 06,err,onpeak 16,err,offpeak 16,err,bgc 16,err,EPG/EP,err
253,2450860,1565.52,0,0.00,8,2.83,-0.53,0.73,125,11.18,711,26.66,77.60,13.13,130,11.40,1000,31.62,63.33,14.02,,
270,236667,486.48,7,2.65,32,5.66,4.87,3.02,16,4.00,76,8.72,10.93,4.59,15,3.87,97,9.85,8.53,4.63,,
289,1201890,1096.31,44,6.63,164,12.81,33.07,7.41,45,6.71,392,19.80,18.87,8.43,59,7.68,461,21.47,28.27,9.47,,
290,489823,699.87,19,4.36,61,7.81,14.93,4.80,29,5.39,145,12.04,19.33,6.22,26,5.10,210,14.49,12.00,6.32,,
291,340012,583.11,16,4.00,27,5.20,14.20,4.22,18,4.24,101,10.05,11.27,4.97,13,3.61,127,11.27,4.53,4.63,,
292,1511100,1229.27,47,6.86,197,14.04,33.87,7.75,81,9.00,439,20.95,51.73,10.50,77,8.77,603,24.56,36.80,10.83,,
304,678526,823.73,25,5.00,83,9.11,19.47,5.53,28,5.29,196,14.00,14.93,6.41,46,6.78,263,16.22,28.47,7.97,,
305,600672,775.03,24,4.90,52,7.21,20.53,5.24,24,4.90,164,12.81,13.07,5.91,24,4.90,230,15.17,8.67,6.27,,
311,104710,323.59,10,3.16,30,5.48,8.00,3.46,8,2.83,48,6.93,4.80,3.35,14,3.74,73,8.54,9.13,4.34,,
313,1162340,1078.12,52,7.21,243,15.59,35.80,8.26,78,8.83,480,21.91,46.00,10.49,78,8.83,730,27.02,29.33,11.25,,
317,504108,710.01,15,3.87,102,10.10,8.20,4.67,25,5.00,227,15.07,9.87,6.34,33,5.74,292,17.09,13.53,7.24,,
sum,9280708,3046.43,259,16.09,999,31.61,192.40,18.04,477,21.84,2979,54.58,278.40,25.99,515,22.69,4086,63.92,242.60,28.06,7.69E-005,8.89E-006
