Bin Center (keV),bapd0,err0,bapd1,err1,bapd2,err2,all,err
0.125,0,0,0,0,0,0,0,0
0.375,2.18638e-06,4.82004e-07,9.423e-07,3.61592e-07,3.09173e-06,5.63726e-07,6.22041e-06,8.25145e-07
0.625,2.72836e-06,5.32551e-07,2.74684e-06,5.40926e-07,2.24181e-06,4.8165e-07,7.71701e-06,8.98999e-07
0.875,2.21718e-06,4.72266e-07,1.71831e-06,4.35538e-07,2.34035e-06,4.8102e-07,6.27584e-06,8.02564e-07
1.125,3.06709e-06,5.55729e-07,1.84765e-06,4.64981e-07,1.6752e-06,4.1443e-07,6.58994e-06,8.34742e-07
1.375,1.61977e-06,4.46547e-07,1.72447e-06,4.84946e-07,1.66288e-06,4.14521e-07,5.00712e-06,7.7872e-07
1.625,1.50275e-06,4.95623e-07,2.40194e-06,6.13723e-07,1.75527e-06,4.55711e-07,5.65996e-06,9.11027e-07
1.875,1.89692e-06,4.93168e-07,2.03857e-06,5.44943e-07,1.05932e-06,3.85013e-07,4.99481e-06,8.29706e-07
2.125,1.28719e-06,3.71117e-07,1.26256e-06,3.71321e-07,8.31441e-07,2.93111e-07,3.3812e-06,6.01267e-07
2.375,9.36141e-07,3.21677e-07,9.48459e-07,3.21559e-07,6.15883e-07,2.44808e-07,2.50048e-06,5.16534e-07
2.625,5.235e-07,2.45968e-07,6.03565e-07,2.79668e-07,5.05024e-07,2.26959e-07,1.63209e-06,4.36147e-07
2.875,4.7423e-07,2.46584e-07,9.423e-07,3.21618e-07,5.11183e-07,2.26876e-07,1.92771e-06,4.64451e-07
3.125,9.48459e-07,3.21559e-07,5.35818e-07,2.63681e-07,5.72771e-07,2.4535e-07,2.05705e-06,4.8283e-07
3.375,1.1517e-06,3.46923e-07,5.72771e-07,2.63249e-07,8.68394e-07,2.92722e-07,2.59287e-06,5.2473e-07
3.625,9.54618e-07,3.215e-07,4.61912e-07,2.46738e-07,4.12641e-07,2.07306e-07,1.82917e-06,4.55212e-07
3.875,2.83306e-07,2.09219e-07,6.71312e-07,2.78921e-07,9.36141e-07,3.07201e-07,1.89076e-06,4.64696e-07
4.125,7.76012e-07,3.08802e-07,8.376e-07,3.22619e-07,6.58994e-07,2.62239e-07,2.27261e-06,5.17891e-07
4.375,8.25283e-07,3.22737e-07,1.01005e-06,3.61014e-07,2.094e-07,1.61309e-07,2.04473e-06,5.10403e-07
4.625,5.72771e-07,2.80007e-07,1.18865e-06,3.83977e-07,8.25283e-07,2.93176e-07,2.58671e-06,5.58385e-07
4.875,9.60777e-07,3.73816e-07,3.81847e-07,3.12708e-07,4.49594e-07,2.2771e-07,1.79222e-06,5.37937e-07
5.125,6.15883e-07,3.76646e-07,8.9303e-07,4.30898e-07,5.48135e-07,2.80277e-07,2.05705e-06,6.37252e-07
5.375,9.423e-07,5.25742e-07,1.05316e-06,5.66779e-07,3.94165e-07,2.81964e-07,2.38962e-06,8.22889e-07
5.625,1.84765e-06,7.05985e-07,9.9773e-07,7.47175e-07,8.19124e-07,4.09782e-07,3.6645e-06,1.10662e-06
5.875,9.91571e-07,7.03267e-07,-2.46352e-08,7.26741e-07,2.21718e-07,3.67677e-07,1.18865e-06,1.07607e-06
6.125,9.17665e-07,6.28411e-07,-3.38735e-07,6.20026e-07,7.39059e-08,3.29828e-07,6.52835e-07,9.42401e-07
6.375,1.07779e-06,5.24947e-07,-5.91247e-07,4.41378e-07,-4.31118e-08,2.13969e-07,4.43436e-07,7.18447e-07
6.625,7.69853e-07,3.75385e-07,4.188e-07,3.78254e-07,3.07941e-07,2.48652e-07,1.49659e-06,5.88063e-07
6.875,1.84765e-07,1.87819e-07,2.83306e-07,2.48957e-07,6.34359e-07,2.62528e-07,1.10243e-06,4.07647e-07
7.125,1.66288e-07,1.31083e-07,6.15883e-08,9.34032e-08,7.08265e-07,2.61659e-07,9.36141e-07,3.07201e-07
7.375,4.188e-07,2.07215e-07,1.78606e-07,1.30793e-07,1.72447e-07,1.30938e-07,7.69853e-07,2.77831e-07
7.625,2.70988e-07,1.60129e-07,1.78606e-07,1.30793e-07,8.00647e-08,9.27921e-08,5.29659e-07,2.26625e-07
7.875,8.00647e-08,9.27921e-08,3.32577e-07,1.8538e-07,1.66288e-07,1.31083e-07,5.7893e-07,2.45273e-07
8.125,1.78606e-07,1.30793e-07,6.77471e-08,9.31999e-08,1.84765e-07,1.30648e-07,4.31118e-07,2.07032e-07
8.375,1.72447e-07,1.30938e-07,1.60129e-07,1.31228e-07,1.53971e-07,1.31372e-07,4.86547e-07,2.2721e-07
8.625,1.78606e-07,1.30793e-07,1.60129e-07,1.31228e-07,-1.23177e-08,8.70989e-09,3.26418e-07,1.85482e-07
8.875,3.57212e-07,1.8497e-07,7.39059e-08,9.29962e-08,6.77471e-08,9.31999e-08,4.98865e-07,2.27043e-07
9.125,1.78606e-07,1.30793e-07,6.77471e-08,9.31999e-08,1.66288e-07,1.31083e-07,4.12641e-07,2.07306e-07
9.375,8.62236e-08,9.25874e-08,6.77471e-08,9.31999e-08,8.00647e-08,9.27921e-08,2.34035e-07,1.60839e-07
9.625,-6.15883e-09,6.15883e-09,-1.23177e-08,8.70989e-09,1.72447e-07,1.30938e-07,1.53971e-07,1.31372e-07
9.875,1.72447e-07,1.30938e-07,1.84765e-07,1.30648e-07,-6.15883e-09,6.15883e-09,3.51053e-07,1.85072e-07
10.125,-6.15883e-09,6.15883e-09,1.66288e-07,1.31083e-07,-1.23177e-08,8.70989e-09,1.47812e-07,1.31517e-07
10.375,2.58671e-07,1.60366e-07,-1.23177e-08,8.70989e-09,1.78606e-07,1.30793e-07,4.24959e-07,2.07123e-07
10.625,1.72447e-07,1.30938e-07,0,0,-1.23177e-08,8.70989e-09,1.60129e-07,1.31228e-07
10.875,8.62236e-08,9.25874e-08,1.78606e-07,1.30793e-07,-6.15883e-09,6.15883e-09,2.58671e-07,1.60366e-07
11.125,9.23824e-08,9.23824e-08,8.62236e-08,9.25874e-08,-1.23177e-08,8.70989e-09,1.66288e-07,1.31083e-07
11.375,0,0,-1.23177e-08,8.70989e-09,8.62236e-08,9.25874e-08,7.39059e-08,9.29962e-08
11.625,-6.15883e-09,6.15883e-09,9.23824e-08,9.23824e-08,-6.15883e-09,6.15883e-09,8.00647e-08,9.27921e-08
11.875,7.39059e-08,9.29962e-08,1.78606e-07,1.30793e-07,9.23824e-08,9.23824e-08,3.44894e-07,1.85175e-07
12.125,1.72447e-07,1.30938e-07,8.62236e-08,9.25874e-08,9.23824e-08,9.23824e-08,3.51053e-07,1.85072e-07
12.375,8.62236e-08,9.25874e-08,-2.46353e-08,1.23177e-08,-1.23177e-08,8.70989e-09,4.92706e-08,9.38084e-08
12.625,0,0,-6.15883e-09,6.15883e-09,-6.15883e-09,6.15883e-09,-1.23177e-08,8.70989e-09
12.875,8.00647e-08,9.27921e-08,8.00647e-08,9.27921e-08,-6.15883e-09,6.15883e-09,1.53971e-07,1.31372e-07
13.125,-1.84765e-08,1.06674e-08,1.84765e-07,1.30648e-07,-1.23177e-08,8.70989e-09,1.53971e-07,1.31372e-07
13.375,0,0,9.23824e-08,9.23824e-08,0,0,9.23824e-08,9.23824e-08
13.625,1.66288e-07,1.31083e-07,-1.84765e-08,1.06674e-08,-1.23177e-08,8.70989e-09,1.35494e-07,1.31805e-07
13.875,-6.15883e-09,6.15883e-09,8.62236e-08,9.25874e-08,8.00647e-08,9.27921e-08,1.60129e-07,1.31228e-07
14.125,-6.15883e-09,6.15883e-09,-6.15883e-09,6.15883e-09,0,0,-1.23177e-08,8.70989e-09
14.375,8.62236e-08,9.25874e-08,6.77471e-08,9.31999e-08,0,0,1.53971e-07,1.31372e-07
14.625,-1.23177e-08,8.70989e-09,3.51053e-07,1.85072e-07,9.23824e-08,9.23824e-08,4.31118e-07,2.07032e-07
14.875,8.62236e-08,9.25874e-08,-1.23177e-08,8.70989e-09,9.23824e-08,9.23824e-08,1.66288e-07,1.31083e-07
15.125,1.78606e-07,1.30793e-07,8.62236e-08,9.25874e-08,-6.15883e-09,6.15883e-09,2.58671e-07,1.60366e-07
15.375,0,0,8.00647e-08,9.27921e-08,0,0,8.00647e-08,9.27921e-08
15.625,0,0,0,0,0,0,0,0
15.875,8.62236e-08,9.25874e-08,-6.15883e-09,6.15883e-09,-6.15883e-09,6.15883e-09,7.39059e-08,9.29962e-08
16.125,-1.23177e-08,8.70989e-09,-6.15883e-09,6.15883e-09,-1.23177e-08,8.70989e-09,-3.07941e-08,1.37716e-08
16.375,-6.15883e-09,6.15883e-09,8.62236e-08,9.25874e-08,0,0,8.00647e-08,9.27921e-08
16.625,0,0,0,0,0,0,0,0
16.875,-1.23177e-08,8.70989e-09,0,0,0,0,-1.23177e-08,8.70989e-09
17.125,0,0,8.62236e-08,9.25874e-08,8.62236e-08,9.25874e-08,1.72447e-07,1.30938e-07
17.375,0,0,0,0,0,0,0,0
17.625,-6.15883e-09,6.15883e-09,-6.15883e-09,6.15883e-09,-1.23177e-08,8.70989e-09,-2.46353e-08,1.23177e-08
17.875,-6.15883e-09,6.15883e-09,1.84765e-07,1.30648e-07,8.62236e-08,9.25874e-08,2.64829e-07,1.60248e-07
18.125,8.62236e-08,9.25874e-08,0,0,0,0,8.62236e-08,9.25874e-08
18.375,0,0,-1.23177e-08,8.70989e-09,-1.23177e-08,8.70989e-09,-2.46353e-08,1.23177e-08
18.625,9.23824e-08,9.23824e-08,7.39059e-08,9.29962e-08,-1.23177e-08,8.70989e-09,1.53971e-07,1.31372e-07
18.875,-6.15883e-09,6.15883e-09,-6.15883e-09,6.15883e-09,0,0,-1.23177e-08,8.70989e-09
19.125,0,0,-1.23177e-08,8.70989e-09,0,0,-1.23177e-08,8.70989e-09
19.375,8.62236e-08,9.25874e-08,0,0,-1.23177e-08,8.70989e-09,7.39059e-08,9.29962e-08
19.625,-1.84765e-08,1.06674e-08,0,0,-1.23177e-08,8.70989e-09,-3.07941e-08,1.37716e-08
19.875,9.23824e-08,9.23824e-08,-6.15883e-09,6.15883e-09,-6.15883e-09,6.15883e-09,8.00647e-08,9.27921e-08
sum,3.6374e-05,2.35919e-06,2.91497e-05,2.38393e-06,2.68094e-05,1.80997e-06,9.23331e-05,3.81115e-06
ep,1.08246e+07,3290.07,1.08246e+07,3290.07,1.08246e+07,3290.07
