Bin Center (keV),det00,err00,det01,err01,det02,err02,det03,err03,det04,err04,det05,err05,det10,err10,det11,err11,det12,err12,det13,err13,det14,err14,det15,err15,all,err
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,2.73394e-06,3.95885e-07,2.50955e-06,3.65345e-07,0,0,3.46604e-06,3.98322e-07,3.30334e-06,4.2755e-07,2.13057e-06,3.85335e-07,3.13572e-06,3.98421e-07,3.19487e-06,3.60691e-07,1.35092e-06,5.15829e-07,4.02317e-06,4.52519e-07,3.74214e-06,4.18093e-07,2.74784e-06,3.36814e-07,3.53017e-05,1.47794e-06
11.5,3.62092e-06,4.22159e-07,3.16035e-06,3.77711e-07,0,0,3.30827e-06,3.84409e-07,3.55478e-06,4.20065e-07,2.64828e-06,3.88729e-07,3.09342e-06,3.79294e-07,2.18908e-06,3.26522e-07,3.00751e-06,4.9916e-07,3.16036e-06,4.21509e-07,3.40194e-06,4.11322e-07,2.73789e-06,3.2107e-07,3.68971e-05,1.4419e-06
12.5,3.91846e-06,4.213e-07,3.01737e-06,3.68888e-07,0,0,2.83495e-06,3.60118e-07,3.27375e-06,4.0495e-07,2.22515e-06,3.56647e-07,2.52762e-06,3.58331e-07,1.79958e-06,3.0172e-07,3.16035e-06,4.65886e-07,3.33292e-06,4.17016e-07,4.08726e-06,4.25584e-07,2.27991e-06,2.94585e-07,3.53236e-05,1.38499e-06
13.5,3.1662e-06,3.90394e-07,2.70183e-06,3.413e-07,0,0,2.73141e-06,3.37864e-07,2.61802e-06,3.80277e-07,1.90656e-06,3.42975e-07,2.96122e-06,3.62134e-07,2.57364e-06,3.22477e-07,2.97793e-06,4.21711e-07,2.82016e-06,3.96824e-07,2.93849e-06,3.77228e-07,2.65824e-06,3.07508e-07,3.27195e-05,1.3141e-06
14.5,2.32974e-06,3.48103e-07,2.34192e-06,3.26485e-07,0,0,2.47011e-06,3.19865e-07,1.70097e-06,3.43182e-07,2.19031e-06,3.39817e-07,2.05699e-06,3.26439e-07,2.05596e-06,2.90974e-07,2.98286e-06,4.01301e-07,1.63688e-06,3.49951e-07,2.3715e-06,3.56182e-07,2.03101e-06,2.81245e-07,2.63598e-05,1.21746e-06
15.5,2.45886e-06,3.4706e-07,2.12498e-06,3.05085e-07,0,0,2.11019e-06,3.00387e-07,2.12005e-06,3.48628e-07,1.90159e-06,3.27489e-07,2.15746e-06,3.25625e-07,2.07568e-06,2.92058e-07,3.0864e-06,3.89591e-07,2.16442e-06,3.55567e-07,1.84395e-06,3.49534e-07,2.44916e-06,2.95677e-07,2.66942e-05,1.20104e-06
16.5,1.77397e-06,3.09729e-07,1.982e-06,2.95328e-07,0,0,1.96228e-06,2.87993e-07,1.31147e-06,3.16235e-07,1.57802e-06,3.05365e-07,2.18919e-06,3.09512e-07,2.20387e-06,2.98398e-07,2.63774e-06,3.65478e-07,1.24245e-06,3.17922e-07,2.42573e-06,3.37936e-07,2.27991e-06,2.93321e-07,2.35582e-05,1.13466e-06
17.5,2.10519e-06,3.24682e-07,1.80944e-06,2.82927e-07,0,0,1.77493e-06,2.63209e-07,1.28189e-06,2.9746e-07,1.40877e-06,2.91838e-07,1.80317e-06,2.93419e-07,1.74534e-06,2.73001e-07,2.26796e-06,3.39085e-07,1.47911e-06,3.1026e-07,2.00665e-06,3.20017e-07,1.88665e-06,2.64864e-07,2.13049e-05,1.07496e-06
18.5,2.06028e-06,3.17715e-07,1.20301e-06,2.55999e-07,0,0,1.44952e-06,2.49263e-07,1.52841e-06,3.00307e-07,1.41872e-06,2.84006e-07,1.02056e-06,2.66344e-07,1.58757e-06,2.64958e-07,1.62209e-06,3.0794e-07,1.70097e-06,3.04925e-07,2.23838e-06,3.23906e-07,1.99617e-06,2.6242e-07,1.94299e-05,1.03539e-06
19.5,1.56065e-06,2.91271e-07,1.42487e-06,2.63716e-07,0,0,1.21287e-06,2.30411e-07,1.39529e-06,2.94049e-07,1.20467e-06,2.71197e-07,1.86134e-06,2.90016e-07,1.57278e-06,2.60936e-07,2.08061e-06,3.19447e-07,1.03044e-06,2.85833e-07,1.50869e-06,2.90598e-07,1.83189e-06,2.55385e-07,1.81689e-05,1.00699e-06
20.5,1.2182e-06,2.62293e-07,1.28682e-06,2.46468e-07,0,0,1.20794e-06,2.32041e-07,1.3805e-06,2.91683e-07,1.02546e-06,2.57415e-07,1.41187e-06,2.67183e-07,1.9327e-06,2.69956e-07,1.20794e-06,2.73845e-07,1.72069e-06,3.01155e-07,1.31147e-06,2.68874e-07,1.25445e-06,2.27467e-07,1.63378e-05,9.57474e-07
21.5,1.2182e-06,2.49358e-07,1.50869e-06,2.47207e-07,0,0,1.58264e-06,2.37426e-07,1.23752e-06,2.69551e-07,8.26344e-07,2.43056e-07,1.84019e-06,2.78407e-07,1.71576e-06,2.56757e-07,1.77493e-06,2.98276e-07,1.86367e-06,2.93842e-07,1.41008e-06,2.73357e-07,1.40877e-06,2.33859e-07,1.78948e-05,9.5206e-07
22.5,1.26311e-06,2.45023e-07,1.3164e-06,2.40174e-07,0,0,9.51558e-07,2.18665e-07,1.28189e-06,2.6089e-07,8.26344e-07,2.32104e-07,1.42244e-06,2.60721e-07,1.64674e-06,2.50237e-07,1.74534e-06,2.86045e-07,1.19314e-06,2.67241e-07,1.45445e-06,2.71617e-07,1.41374e-06,2.33806e-07,1.58389e-05,9.13636e-07
23.5,7.80323e-07,2.16042e-07,1.39036e-06,2.34801e-07,0,0,9.46627e-07,2.11948e-07,1.35585e-06,2.51641e-07,8.6119e-07,2.3173e-07,1.19507e-06,2.41397e-07,1.45445e-06,2.40276e-07,1.34106e-06,2.67241e-07,1.03537e-06,2.51883e-07,1.60236e-06,2.6482e-07,1.45357e-06,2.28554e-07,1.46985e-05,8.73231e-07
24.5,1.0161e-06,2.2378e-07,1.09947e-06,2.16991e-07,0,0,1.01072e-06,2.11201e-07,8.3816e-07,2.16599e-07,8.56212e-07,2.30174e-07,7.93185e-07,2.22469e-07,1.41994e-06,2.3293e-07,9.76209e-07,2.45133e-07,1.23259e-06,2.5855e-07,1.2178e-06,2.45678e-07,1.29925e-06,2.23677e-07,1.28564e-05,8.34257e-07
25.5,1.08347e-06,2.20803e-07,1.00086e-06,2.04297e-07,0,0,1.11919e-06,2.08187e-07,1.18328e-06,2.32303e-07,9.70705e-07,2.27303e-07,1.04172e-06,2.25155e-07,9.12115e-07,1.94421e-07,1.31147e-06,2.50625e-07,1.26217e-06,2.55428e-07,1.03044e-06,2.33919e-07,9.20925e-07,2.0005e-07,1.29167e-05,8.10481e-07
26.5,1.25189e-06,2.41264e-07,9.8607e-07,2.08012e-07,0,0,8.3816e-07,1.93481e-07,1.38543e-06,2.28558e-07,7.81542e-07,2.19427e-07,1.11575e-06,2.27994e-07,1.17342e-06,2.1615e-07,1.17342e-06,2.44637e-07,1.00086e-06,2.43392e-07,1.25231e-06,2.39313e-07,1.22458e-06,2.14342e-07,1.32731e-05,8.15933e-07
27.5,1.06101e-06,2.1894e-07,1.40022e-06,2.23558e-07,0,0,9.95931e-07,2.00757e-07,9.36767e-07,2.05069e-07,8.46256e-07,2.15265e-07,1.21093e-06,2.23159e-07,1.00579e-06,2.00636e-07,6.85319e-07,2.11546e-07,9.76209e-07,2.3293e-07,1.41501e-06,2.4068e-07,1.01551e-06,1.95096e-07,1.25878e-05,7.80441e-07
28.5,9.48738e-07,2.00139e-07,1.08468e-06,2.05069e-07,0,0,1.18328e-06,2.05661e-07,1.07482e-06,2.06957e-07,6.72027e-07,1.95667e-07,9.20094e-07,2.05209e-07,1.01565e-06,1.96844e-07,1.13891e-06,2.26421e-07,1.14384e-06,2.38906e-07,8.87463e-07,2.10913e-07,1.34405e-06,2.07648e-07,1.24726e-05,7.5918e-07
