Bin Center (keV),n/ep,err
2.5,0,0
7.5,0,0
12.5,0,0
17.5,0,0
22.5,0,0
27.5,0,0
32.5,0,0
37.5,0,0
42.5,0,0
47.5,0,0
52.5,0.0120578,1.72408e-05
57.5,0.0122003,1.73424e-05
62.5,0.012409,1.74901e-05
67.5,0.0125537,1.75918e-05
72.5,0.0126372,1.76502e-05
77.5,0.0126641,1.7669e-05
82.5,0.0126896,1.76867e-05
87.5,0.0126311,1.76459e-05
92.5,0.0126197,1.7638e-05
97.5,0.0125819,1.76115e-05
102.5,0.0125408,1.75828e-05
107.5,0.0125309,1.75758e-05
112.5,0.0124589,1.75252e-05
117.5,0.012415,1.74943e-05
122.5,0.0123985,1.74827e-05
127.5,0.0122739,1.73946e-05
132.5,0.0122527,1.73796e-05
137.5,0.0121585,1.73127e-05
142.5,0.012174,1.73237e-05
147.5,0.0121057,1.7275e-05
152.5,0.0120503,1.72355e-05
157.5,0.0119999,1.71993e-05
162.5,0.0119421,1.71579e-05
167.5,0.0118647,1.71022e-05
172.5,0.0118367,1.7082e-05
177.5,0.0117422,1.70137e-05
182.5,0.0117024,1.69848e-05
187.5,0.0116301,1.69323e-05
192.5,0.011559,1.68805e-05
197.5,0.0114642,1.68111e-05
202.5,0.0114566,1.68055e-05
207.5,0.0113906,1.6757e-05
212.5,0.0113443,1.67229e-05
217.5,0.0112898,1.66827e-05
222.5,0.0111894,1.66084e-05
227.5,0.0110934,1.6537e-05
232.5,0.0110313,1.64907e-05
237.5,0.0109689,1.6444e-05
242.5,0.0108982,1.63908e-05
247.5,0.010876,1.63741e-05
252.5,0.0107903,1.63095e-05
257.5,0.0107071,1.62465e-05
262.5,0.0106213,1.61813e-05
267.5,0.0105622,1.61362e-05
272.5,0.0105182,1.61026e-05
277.5,0.0104549,1.6054e-05
282.5,0.0103756,1.5993e-05
287.5,0.0102866,1.59243e-05
292.5,0.0101931,1.58517e-05
297.5,0.0101152,1.57911e-05
302.5,0.0100299,1.57243e-05
307.5,0.00995324,1.56641e-05
312.5,0.00986743,1.55965e-05
317.5,0.00977144,1.55204e-05
322.5,0.00970924,1.54709e-05
327.5,0.00959444,1.53792e-05
332.5,0.00952342,1.53222e-05
337.5,0.00943891,1.5254e-05
342.5,0.00934326,1.51766e-05
347.5,0.00925114,1.51015e-05
352.5,0.00912758,1.50004e-05
357.5,0.00901902,1.49109e-05
362.5,0.00889504,1.48081e-05
367.5,0.00879294,1.47228e-05
372.5,0.00868119,1.4629e-05
377.5,0.00858142,1.45447e-05
382.5,0.00844406,1.44278e-05
387.5,0.00833749,1.43365e-05
392.5,0.00818953,1.42087e-05
397.5,0.00807626,1.41101e-05
402.5,0.00794548,1.39954e-05
407.5,0.00780381,1.387e-05
412.5,0.00769524,1.37732e-05
417.5,0.00757778,1.36677e-05
422.5,0.00746002,1.35611e-05
427.5,0.00729921,1.34141e-05
432.5,0.00716917,1.32941e-05
437.5,0.007042,1.31756e-05
442.5,0.00686894,1.30127e-05
447.5,0.00676333,1.29123e-05
452.5,0.00662794,1.27824e-05
457.5,0.0064556,1.26151e-05
462.5,0.00634659,1.25082e-05
467.5,0.00619925,1.23621e-05
472.5,0.00604952,1.22119e-05
477.5,0.00590323,1.20634e-05
482.5,0.00574938,1.19051e-05
487.5,0.00561128,1.17613e-05
492.5,0.00546219,1.1604e-05
497.5,0.00532705,1.14595e-05
502.5,0.0051638,1.12826e-05
507.5,0.00501959,1.11239e-05
512.5,0.00487597,1.09636e-05
517.5,0.00470486,1.07695e-05
522.5,0.004571,1.06152e-05
527.5,0.00441178,1.04287e-05
532.5,0.00427915,1.02708e-05
537.5,0.00412424,1.00831e-05
542.5,0.00397625,9.90059e-06
547.5,0.00381939,9.70334e-06
552.5,0.00368016,9.52483e-06
557.5,0.00355316,9.35903e-06
562.5,0.00338427,9.1339e-06
567.5,0.00324383,8.94237e-06
572.5,0.00311731,8.76626e-06
577.5,0.0029803,8.57144e-06
582.5,0.00280498,8.3155e-06
587.5,0.00266966,8.11245e-06
592.5,0.00253031,7.89788e-06
597.5,0.00241383,7.71395e-06
602.5,0.0022883,7.5107e-06
607.5,0.00214396,7.26997e-06
612.5,0.00203,7.07411e-06
617.5,0.00190368,6.85048e-06
622.5,0.00177574,6.61628e-06
627.5,0.00166535,6.40732e-06
632.5,0.00154216,6.1658e-06
637.5,0.00143742,5.95272e-06
642.5,0.00133068,5.72744e-06
647.5,0.00123143,5.50971e-06
652.5,0.00112811,5.27352e-06
657.5,0.00101698,5.00704e-06
662.5,0.000935879,4.80323e-06
667.5,0.000845531,4.5655e-06
672.5,0.000762134,4.3345e-06
677.5,0.00068098,4.09724e-06
682.5,0.000603007,3.85554e-06
687.5,0.000529791,3.6139e-06
692.5,0.000457906,3.35979e-06
697.5,0.000398545,3.13446e-06
702.5,0.000339627,2.89351e-06
707.5,0.000287218,2.66091e-06
712.5,0.000238752,2.42604e-06
717.5,0.000193911,2.18638e-06
722.5,0.000155183,1.9559e-06
727.5,0.000120547,1.72386e-06
732.5,9.11129e-05,1.4987e-06
737.5,6.6609e-05,1.28142e-06
742.5,4.39541e-05,1.04093e-06
747.5,3.05682e-05,8.68078e-07
752.5,1.86614e-05,6.78259e-07
757.5,1.35831e-05,5.7866e-07
762.5,1.10933e-05,5.22943e-07
767.5,9.88535e-06,4.93651e-07
772.5,9.58953e-06,4.86209e-07
777.5,9.41697e-06,4.81814e-07
782.5,9.8114e-06,4.91801e-07
787.5,9.31836e-06,4.79285e-07
792.5,8.94859e-06,4.69679e-07
