Bin Center (us),n/ep,err
0,0,0
0.04,0,0
0.08,0,0
0.12,0,0
0.16,0,0
0.2,0,0
0.24,0,0
0.28,0,0
0.32,0,0
0.36,0,0
0.4,0,0
0.44,0,0
0.48,0,0
0.52,0,0
0.56,0,0
0.6,0,0
0.64,0,0
0.68,0,0
0.72,0,0
0.76,0,0
0.8,0,0
0.84,0,0
0.88,0,0
0.92,0,0
0.96,0,0
1,0,0
1.04,0,0
1.08,0,0
1.12,0,0
1.16,0,0
1.2,0,0
1.24,0,0
1.28,0,0
1.32,0,0
1.36,0,0
1.4,0,0
1.44,0,0
1.48,0,0
1.52,0,0
1.56,0,0
1.6,0,0
1.64,0,0
1.68,0,0
1.72,0,0
1.76,0,0
1.8,0,0
1.84,0,0
1.88,0,0
1.92,0,0
1.96,0,0
2,0.000154,1.94842e-06
2.04,0.00111564,5.24428e-06
2.08,0.00374586,9.60947e-06
2.12,0.00599531,1.21571e-05
2.16,0.00696129,1.30999e-05
2.2,0.00736069,1.34705e-05
2.24,0.00766938,1.375e-05
2.28,0.00794652,1.39963e-05
2.32,0.00824456,1.42563e-05
2.36,0.00851097,1.44848e-05
2.4,0.00871038,1.46535e-05
2.44,0.00893754,1.48434e-05
2.48,0.00918911,1.50508e-05
2.52,0.00936143,1.51913e-05
2.56,0.00954728,1.53414e-05
2.6,0.00970209,1.54652e-05
2.64,0.00986087,1.55913e-05
2.68,0.00997163,1.56786e-05
2.72,0.0100819,1.57651e-05
2.76,0.0101697,1.58336e-05
2.8,0.0102939,1.59299e-05
2.84,0.0103366,1.59629e-05
2.88,0.0104153,1.60236e-05
2.92,0.0104637,1.60608e-05
2.96,0.0104829,1.60755e-05
3,0.0104958,1.60854e-05
3.04,0.0104692,1.6065e-05
3.08,0.0104953,1.6085e-05
3.12,0.0104485,1.60491e-05
3.16,0.0103896,1.60038e-05
3.2,0.0103373,1.59635e-05
3.24,0.0102802,1.59193e-05
3.28,0.0102612,1.59046e-05
3.32,0.0101837,1.58444e-05
3.36,0.0101287,1.58016e-05
3.4,0.0100144,1.57122e-05
3.44,0.00995248,1.56635e-05
3.48,0.00985925,1.559e-05
3.52,0.00979155,1.55364e-05
3.56,0.00967998,1.54476e-05
3.6,0.00958598,1.53724e-05
3.64,0.00944216,1.52567e-05
3.68,0.00936323,1.51928e-05
3.72,0.00924177,1.50939e-05
3.76,0.00913034,1.50026e-05
3.8,0.00901884,1.49107e-05
3.84,0.00891565,1.48252e-05
3.88,0.00882047,1.47459e-05
3.92,0.0087103,1.46535e-05
3.96,0.00861009,1.45689e-05
4,0.00849652,1.44725e-05
4.04,0.00836695,1.43618e-05
4.08,0.00826803,1.42766e-05
4.12,0.00818386,1.42038e-05
4.16,0.00804971,1.40869e-05
4.2,0.00793577,1.39868e-05
4.24,0.00783923,1.39015e-05
4.28,0.00774442,1.38171e-05
4.32,0.00765173,1.37342e-05
4.36,0.0075284,1.36231e-05
4.4,0.00740502,1.3511e-05
4.44,0.00733646,1.34483e-05
4.48,0.00724342,1.33628e-05
4.52,0.00715786,1.32836e-05
4.56,0.00703963,1.31734e-05
4.6,0.00693858,1.30785e-05
4.64,0.00684946,1.29943e-05
4.68,0.00674068,1.28907e-05
4.72,0.00665006,1.28037e-05
4.76,0.00657657,1.27328e-05
4.8,0.00647895,1.26379e-05
4.84,0.00637778,1.25389e-05
4.88,0.00632611,1.2488e-05
4.92,0.00620243,1.23653e-05
4.96,0.00615101,1.23139e-05
5,0.00604343,1.22058e-05
5.04,0.00596121,1.21225e-05
5.08,0.00591948,1.208e-05
5.12,0.00583078,1.19891e-05
5.16,0.00574162,1.18971e-05
5.2,0.0056506,1.18024e-05
5.24,0.00559886,1.17483e-05
5.28,0.00553097,1.16768e-05
5.32,0.00544944,1.15904e-05
5.36,0.00537652,1.15126e-05
5.4,0.00530444,1.14352e-05
5.44,0.00524136,1.1367e-05
5.48,0.00519753,1.13194e-05
5.52,0.00511122,1.1225e-05
5.56,0.00507481,1.11849e-05
5.6,0.00499213,1.10935e-05
5.64,0.00490868,1.10003e-05
5.68,0.00485876,1.09443e-05
5.72,0.00479718,1.08747e-05
5.76,0.0047425,1.08125e-05
5.8,0.00467604,1.07365e-05
5.84,0.00462607,1.0679e-05
5.88,0.00454916,1.05898e-05
5.92,0.00448667,1.05169e-05
5.96,0.00442849,1.04484e-05
6,0.00439716,1.04114e-05
6.04,0.00430328,1.02997e-05
6.08,0.00426983,1.02596e-05
6.12,0.00419371,1.01677e-05
6.16,0.00414342,1.01066e-05
6.2,0.0040936,1.00456e-05
6.24,0.00404932,9.99114e-06
6.28,0.00398907,9.91653e-06
6.32,0.00392823,9.84062e-06
6.36,0.00385477,9.74817e-06
6.4,0.00382117,9.70559e-06
6.44,0.00378663,9.66163e-06
6.48,0.00372054,9.57694e-06
6.52,0.00364856,9.48385e-06
6.56,0.0036226,9.45005e-06
6.6,0.00356615,9.37613e-06
6.64,0.0035131,9.30613e-06
6.68,0.00346737,9.24536e-06
6.72,0.0034278,9.19246e-06
6.76,0.00338577,9.13593e-06
6.8,0.00333141,9.06229e-06
6.84,0.0032743,8.98427e-06
6.88,0.00322891,8.92179e-06
6.92,0.00320391,8.88719e-06
6.96,0.00315126,8.81386e-06
7,0.00311635,8.7649e-06
7.04,0.00307449,8.70584e-06
7.08,0.00302036,8.62885e-06
7.12,0.00297769,8.56768e-06
7.16,0.00293203,8.50175e-06
7.2,0.00290092,8.45652e-06
7.24,0.00284346,8.37235e-06
7.28,0.00282287,8.34199e-06
7.32,0.00278257,8.28222e-06
7.36,0.00274929,8.23254e-06
7.4,0.00269094,8.14471e-06
7.44,0.00266153,8.10008e-06
7.48,0.0026174,8.03265e-06
7.52,0.00258631,7.98481e-06
7.56,0.00255109,7.93024e-06
7.6,0.00251098,7.86766e-06
7.64,0.00247195,7.80628e-06
7.68,0.00245159,7.77406e-06
