Bin Center (keV),n/ep,err
0.125,0,0
0.375,0,0
0.625,0,0
0.875,0,0
1.125,0,0
1.375,0,0
1.625,0,0
1.875,0,0
2.125,0,0
2.375,0,0
2.625,0,0
2.875,0,0
3.125,0,0
3.375,0,0
3.625,0,0
3.875,0,0
4.125,0,0
4.375,0,0
4.625,0,0
4.875,0,0
5.125,0,0
5.375,0,0
5.625,0,0
5.875,0,0
6.125,0,0
6.375,0,0
6.625,0,0
6.875,0,0
7.125,0,0
7.375,0,0
7.625,0,0
7.875,0,0
8.125,0,0
8.375,0,0
8.625,0,0
8.875,0,0
9.125,0,0
9.375,0,0
9.625,0,0
9.875,0,0
10.125,0.00161656,6.31277e-06
10.375,0.00185837,6.76847e-06
10.625,0.00215247,7.28437e-06
10.875,0.00246111,7.78914e-06
11.125,0.00278466,8.28534e-06
11.375,0.00313622,8.7928e-06
11.625,0.00345699,9.23151e-06
11.875,0.0037674,9.63707e-06
12.125,0.00410878,1.00642e-05
12.375,0.00446724,1.04941e-05
12.625,0.0048735,1.09609e-05
12.875,0.00531583,1.14475e-05
13.125,0.00581902,1.1977e-05
13.375,0.00643364,1.25937e-05
13.625,0.00706088,1.31933e-05
13.875,0.0077971,1.38641e-05
14.125,0.00853037,1.45013e-05
14.375,0.00939976,1.52224e-05
14.625,0.0103203,1.59504e-05
14.875,0.0113294,1.6712e-05
15.125,0.0123899,1.74766e-05
15.375,0.0135224,1.82579e-05
15.625,0.0147056,1.90399e-05
15.875,0.015958,1.98341e-05
16.125,0.017241,2.0616e-05
16.375,0.0185591,2.13896e-05
16.625,0.0199376,2.21697e-05
16.875,0.0212332,2.28787e-05
17.125,0.0226069,2.36072e-05
17.375,0.0238887,2.42672e-05
17.625,0.0251395,2.48944e-05
17.875,0.0263178,2.54712e-05
18.125,0.0273828,2.59814e-05
18.375,0.0283763,2.64486e-05
18.625,0.0291802,2.68206e-05
18.875,0.0298361,2.71203e-05
19.125,0.0303104,2.73351e-05
19.375,0.0306431,2.74846e-05
19.625,0.0307676,2.75404e-05
19.875,0.0306039,2.74671e-05
20.125,0.0303458,2.7351e-05
20.375,0.029841,2.71226e-05
20.625,0.0291589,2.68108e-05
20.875,0.0282627,2.63955e-05
21.125,0.0272672,2.59265e-05
21.375,0.0260334,2.53332e-05
21.625,0.0247371,2.46944e-05
21.875,0.0233457,2.39898e-05
22.125,0.0218747,2.32218e-05
22.375,0.0203446,2.23949e-05
22.625,0.0188522,2.15578e-05
22.875,0.0172925,2.06468e-05
23.125,0.0158206,1.97485e-05
23.375,0.0143602,1.8815e-05
23.625,0.0129145,1.78428e-05
23.875,0.0115713,1.68894e-05
24.125,0.010315,1.59463e-05
24.375,0.00914955,1.50184e-05
24.625,0.00807838,1.41119e-05
24.875,0.00708782,1.32184e-05
25.125,0.00616553,1.23285e-05
25.375,0.00537302,1.15089e-05
25.625,0.0046226,1.0675e-05
25.875,0.00396307,9.88415e-06
26.125,0.00337547,9.12202e-06
26.375,0.00286002,8.3967e-06
26.625,0.00240123,7.6938e-06
26.875,0.00200892,7.03729e-06
27.125,0.00163318,6.34513e-06
27.375,0.00131734,5.69866e-06
27.625,0.00104398,5.07305e-06
27.875,0.000832095,4.52908e-06
28.125,0.000655687,4.02043e-06
28.375,0.000505386,3.52968e-06
28.625,0.000385282,3.08186e-06
28.875,0.000294169,2.69291e-06
29.125,0.000207272,2.26045e-06
29.375,0.000144459,1.88711e-06
29.625,9.72019e-05,1.54797e-06
29.875,6.44397e-05,1.26038e-06
30.125,4.15382e-05,1.01192e-06
30.375,2.867e-05,8.40693e-07
30.625,1.98693e-05,6.99867e-07
